,epsilon,distance,algorithm,dataset,dimension
0,0.5,0.40408881458985285,density-kd-Laplace,circle-dataset,2
1,0.7,0.43558119766242803,density-kd-Laplace,circle-dataset,2
2,1.0,0.44786258530636536,density-kd-Laplace,circle-dataset,2
3,1.5,0.4719062318752451,density-kd-Laplace,circle-dataset,2
4,2.0,0.4888220385554238,density-kd-Laplace,circle-dataset,2
5,2.5,0.49958446519319943,density-kd-Laplace,circle-dataset,2
6,3.0,0.4671950563258033,density-kd-Laplace,circle-dataset,2
7,3.5,0.4418151255003041,density-kd-Laplace,circle-dataset,2
8,5.0,0.35199764556906415,density-kd-Laplace,circle-dataset,2
9,7.0,0.26994496196521856,density-kd-Laplace,circle-dataset,2
10,9.0,0.22650551231033914,density-kd-Laplace,circle-dataset,2
11,0.5,0.5561052878449994,density-kd-Laplace,circle-dataset,3
12,0.7,0.5641611617315068,density-kd-Laplace,circle-dataset,3
13,1.0,0.5779596695658472,density-kd-Laplace,circle-dataset,3
14,1.5,0.6075792333411278,density-kd-Laplace,circle-dataset,3
15,2.0,0.6316034898584885,density-kd-Laplace,circle-dataset,3
16,2.5,0.6165993600531567,density-kd-Laplace,circle-dataset,3
17,3.0,0.6098269755067709,density-kd-Laplace,circle-dataset,3
18,3.5,0.5963309218665876,density-kd-Laplace,circle-dataset,3
19,5.0,0.5017955975446912,density-kd-Laplace,circle-dataset,3
20,7.0,0.40354632692584874,density-kd-Laplace,circle-dataset,3
21,9.0,0.3168210675308509,density-kd-Laplace,circle-dataset,3
