,epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimension
0,0.5,0.616,0.8666666666666667,[0.    0.728 1.   ],[0.    0.112 1.   ],0,2
1,0.5,0.48000000000000004,0.7884615384615384,[0.    0.656 1.   ],[0.    0.176 1.   ],1,2
2,0.5,0.5359999999999999,0.8073394495412843,[0.    0.704 1.   ],[0.    0.168 1.   ],2,2
3,0.5,0.568,0.7591240875912408,[0.    0.832 1.   ],[0.    0.264 1.   ],3,2
4,0.5,0.304,0.6557377049180328,[0.   0.64 1.  ],[0.    0.336 1.   ],4,2
5,0.5,0.48800000000000004,0.7850467289719626,[0.    0.672 1.   ],[0.    0.184 1.   ],5,2
6,0.5,0.39999999999999997,0.6623376623376623,[0.    0.816 1.   ],[0.    0.416 1.   ],6,2
7,0.5,0.6159999999999999,0.8031496062992125,[0.    0.816 1.   ],[0.  0.2 1. ],7,2
8,0.5,0.43199999999999994,0.7288135593220338,[0.    0.688 1.   ],[0.    0.256 1.   ],8,2
9,0.5,0.296,0.6330935251798562,[0.    0.704 1.   ],[0.    0.408 1.   ],9,2
10,0.7,0.528,0.851063829787234,[0.   0.64 1.  ],[0.    0.112 1.   ],0,2
11,0.7,0.488,0.7699115044247787,[0.    0.696 1.   ],[0.    0.208 1.   ],1,2
12,0.7,0.46399999999999997,0.7416666666666667,[0.    0.712 1.   ],[0.    0.248 1.   ],2,2
13,0.7,0.15200000000000002,0.5655172413793103,[0.    0.656 1.   ],[0.    0.504 1.   ],3,2
14,0.7,0.688,0.8524590163934426,[0.    0.832 1.   ],[0.    0.144 1.   ],4,2
15,0.7,0.472,0.736,[0.    0.736 1.   ],[0.    0.264 1.   ],5,2
16,0.7,0.52,0.7210884353741497,[0.    0.848 1.   ],[0.    0.328 1.   ],6,2
17,0.7,0.43999999999999995,0.72,[0.   0.72 1.  ],[0.   0.28 1.  ],7,2
18,0.7,0.384,0.7181818181818181,[0.    0.632 1.   ],[0.    0.248 1.   ],8,2
19,0.7,0.472,0.8041237113402062,[0.    0.624 1.   ],[0.    0.152 1.   ],9,2
20,1.0,0.6240000000000001,0.8145161290322581,[0.    0.808 1.   ],[0.    0.184 1.   ],0,2
21,1.0,0.504,0.794392523364486,[0.   0.68 1.  ],[0.    0.176 1.   ],1,2
