,epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimension
0,0.5,0.20889487870619944,0.6131386861313869,[0.         0.56603774 1.        ],[0.         0.35714286 1.        ],0,2
1,0.5,0.08100439778692015,0.5399692006159877,[0.         0.54716981 1.        ],[0.         0.46616541 1.        ],1,2
2,0.5,-0.06573982125124134,0.4699036188397891,[0.         0.51320755 1.        ],[0.         0.57894737 1.        ],2,2
3,0.5,-0.017165555397928745,0.4903029331623658,[0.         0.43396226 1.        ],[0.         0.45112782 1.        ],3,2
4,0.5,0.08510427010923527,0.535747059314257,[0.         0.63773585 1.        ],[0.         0.55263158 1.        ],4,2
5,0.5,0.19795715704355227,0.5887500954028545,[0.         0.65660377 1.        ],[0.         0.45864662 1.        ],5,2
6,0.5,0.008795573840261028,0.5065594583157004,[0.         0.33962264 1.        ],[0.         0.33082707 1.        ],6,2
7,0.5,0.00994467300326285,0.5038827530436131,[0.         0.64528302 1.        ],[0.         0.63533835 1.        ],7,2
8,0.5,-0.009178606894595043,0.4959248201756043,[0.         0.55849057 1.        ],[0.         0.56766917 1.        ],8,2
9,0.5,0.1754716981132075,0.5746388443017656,[0.        0.6754717 1.       ],[0.  0.5 1. ],9,2
10,0.7,0.14173641651298052,0.5561538202133519,[0.         0.70188679 1.        ],[0.         0.56015038 1.        ],0,2
11,0.7,-0.06575400766066108,0.46968805179517364,[0.         0.50943396 1.        ],[0.         0.57518797 1.        ],1,2
12,0.7,-0.028160022698255127,0.4865524015988076,[0.         0.50943396 1.        ],[0.         0.53759398 1.        ],2,2
13,0.7,0.07381188821109375,0.5309065852470508,[0.         0.63396226 1.        ],[0.         0.56015038 1.        ],3,2
14,0.7,0.006355511420059523,0.5023114706732158,[0.         0.69056604 1.        ],[0.         0.68421053 1.        ],4,2
15,0.7,0.10397219463753715,0.5429908844542991,[0.         0.65660377 1.        ],[0.         0.55263158 1.        ],5,2
16,0.7,0.19836856291672578,0.5743673747247721,[0.         0.76603774 1.        ],[0.         0.56766917 1.        ],6,2
17,0.7,0.152844375088665,0.5658605765704086,[0.         0.65660377 1.        ],[0.        0.5037594 1.       ],7,2
18,0.7,0.13434529720527733,0.550228068314416,[0.         0.73584906 1.        ],[0.         0.60150376 1.        ],8,2
19,0.7,0.16470421336359775,0.5564853556485356,[0.         0.81132075 1.        ],[0.         0.64661654 1.        ],9,2
20,1.0,0.05494396368279186,0.523375541687288,[0.         0.61509434 1.        ],[0.         0.56015038 1.        ],0,2
21,1.0,0.021208682082564878,0.5084040699308562,[0.         0.64150943 1.        ],[0.         0.62030075 1.        ],1,2
22,1.0,0.07735849056603772,0.5359019264448336,[0.         0.57735849 1.        ],[0.  0.5 1. ],2,2
23,1.0,0.08131649879415515,0.5344835884108191,[0.         0.63018868 1.        ],[0.         0.54887218 1.        ],3,2
24,1.0,0.05854731167541494,0.5268905482361833,[0.         0.57358491 1.        ],[0.         0.51503759 1.        ],4,2
25,1.0,0.11530713576393814,0.5469457536272063,[0.         0.67169811 1.        ],[0.         0.55639098 1.        ],5,2
26,1.0,0.14143850191516527,0.5640663153836267,[0.         0.62264151 1.        ],[0.         0.48120301 1.        ],6,2
27,1.0,0.14173641651298052,0.5561538202133519,[0.         0.70188679 1.        ],[0.         0.56015038 1.        ],7,2
28,1.0,0.13020286565470274,0.5572208783261428,[0.         0.63396226 1.        ],[0.        0.5037594 1.       ],8,2
29,1.0,0.005717122996169666,0.5027597825044855,[0.         0.52075472 1.        ],[0.         0.51503759 1.        ],9,2
30,1.5,0.14914172223010347,0.5624413480156326,[0.         0.67169811 1.        ],[0.         0.52255639 1.        ],0,2
31,1.5,0.11878280607178321,0.555316253319768,[0.         0.59622642 1.        ],[0.         0.47744361 1.        ],1,2
32,1.5,-0.005036175344020455,0.4981006901717404,[0.         0.66037736 1.        ],[0.         0.66541353 1.        ],2,2
33,1.5,0.07000993048659376,0.5297845373891001,[0.         0.62264151 1.        ],[0.         0.55263158 1.        ],3,2
34,1.5,0.1038445169527592,0.5454884414615957,[0.         0.62264151 1.        ],[0.         0.51879699 1.        ],4,2
35,1.5,0.15668889204142422,0.5651891636664109,[0.         0.67924528 1.        ],[0.         0.52255639 1.        ],5,2
36,1.5,0.08133068520357489,0.5342706502636203,[0.         0.63396226 1.        ],[0.         0.55263158 1.        ],6,2
37,1.5,0.11913746630727762,0.5472020504058095,[0.         0.69056604 1.        ],[0.         0.57142857 1.        ],7,2
38,1.5,0.013349411264009015,0.5061318111323976,[0.        0.5509434 1.       ],[0.         0.53759398 1.        ],8,2
39,1.5,0.024712725209249498,0.511008316271075,[0.         0.57358491 1.        ],[0.         0.54887218 1.        ],9,2
40,2.0,0.12276918711874019,0.5515646971899802,[0.         0.65660377 1.        ],[0.         0.53383459 1.        ],0,2
41,2.0,0.12638672152078306,0.5568618440368143,[0.         0.61886792 1.        ],[0.        0.4924812 1.       ],1,2
42,2.0,-0.1106681798836715,0.4552021959595263,[0.         0.56226415 1.        ],[0.         0.67293233 1.        ],2,2
43,2.0,0.10021279614129663,0.5413080089820359,[0.         0.65660377 1.        ],[0.         0.55639098 1.        ],3,2
44,2.0,0.021095190807206676,0.5087783510632017,[0.         0.61132075 1.        ],[0.         0.59022556 1.        ],4,2
45,2.0,0.07036459072208823,0.5258010819808573,[0.         0.71698113 1.        ],[0.         0.64661654 1.        ],5,2
46,2.0,0.0323875727053482,0.5135195954188528,[0.         0.61509434 1.        ],[0.         0.58270677 1.        ],6,2
47,2.0,0.043609022556390986,0.5188556566970091,[0.  0.6 1. ],[0.         0.55639098 1.        ],7,2
48,2.0,0.17145694424741098,0.582143925182829,[0.         0.60754717 1.        ],[0.         0.43609023 1.        ],8,2
49,2.0,0.023804795006383883,0.5185874429527227,[0.         0.33207547 1.        ],[0.         0.30827068 1.        ],9,2
50,2.5,-0.03247269116186696,0.47855175127902394,[0.         0.36226415 1.        ],[0.         0.39473684 1.        ],0,2
51,2.5,0.0064264434671583714,0.5022749414943302,[0.         0.70943396 1.        ],[0.         0.70300752 1.        ],1,2
52,2.5,0.0892608880692296,0.5319351957121975,[0.         0.74339623 1.        ],[0.         0.65413534 1.        ],2,2
53,2.5,0.16436373953752303,0.5643480772221359,[0.         0.72075472 1.        ],[0.         0.55639098 1.        ],3,2
54,2.5,-0.01251241310824236,0.49538596748205654,[0.         0.67169811 1.        ],[0.         0.68421053 1.        ],4,2
55,2.5,-0.01631437083274223,0.49389920424403183,[0.         0.66037736 1.        ],[0.         0.67669173 1.        ],5,2
56,2.5,0.07747198184139592,0.534049955730693,[0.         0.60754717 1.        ],[0.         0.53007519 1.        ],6,2
57,2.5,0.20177330117747194,0.588371254955078,[0.         0.67169811 1.        ],[0.         0.46992481 1.        ],7,2
58,2.5,0.20560363172081142,0.5874515766988885,[0.         0.69056604 1.        ],[0.         0.48496241 1.        ],8,2
59,2.5,0.18290537664917006,0.5814538240905702,[0.         0.65283019 1.        ],[0.         0.46992481 1.        ],9,2
60,3.0,0.03647325861824369,0.5133376910386902,[0.         0.70188679 1.        ],[0.         0.66541353 1.        ],0,2
61,3.0,0.16436373953752303,0.5643480772221359,[0.         0.72075472 1.        ],[0.         0.55639098 1.        ],1,2
62,3.0,0.0026670449709178534,0.5009416195856874,[0.         0.70943396 1.        ],[0.         0.70676692 1.        ],2,2
63,3.0,0.1606610866789615,0.5612725206946924,[0.         0.73584906 1.        ],[0.         0.57518797 1.        ],3,2
64,3.0,0.13407575542630157,0.5561349948325631,[0.         0.66415094 1.        ],[0.         0.53007519 1.        ],4,2
65,3.0,0.11557667754291379,0.5421438695593698,[0.         0.74339623 1.        ],[0.         0.62781955 1.        ],5,2
66,3.0,0.15681656972620228,0.5617583301673855,[0.         0.71320755 1.        ],[0.         0.55639098 1.        ],6,2
67,3.0,0.02495389416938565,0.5099774245879136,[0.         0.63773585 1.        ],[0.         0.61278195 1.        ],7,2
68,3.0,-0.027606752730883866,0.4897052288549844,[0.         0.65660377 1.        ],[0.         0.68421053 1.        ],8,2
69,3.0,0.05535536955596532,0.5198591233891817,[0.        0.7245283 1.       ],[0.         0.66917293 1.        ],9,2
70,3.5,0.08528869343169243,0.5331013522441969,[0.         0.68679245 1.        ],[0.         0.60150376 1.        ],0,2
71,3.5,0.11149099163001841,0.546388223211229,[0.         0.65660377 1.        ],[0.         0.54511278 1.        ],1,2
72,3.5,0.08131649879415515,0.5344835884108191,[0.         0.63018868 1.        ],[0.         0.54887218 1.        ],2,2
73,3.5,0.10427010923535251,0.5381263616557734,[0.         0.73584906 1.        ],[0.         0.63157895 1.        ],3,2
74,3.5,0.03237338629592845,0.5135991990655765,[0.         0.61132075 1.        ],[0.         0.57894737 1.        ],4,2
75,3.5,0.07039296354092772,0.525529419028215,[0.        0.7245283 1.       ],[0.         0.65413534 1.        ],5,2
76,3.5,0.1039580082281174,0.5432544741937008,[0.         0.65283019 1.        ],[0.         0.54887218 1.        ],6,2
77,3.5,0.12698255071641373,0.5444699476356555,[0.         0.77735849 1.        ],[0.         0.65037594 1.        ],7,2
78,3.5,0.10785927081855573,0.5423551301906343,[0.         0.69056604 1.        ],[0.         0.58270677 1.        ],8,2
79,3.5,0.10415661795999431,0.5398406806885024,[0.         0.70566038 1.        ],[0.         0.60150376 1.        ],9,2
80,5.0,0.06268974322598941,0.5243312887489125,[0.        0.6754717 1.       ],[0.         0.61278195 1.        ],0,2
