,epsilon,distance,algorithm,dataset,dimension
0,0.5,0.9062202647710703,density-kd-Laplace,skewed-dataset,2
1,0.7,0.8977378723167353,density-kd-Laplace,skewed-dataset,2
2,1.0,0.9085513451375028,density-kd-Laplace,skewed-dataset,2
3,1.5,0.7878733557203975,density-kd-Laplace,skewed-dataset,2
4,2.0,0.6780194841570818,density-kd-Laplace,skewed-dataset,2
5,2.5,0.6123133192092384,density-kd-Laplace,skewed-dataset,2
6,3.0,0.5467698491038514,density-kd-Laplace,skewed-dataset,2
7,3.5,0.4941658354994867,density-kd-Laplace,skewed-dataset,2
8,5.0,0.3523251396727013,density-kd-Laplace,skewed-dataset,2
9,7.0,0.27141488872943964,density-kd-Laplace,skewed-dataset,2
10,9.0,0.21295403971431517,density-kd-Laplace,skewed-dataset,2
11,0.5,1.0441352169101825,density-kd-Laplace,skewed-dataset,3
12,0.7,1.0282635286585091,density-kd-Laplace,skewed-dataset,3
13,1.0,1.0395288251068917,density-kd-Laplace,skewed-dataset,3
14,1.5,0.9738743633126317,density-kd-Laplace,skewed-dataset,3
15,2.0,0.9108875875512227,density-kd-Laplace,skewed-dataset,3
16,2.5,0.8520415348779664,density-kd-Laplace,skewed-dataset,3
17,3.0,0.7371491123673146,density-kd-Laplace,skewed-dataset,3
18,3.5,0.678526725579533,density-kd-Laplace,skewed-dataset,3
19,5.0,0.49713640998979225,density-kd-Laplace,skewed-dataset,3
20,7.0,0.40011365455154707,density-kd-Laplace,skewed-dataset,3
21,9.0,0.31674745853242325,density-kd-Laplace,skewed-dataset,3
