,epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimension
0,0.5,0.256,0.6666666666666666,[0.    0.512 1.   ],[0.    0.256 1.   ],0,2
1,0.5,0.256,0.7580645161290323,[0.    0.376 1.   ],[0.   0.12 1.  ],1,2
2,0.5,0.20799999999999996,0.6354166666666666,[0.    0.488 1.   ],[0.   0.28 1.  ],2,2
3,0.5,-0.008000000000000007,0.49056603773584906,[0.    0.208 1.   ],[0.    0.216 1.   ],3,2
4,0.5,0.21599999999999997,0.6799999999999999,[0.    0.408 1.   ],[0.    0.192 1.   ],4,2
5,0.5,0.208,0.6666666666666666,[0.    0.416 1.   ],[0.    0.208 1.   ],5,2
6,0.5,-0.20000000000000007,0.3913043478260869,[0.   0.36 1.  ],[0.   0.56 1.  ],6,2
7,0.5,-0.032,0.45999999999999996,[0.    0.184 1.   ],[0.    0.216 1.   ],7,2
8,0.5,0.055999999999999994,0.5744680851063829,[0.    0.216 1.   ],[0.   0.16 1.  ],8,2
9,0.5,-0.023999999999999994,0.4693877551020408,[0.    0.184 1.   ],[0.    0.208 1.   ],9,2
10,0.7,-0.04800000000000004,0.4727272727272727,[0.    0.416 1.   ],[0.    0.464 1.   ],0,2
11,0.7,0.23199999999999998,0.6494845360824743,[0.    0.504 1.   ],[0.    0.272 1.   ],1,2
12,0.7,0.344,0.6666666666666666,[0.    0.688 1.   ],[0.    0.344 1.   ],2,2
13,0.7,0.264,0.7088607594936709,[0.    0.448 1.   ],[0.    0.184 1.   ],3,2
14,0.7,0.152,0.6338028169014085,[0.   0.36 1.  ],[0.    0.208 1.   ],4,2
15,0.7,0.36,0.7848101265822784,[0.    0.496 1.   ],[0.    0.136 1.   ],5,2
16,0.7,0.256,0.7105263157894737,[0.    0.432 1.   ],[0.    0.176 1.   ],6,2
17,0.7,0.03199999999999997,0.524390243902439,[0.    0.344 1.   ],[0.    0.312 1.   ],7,2
18,0.7,0.472,0.8554216867469879,[0.    0.568 1.   ],[0.    0.096 1.   ],8,2
19,0.7,0.016000000000000014,0.5128205128205129,[0.   0.32 1.  ],[0.    0.304 1.   ],9,2
20,1.0,0.192,0.6395348837209303,[0.   0.44 1.  ],[0.    0.248 1.   ],0,2
21,1.0,0.24,0.6666666666666666,[0.   0.48 1.  ],[0.   0.24 1.  ],1,2
22,1.0,0.23200000000000004,0.6407766990291262,[0.    0.528 1.   ],[0.    0.296 1.   ],2,2
23,1.0,0.20800000000000002,0.6511627906976745,[0.    0.448 1.   ],[0.   0.24 1.  ],3,2
24,1.0,0.11199999999999999,0.5897435897435898,[0.    0.368 1.   ],[0.    0.256 1.   ],4,2
25,1.0,0.23199999999999998,0.6986301369863014,[0.    0.408 1.   ],[0.    0.176 1.   ],5,2
26,1.0,0.20799999999999996,0.6354166666666666,[0.    0.488 1.   ],[0.   0.28 1.  ],6,2
27,1.0,0.248,0.7066666666666667,[0.    0.424 1.   ],[0.    0.176 1.   ],7,2
28,1.0,0.192,0.6714285714285714,[0.    0.376 1.   ],[0.    0.184 1.   ],8,2
29,1.0,0.24800000000000005,0.6476190476190476,[0.    0.544 1.   ],[0.    0.296 1.   ],9,2
30,1.5,0.256,0.6777777777777778,[0.    0.488 1.   ],[0.    0.232 1.   ],0,2
31,1.5,0.30400000000000005,0.6900000000000001,[0.    0.552 1.   ],[0.    0.248 1.   ],1,2
32,1.5,0.31199999999999994,0.6893203883495146,[0.    0.568 1.   ],[0.    0.256 1.   ],2,2
33,1.5,0.46399999999999997,0.7959183673469388,[0.    0.624 1.   ],[0.   0.16 1.  ],3,2
34,1.5,0.34400000000000003,0.7415730337078652,[0.    0.528 1.   ],[0.    0.184 1.   ],4,2
35,1.5,-0.03999999999999998,0.4789915966386555,[0.    0.456 1.   ],[0.    0.496 1.   ],5,2
36,1.5,0.192,0.6395348837209303,[0.   0.44 1.  ],[0.    0.248 1.   ],6,2
37,1.5,0.31999999999999995,0.696078431372549,[0.    0.568 1.   ],[0.    0.248 1.   ],7,2
38,1.5,0.31199999999999994,0.6893203883495146,[0.    0.568 1.   ],[0.    0.256 1.   ],8,2
39,1.5,0.256,0.6818181818181819,[0.   0.48 1.  ],[0.    0.224 1.   ],9,2
40,2.0,0.40800000000000003,0.7475728155339806,[0.    0.616 1.   ],[0.    0.208 1.   ],0,2
41,2.0,0.272,0.6808510638297872,[0.    0.512 1.   ],[0.   0.24 1.  ],1,2
42,2.0,0.43199999999999994,0.7177419354838709,[0.    0.712 1.   ],[0.   0.28 1.  ],2,2
43,2.0,0.48,0.8191489361702128,[0.    0.616 1.   ],[0.    0.136 1.   ],3,2
44,2.0,0.504,0.7739130434782608,[0.    0.712 1.   ],[0.    0.208 1.   ],4,2
