,epsilon,distance,algorithm,dataset,dimension
0,0.5,1.3752321920646013,grid-kd-Laplace,line-dataset,2
1,0.7,1.246173157886008,grid-kd-Laplace,line-dataset,2
2,1.0,1.1063262920542187,grid-kd-Laplace,line-dataset,2
3,1.5,0.8694484404107998,grid-kd-Laplace,line-dataset,2
4,2.0,0.7421591060285692,grid-kd-Laplace,line-dataset,2
5,2.5,0.6260677374994125,grid-kd-Laplace,line-dataset,2
6,3.0,0.5820012918154843,grid-kd-Laplace,line-dataset,2
7,3.5,0.49940819339629966,grid-kd-Laplace,line-dataset,2
8,5.0,0.36771447082426884,grid-kd-Laplace,line-dataset,2
9,7.0,0.27996631642455333,grid-kd-Laplace,line-dataset,2
10,9.0,0.2224832316843188,grid-kd-Laplace,line-dataset,2
11,0.5,1.698074823370471,grid-kd-Laplace,line-dataset,3
12,0.7,1.6237581408504616,grid-kd-Laplace,line-dataset,3
13,1.0,1.4464222599341416,grid-kd-Laplace,line-dataset,3
14,1.5,1.235709766257598,grid-kd-Laplace,line-dataset,3
15,2.0,1.0672958996173247,grid-kd-Laplace,line-dataset,3
16,2.5,0.9230259826778537,grid-kd-Laplace,line-dataset,3
17,3.0,0.8269158425199571,grid-kd-Laplace,line-dataset,3
18,3.5,0.7283034386631341,grid-kd-Laplace,line-dataset,3
19,5.0,0.541523907733926,grid-kd-Laplace,line-dataset,3
20,7.0,0.39661045547295837,grid-kd-Laplace,line-dataset,3
21,9.0,0.3200452407755963,grid-kd-Laplace,line-dataset,3
