,epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimension
0,0.5,0.128,0.5784313725490197,[0.    0.472 1.   ],[0.    0.344 1.   ],0,2
1,0.5,-0.03200000000000003,0.47435897435897434,[0.    0.296 1.   ],[0.    0.328 1.   ],1,2
2,0.5,0.376,0.7281553398058253,[0.  0.6 1. ],[0.    0.224 1.   ],2,2
3,0.5,0.02400000000000002,0.5157894736842106,[0.    0.392 1.   ],[0.    0.368 1.   ],3,2
4,0.5,0.144,0.618421052631579,[0.    0.376 1.   ],[0.    0.232 1.   ],4,2
5,0.5,0.136,0.6268656716417911,[0.    0.336 1.   ],[0.  0.2 1. ],5,2
6,0.5,0.03999999999999998,0.5252525252525252,[0.    0.416 1.   ],[0.    0.376 1.   ],6,2
7,0.5,0.03199999999999997,0.527027027027027,[0.    0.312 1.   ],[0.   0.28 1.  ],7,2
8,0.5,0.128,0.5833333333333334,[0.    0.448 1.   ],[0.   0.32 1.  ],8,2
9,0.5,0.01599999999999996,0.5099999999999999,[0.    0.408 1.   ],[0.    0.392 1.   ],9,2
10,0.7,0.21600000000000003,0.6285714285714286,[0.    0.528 1.   ],[0.    0.312 1.   ],0,2
11,0.7,0.192,0.6132075471698113,[0.   0.52 1.  ],[0.    0.328 1.   ],1,2
12,0.7,0.08000000000000002,0.5499999999999999,[0.   0.44 1.  ],[0.   0.36 1.  ],2,2
13,0.7,0.21600000000000003,0.6336633663366337,[0.    0.512 1.   ],[0.    0.296 1.   ],3,2
14,0.7,0.28800000000000003,0.6475409836065574,[0.    0.632 1.   ],[0.    0.344 1.   ],4,2
15,0.7,0.29600000000000004,0.7032967032967034,[0.    0.512 1.   ],[0.    0.216 1.   ],5,2
16,0.7,0.29600000000000004,0.6504065040650406,[0.   0.64 1.  ],[0.    0.344 1.   ],6,2
17,0.7,0.055999999999999994,0.5353535353535354,[0.    0.424 1.   ],[0.    0.368 1.   ],7,2
18,0.7,0.136,0.580952380952381,[0.    0.488 1.   ],[0.    0.352 1.   ],8,2
19,0.7,0.12,0.5773195876288659,[0.    0.448 1.   ],[0.    0.328 1.   ],9,2
20,1.0,0.28,0.6699029126213593,[0.    0.552 1.   ],[0.    0.272 1.   ],0,2
21,1.0,0.24000000000000005,0.6415094339622641,[0.    0.544 1.   ],[0.    0.304 1.   ],1,2
22,1.0,0.20799999999999996,0.6413043478260869,[0.    0.472 1.   ],[0.    0.264 1.   ],2,2
23,1.0,0.11199999999999999,0.5744680851063829,[0.    0.432 1.   ],[0.   0.32 1.  ],3,2
24,1.0,0.312,0.6638655462184875,[0.    0.632 1.   ],[0.   0.32 1.  ],4,2
25,1.0,0.392,0.7752808988764045,[0.    0.552 1.   ],[0.   0.16 1.  ],5,2
26,1.0,0.176,0.6145833333333333,[0.    0.472 1.   ],[0.    0.296 1.   ],6,2
27,1.0,0.424,0.712,[0.    0.712 1.   ],[0.    0.288 1.   ],7,2
28,1.0,0.26399999999999996,0.6434782608695653,[0.    0.592 1.   ],[0.    0.328 1.   ],8,2
29,1.0,0.16000000000000003,0.572463768115942,[0.    0.632 1.   ],[0.    0.472 1.   ],9,2
30,1.5,0.37600000000000006,0.6942148760330579,[0.    0.672 1.   ],[0.    0.296 1.   ],0,2
31,1.5,0.36000000000000004,0.7419354838709679,[0.    0.552 1.   ],[0.    0.192 1.   ],1,2
32,1.5,0.27999999999999997,0.6258992805755396,[0.    0.696 1.   ],[0.    0.416 1.   ],2,2
33,1.5,0.392,0.7094017094017094,[0.    0.664 1.   ],[0.    0.272 1.   ],3,2
34,1.5,0.39199999999999996,0.696,[0.    0.696 1.   ],[0.    0.304 1.   ],4,2
35,1.5,0.34400000000000003,0.6692913385826772,[0.   0.68 1.  ],[0.    0.336 1.   ],5,2
36,1.5,0.496,0.75,[0.    0.744 1.   ],[0.    0.248 1.   ],6,2
37,1.5,0.32,0.6666666666666667,[0.   0.64 1.  ],[0.   0.32 1.  ],7,2
38,1.5,0.37599999999999995,0.6793893129770991,[0.    0.712 1.   ],[0.    0.336 1.   ],8,2
39,1.5,0.48,0.8061224489795918,[0.    0.632 1.   ],[0.    0.152 1.   ],9,2
40,2.0,0.52,0.7642276422764228,[0.    0.752 1.   ],[0.    0.232 1.   ],0,2
41,2.0,0.424,0.6962962962962963,[0.    0.752 1.   ],[0.    0.328 1.   ],1,2
42,2.0,0.42400000000000004,0.7345132743362832,[0.    0.664 1.   ],[0.   0.24 1.  ],2,2
43,2.0,0.44799999999999995,0.7372881355932204,[0.    0.696 1.   ],[0.    0.248 1.   ],3,2
44,2.0,0.37599999999999995,0.6821705426356589,[0.    0.704 1.   ],[0.    0.328 1.   ],4,2
45,2.0,0.33599999999999997,0.6615384615384614,[0.    0.688 1.   ],[0.    0.352 1.   ],5,2
46,2.0,0.504,0.752,[0.    0.752 1.   ],[0.    0.248 1.   ],6,2
47,2.0,0.35200000000000004,0.6896551724137931,[0.   0.64 1.  ],[0.    0.288 1.   ],7,2
48,2.0,0.464,0.7196969696969697,[0.   0.76 1.  ],[0.    0.296 1.   ],8,2
49,2.0,0.456,0.7080291970802919,[0.    0.776 1.   ],[0.   0.32 1.  ],9,2
50,2.5,0.36,0.6595744680851063,[0.    0.744 1.   ],[0.    0.384 1.   ],0,2
51,2.5,0.496,0.7348484848484849,[0.    0.776 1.   ],[0.   0.28 1.  ],1,2
52,2.5,0.416,0.7063492063492063,[0.    0.712 1.   ],[0.    0.296 1.   ],2,2
53,2.5,0.464,0.7164179104477612,[0.    0.768 1.   ],[0.    0.304 1.   ],3,2
54,2.5,0.5439999999999999,0.8090909090909091,[0.    0.712 1.   ],[0.    0.168 1.   ],4,2
55,2.5,0.33599999999999997,0.6544117647058822,[0.    0.712 1.   ],[0.    0.376 1.   ],5,2
56,2.5,0.37600000000000006,0.6974789915966387,[0.    0.664 1.   ],[0.    0.288 1.   ],6,2
57,2.5,0.46399999999999997,0.7301587301587301,[0.    0.736 1.   ],[0.    0.272 1.   ],7,2
58,2.5,0.49599999999999994,0.7152777777777778,[0.    0.824 1.   ],[0.    0.328 1.   ],8,2
59,2.5,0.528,0.7661290322580645,[0.   0.76 1.  ],[0.    0.232 1.   ],9,2
60,3.0,0.456,0.7209302325581395,[0.    0.744 1.   ],[0.    0.288 1.   ],0,2
61,3.0,0.424,0.7086614173228346,[0.   0.72 1.  ],[0.    0.296 1.   ],1,2
62,3.0,0.472,0.7006802721088435,[0.    0.824 1.   ],[0.    0.352 1.   ],2,2
63,3.0,0.5680000000000001,0.7448275862068966,[0.    0.864 1.   ],[0.    0.296 1.   ],3,2
64,3.0,0.352,0.6692307692307692,[0.    0.696 1.   ],[0.    0.344 1.   ],4,2
65,3.0,0.456,0.711111111111111,[0.    0.768 1.   ],[0.    0.312 1.   ],5,2
66,3.0,0.568,0.7669172932330827,[0.    0.816 1.   ],[0.    0.248 1.   ],6,2
67,3.0,0.43199999999999994,0.6799999999999999,[0.    0.816 1.   ],[0.    0.384 1.   ],7,2
68,3.0,0.39199999999999996,0.6842105263157894,[0.    0.728 1.   ],[0.    0.336 1.   ],8,2
69,3.0,0.424,0.712,[0.    0.712 1.   ],[0.    0.288 1.   ],9,2
70,3.5,0.47200000000000003,0.7218045112781954,[0.    0.768 1.   ],[0.    0.296 1.   ],0,2
71,3.5,0.6080000000000001,0.8064516129032259,[0.  0.8 1. ],[0.    0.192 1.   ],1,2
72,3.5,0.38399999999999995,0.6818181818181818,[0.   0.72 1.  ],[0.    0.336 1.   ],2,2
73,3.5,0.6,0.7819548872180451,[0.    0.832 1.   ],[0.    0.232 1.   ],3,2
74,3.5,0.392,0.6737588652482269,[0.   0.76 1.  ],[0.    0.368 1.   ],4,2
75,3.5,0.4,0.6838235294117646,[0.    0.744 1.   ],[0.    0.344 1.   ],5,2
76,3.5,0.408,0.6888888888888889,[0.    0.744 1.   ],[0.    0.336 1.   ],6,2
77,3.5,0.392,0.6814814814814815,[0.    0.736 1.   ],[0.    0.344 1.   ],7,2
78,3.5,0.552,0.7716535433070867,[0.    0.784 1.   ],[0.    0.232 1.   ],8,2
79,3.5,0.48800000000000004,0.7259259259259259,[0.    0.784 1.   ],[0.    0.296 1.   ],9,2
80,5.0,0.52,0.7272727272727273,[0.    0.832 1.   ],[0.    0.312 1.   ],0,2
81,5.0,0.448,0.708955223880597,[0.   0.76 1.  ],[0.    0.312 1.   ],1,2
82,5.0,0.49600000000000005,0.7246376811594203,[0.  0.8 1. ],[0.    0.304 1.   ],2,2
83,5.0,0.624,0.7635135135135134,[0.    0.904 1.   ],[0.   0.28 1.  ],3,2
84,5.0,0.544,0.7394366197183099,[0.   0.84 1.  ],[0.    0.296 1.   ],4,2
85,5.0,0.456,0.711111111111111,[0.    0.768 1.   ],[0.    0.312 1.   ],5,2
86,5.0,0.56,0.7734375,[0.    0.792 1.   ],[0.    0.232 1.   ],6,2
87,5.0,0.528,0.7115384615384616,[0.    0.888 1.   ],[0.   0.36 1.  ],7,2
88,5.0,0.5840000000000001,0.7517241379310345,[0.    0.872 1.   ],[0.    0.288 1.   ],8,2
89,5.0,0.48799999999999993,0.7132867132867133,[0.    0.816 1.   ],[0.    0.328 1.   ],9,2
90,7.0,0.512,0.7162162162162162,[0.    0.848 1.   ],[0.    0.336 1.   ],0,2
91,7.0,0.5920000000000001,0.7534246575342466,[0.   0.88 1.  ],[0.    0.288 1.   ],1,2
