,epsilon,distance,algorithm,dataset,dimension
0,0.5,1.9605746035696094,grid-kd-Laplace,skewed-dataset,2
1,0.7,1.7071891526743184,grid-kd-Laplace,skewed-dataset,2
2,1.0,1.4713656238218131,grid-kd-Laplace,skewed-dataset,2
3,1.5,1.073572781480886,grid-kd-Laplace,skewed-dataset,2
4,2.0,0.8374686119958166,grid-kd-Laplace,skewed-dataset,2
5,2.5,0.7217441762507588,grid-kd-Laplace,skewed-dataset,2
6,3.0,0.6035668987351863,grid-kd-Laplace,skewed-dataset,2
7,3.5,0.520034618387823,grid-kd-Laplace,skewed-dataset,2
8,5.0,0.39560144791507407,grid-kd-Laplace,skewed-dataset,2
9,7.0,0.2779840277007576,grid-kd-Laplace,skewed-dataset,2
10,9.0,0.22308199167324552,grid-kd-Laplace,skewed-dataset,2
11,0.5,2.448192595604677,grid-kd-Laplace,skewed-dataset,3
12,0.7,2.2251354978800704,grid-kd-Laplace,skewed-dataset,3
13,1.0,1.8452604990521064,grid-kd-Laplace,skewed-dataset,3
14,1.5,1.4897861126750818,grid-kd-Laplace,skewed-dataset,3
15,2.0,1.2366977594702544,grid-kd-Laplace,skewed-dataset,3
16,2.5,0.9976292000168792,grid-kd-Laplace,skewed-dataset,3
17,3.0,0.9062624662695279,grid-kd-Laplace,skewed-dataset,3
18,3.5,0.7788690459028209,grid-kd-Laplace,skewed-dataset,3
19,5.0,0.573360715136571,grid-kd-Laplace,skewed-dataset,3
20,7.0,0.4274071292497571,grid-kd-Laplace,skewed-dataset,3
21,9.0,0.32900762145174495,grid-kd-Laplace,skewed-dataset,3
