,epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimension
0,0.5,0.352,0.7075471698113207,[0.  0.6 1. ],[0.    0.248 1.   ],0,2
1,0.5,0.16000000000000003,0.6041666666666666,[0.    0.464 1.   ],[0.    0.304 1.   ],1,2
2,0.5,0.2,0.6712328767123287,[0.    0.392 1.   ],[0.    0.192 1.   ],2,2
3,0.5,0.31999999999999995,0.7564102564102564,[0.    0.472 1.   ],[0.    0.152 1.   ],3,2
4,0.5,0.28,0.6732673267326733,[0.    0.544 1.   ],[0.    0.264 1.   ],4,2
5,0.5,0.17600000000000005,0.5948275862068966,[0.    0.552 1.   ],[0.    0.376 1.   ],5,2
6,0.5,0.288,0.7647058823529411,[0.    0.416 1.   ],[0.    0.128 1.   ],6,2
7,0.5,0.31999999999999995,0.6886792452830188,[0.    0.584 1.   ],[0.    0.264 1.   ],7,2
8,0.5,0.16799999999999998,0.6235294117647059,[0.    0.424 1.   ],[0.    0.256 1.   ],8,2
9,0.5,0.344,0.6936936936936937,[0.    0.616 1.   ],[0.    0.272 1.   ],9,2
10,0.7,0.3440000000000001,0.7216494845360826,[0.   0.56 1.  ],[0.    0.216 1.   ],0,2
11,0.7,0.3440000000000001,0.7216494845360826,[0.   0.56 1.  ],[0.    0.216 1.   ],1,2
12,0.7,0.38399999999999995,0.7553191489361701,[0.    0.568 1.   ],[0.    0.184 1.   ],2,2
13,0.7,0.20799999999999996,0.6083333333333333,[0.    0.584 1.   ],[0.    0.376 1.   ],3,2
14,0.7,0.304,0.6696428571428572,[0.  0.6 1. ],[0.    0.296 1.   ],4,2
15,0.7,0.30400000000000005,0.6862745098039216,[0.   0.56 1.  ],[0.    0.256 1.   ],5,2
16,0.7,0.28,0.7011494252873564,[0.    0.488 1.   ],[0.    0.208 1.   ],6,2
17,0.7,0.352,0.7,[0.    0.616 1.   ],[0.    0.264 1.   ],7,2
18,0.7,0.4,0.7358490566037736,[0.    0.624 1.   ],[0.    0.224 1.   ],8,2
19,0.7,0.264,0.6813186813186813,[0.    0.496 1.   ],[0.    0.232 1.   ],9,2
