,epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimension
0,0.5,0.11200000000000002,0.8500000000000001,[0.    0.136 1.   ],[0.    0.024 1.   ],0,2
1,0.5,0.144,0.7647058823529411,[0.    0.208 1.   ],[0.    0.064 1.   ],1,2
2,0.5,0.07999999999999999,0.8125,[0.    0.104 1.   ],[0.    0.024 1.   ],2,2
3,0.5,0.152,0.88,[0.    0.176 1.   ],[0.    0.024 1.   ],3,2
4,0.5,0.048,0.8,[0.    0.064 1.   ],[0.    0.016 1.   ],4,2
5,0.5,0.056,0.8888888888888888,[0.    0.064 1.   ],[0.    0.008 1.   ],5,2
6,0.5,0.128,0.6904761904761905,[0.    0.232 1.   ],[0.    0.104 1.   ],6,2
7,0.5,0.072,1.0,[0.    0.072 1.   ],[0. 0. 1.],7,2
8,0.5,0.16,0.8846153846153847,[0.    0.184 1.   ],[0.    0.024 1.   ],8,2
9,0.5,0.168,1.0,[0.    0.168 1.   ],[0. 0. 1.],9,2
10,0.7,-0.016,0.42857142857142855,[0.    0.048 1.   ],[0.    0.064 1.   ],0,2
11,0.7,0.032,1.0,[0.    0.032 1.   ],[0. 0. 1.],1,2
12,0.7,0.14400000000000002,0.9090909090909092,[0.   0.16 1.  ],[0.    0.016 1.   ],2,2
13,0.7,0.07999999999999999,0.9166666666666666,[0.    0.088 1.   ],[0.    0.008 1.   ],3,2
14,0.7,0.184,0.96,[0.    0.192 1.   ],[0.    0.008 1.   ],4,2
15,0.7,0.07999999999999999,0.75,[0.   0.12 1.  ],[0.   0.04 1.  ],5,2
16,0.7,0.04000000000000001,0.558139534883721,[0.    0.192 1.   ],[0.    0.152 1.   ],6,2
17,0.7,0.048000000000000015,0.5576923076923077,[0.    0.232 1.   ],[0.    0.184 1.   ],7,2
18,0.7,0.096,0.875,[0.    0.112 1.   ],[0.    0.016 1.   ],8,2
19,0.7,0.168,0.6842105263157895,[0.    0.312 1.   ],[0.    0.144 1.   ],9,2
20,1.0,0.039999999999999994,0.6470588235294117,[0.    0.088 1.   ],[0.    0.048 1.   ],0,2
21,1.0,0.17600000000000002,0.8928571428571429,[0.  0.2 1. ],[0.    0.024 1.   ],1,2
22,1.0,-0.016,0.4583333333333333,[0.    0.088 1.   ],[0.    0.104 1.   ],2,2
23,1.0,0.12,0.8571428571428572,[0.    0.144 1.   ],[0.    0.024 1.   ],3,2
