,epsilon,distance,algorithm,dataset,dimension
0,0.5,3.976427432737535,kd-Laplace,heart-dataset,2
1,0.7,2.8902379848138695,kd-Laplace,heart-dataset,2
2,1.0,2.0621154383819382,kd-Laplace,heart-dataset,2
3,1.5,1.3536532220131703,kd-Laplace,heart-dataset,2
4,2.0,0.9837930609125117,kd-Laplace,heart-dataset,2
5,2.5,0.7925282827845719,kd-Laplace,heart-dataset,2
6,3.0,0.671938577924114,kd-Laplace,heart-dataset,2
7,3.5,0.5740176552882674,kd-Laplace,heart-dataset,2
8,5.0,0.3866093950141111,kd-Laplace,heart-dataset,2
9,7.0,0.2833398783765623,kd-Laplace,heart-dataset,2
10,9.0,0.22241108064178938,kd-Laplace,heart-dataset,2
11,0.5,6.0545100360246975,kd-Laplace,heart-dataset,3
12,0.7,4.204460993550259,kd-Laplace,heart-dataset,3
13,1.0,2.971942609243789,kd-Laplace,heart-dataset,3
14,1.5,1.991730975591822,kd-Laplace,heart-dataset,3
15,2.0,1.514999161144946,kd-Laplace,heart-dataset,3
16,2.5,1.2108336989301283,kd-Laplace,heart-dataset,3
17,3.0,0.9728892655829217,kd-Laplace,heart-dataset,3
18,3.5,0.8813554548012833,kd-Laplace,heart-dataset,3
19,5.0,0.597731811734495,kd-Laplace,heart-dataset,3
20,7.0,0.4444082586090111,kd-Laplace,heart-dataset,3
21,9.0,0.3262992662210949,kd-Laplace,heart-dataset,3
22,0.5,8.006995909035167,kd-Laplace,heart-dataset,4
23,0.7,5.6495845071458435,kd-Laplace,heart-dataset,4
24,1.0,4.050716949421177,kd-Laplace,heart-dataset,4
25,1.5,2.6580249339541595,kd-Laplace,heart-dataset,4
26,2.0,1.9743053271296764,kd-Laplace,heart-dataset,4
27,2.5,1.572040409624673,kd-Laplace,heart-dataset,4
28,3.0,1.3260663201723892,kd-Laplace,heart-dataset,4
29,3.5,1.128395950969235,kd-Laplace,heart-dataset,4
30,5.0,0.7902181617818871,kd-Laplace,heart-dataset,4
31,7.0,0.5625243351799337,kd-Laplace,heart-dataset,4
32,9.0,0.44855790485572183,kd-Laplace,heart-dataset,4
33,0.5,10.027745149785149,kd-Laplace,heart-dataset,5
34,0.7,7.2214021203065935,kd-Laplace,heart-dataset,5
35,1.0,5.001528719427391,kd-Laplace,heart-dataset,5
36,1.5,3.3830406357893033,kd-Laplace,heart-dataset,5
37,2.0,2.4556663085539467,kd-Laplace,heart-dataset,5
38,2.5,2.0273945226292676,kd-Laplace,heart-dataset,5
39,3.0,1.6641010297485455,kd-Laplace,heart-dataset,5
40,3.5,1.4300834991311493,kd-Laplace,heart-dataset,5
41,5.0,0.99843451264364,kd-Laplace,heart-dataset,5
42,7.0,0.719571067343341,kd-Laplace,heart-dataset,5
43,9.0,0.5536920386540066,kd-Laplace,heart-dataset,5
44,0.5,12.002237975724679,kd-Laplace,heart-dataset,6
45,0.7,8.600386357742655,kd-Laplace,heart-dataset,6
46,1.0,6.130099727899884,kd-Laplace,heart-dataset,6
47,1.5,4.043468596402983,kd-Laplace,heart-dataset,6
48,2.0,3.0251695446500495,kd-Laplace,heart-dataset,6
49,2.5,2.3941880690931727,kd-Laplace,heart-dataset,6
50,3.0,1.9676263654767923,kd-Laplace,heart-dataset,6
51,3.5,1.6880428459700834,kd-Laplace,heart-dataset,6
52,5.0,1.206794112288928,kd-Laplace,heart-dataset,6
53,7.0,0.8534551677147151,kd-Laplace,heart-dataset,6
54,9.0,0.6553277185589971,kd-Laplace,heart-dataset,6
55,0.5,13.789671697910789,kd-Laplace,heart-dataset,7
56,0.7,9.98757019327215,kd-Laplace,heart-dataset,7
57,1.0,7.068232118512794,kd-Laplace,heart-dataset,7
58,1.5,4.644345699070315,kd-Laplace,heart-dataset,7
59,2.0,3.4533711619626395,kd-Laplace,heart-dataset,7
60,2.5,2.815601349054458,kd-Laplace,heart-dataset,7
61,3.0,2.3361302700717523,kd-Laplace,heart-dataset,7
62,3.5,2.011745772843071,kd-Laplace,heart-dataset,7
63,5.0,1.4133650997180214,kd-Laplace,heart-dataset,7
64,7.0,0.9914869643598363,kd-Laplace,heart-dataset,7
65,9.0,0.7707818131056011,kd-Laplace,heart-dataset,7
66,0.5,15.816172518782947,kd-Laplace,heart-dataset,8
67,0.7,11.472527701768556,kd-Laplace,heart-dataset,8
68,1.0,8.004528374086705,kd-Laplace,heart-dataset,8
69,1.5,5.292119864989117,kd-Laplace,heart-dataset,8
70,2.0,4.043547104933567,kd-Laplace,heart-dataset,8
71,2.5,3.203709240384795,kd-Laplace,heart-dataset,8
72,3.0,2.6351091774626068,kd-Laplace,heart-dataset,8
73,3.5,2.292118041025909,kd-Laplace,heart-dataset,8
74,5.0,1.5981976401979059,kd-Laplace,heart-dataset,8
75,7.0,1.1402441987116065,kd-Laplace,heart-dataset,8
76,9.0,0.884008327159004,kd-Laplace,heart-dataset,8
77,0.5,18.018997086895926,kd-Laplace,heart-dataset,9
78,0.7,12.919773419040096,kd-Laplace,heart-dataset,9
79,1.0,8.957111762208564,kd-Laplace,heart-dataset,9
80,1.5,6.0563901411089205,kd-Laplace,heart-dataset,9
81,2.0,4.498465960045731,kd-Laplace,heart-dataset,9
82,2.5,3.616478581243023,kd-Laplace,heart-dataset,9
83,3.0,2.9997935386558425,kd-Laplace,heart-dataset,9
84,3.5,2.56311483746327,kd-Laplace,heart-dataset,9
85,5.0,1.7771419249800817,kd-Laplace,heart-dataset,9
86,7.0,1.2915556437934663,kd-Laplace,heart-dataset,9
87,9.0,1.002034683488248,kd-Laplace,heart-dataset,9
