,epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimension
0,0.5,0.15253227408143,0.5766773162939297,[0.         0.57358491 1.        ],[0.         0.42105263 1.        ],0,2
1,0.5,0.11495247552844373,0.5552781302443617,[0.         0.57735849 1.        ],[0.         0.46240602 1.        ],1,2
2,0.5,0.08486310114909917,0.5399428434069603,[0.         0.57358491 1.        ],[0.        0.4887218 1.       ],2,2
3,0.5,0.12974890055326999,0.57235072619688,[0.         0.51320755 1.        ],[0.         0.38345865 1.        ],3,2
4,0.5,0.11847070506454815,0.5652411681067483,[0.         0.51320755 1.        ],[0.         0.39473684 1.        ],4,2
5,0.5,0.06986806639239607,0.5317598503901464,[0.         0.58490566 1.        ],[0.         0.51503759 1.        ],5,2
6,0.5,-0.05065966803801958,0.476966937137992,[0.        0.5245283 1.       ],[0.         0.57518797 1.        ],6,2
7,0.5,0.13372109519080722,0.5664682819507517,[0.         0.56981132 1.        ],[0.         0.43609023 1.        ],7,2
8,0.5,0.20875301461200169,0.6231071697481804,[0.         0.52830189 1.        ],[0.         0.31954887 1.        ],8,2
9,0.5,0.08496240601503757,0.5380984490896831,[0.  0.6 1. ],[0.         0.51503759 1.        ],9,2
10,0.7,0.06239182862817416,0.5276055135705139,[0.         0.59622642 1.        ],[0.         0.53383459 1.        ],0,2
11,0.7,0.12617392537948646,0.5631909512035695,[0.         0.56226415 1.        ],[0.         0.43609023 1.        ],1,2
12,0.7,0.12227266278904808,0.5659661099970916,[0.        0.5245283 1.       ],[0.         0.40225564 1.        ],2,2
13,0.7,0.09253794864519782,0.5406706321000586,[0.         0.61509434 1.        ],[0.         0.52255639 1.        ],3,2
14,0.7,-0.024372251383174892,0.48848556338972143,[0.         0.51698113 1.        ],[0.         0.54135338 1.        ],4,2
15,0.7,0.10381614413391971,0.5460842842388978,[0.         0.61509434 1.        ],[0.        0.5112782 1.       ],5,2
16,0.7,0.1261313661512271,0.5646326747212166,[0.        0.5509434 1.       ],[0.         0.42481203 1.        ],6,2
17,0.7,0.06589587175485884,0.5332569628409822,[0.         0.52830189 1.        ],[0.         0.46240602 1.        ],7,2
18,0.7,0.1261455525606469,0.5641447368421053,[0.         0.55471698 1.        ],[0.         0.42857143 1.        ],8,2
