,algorithm,clustering_algorithm,dimensions,ari,ami,ch,sc,mechanism,epsilon
0,kd-Laplace,KMeans(clusters=4),2,0.4603664310317715,0.44505004092539047,1330.0883405491027,0.32444747502446686,kd-Laplace,0.5
1,kd-Laplace,OPTICS(min_samples=4),2,0.004151302755731534,0.034190580163872455,7.878127403569482,-0.1468398251174428,kd-Laplace,0.5
2,kd-Laplace,KMeans(clusters=4),3,0.49315399047385855,0.4749309360129101,1384.4140474101935,0.3271539565076444,kd-Laplace,0.5
3,kd-Laplace,OPTICS(min_samples=6),3,0.008767422221933236,0.06070938656000844,11.4833070731413,-0.20186449470004103,kd-Laplace,0.5
4,kd-Laplace,KMeans(clusters=4),4,0.2871180467879825,0.33435235546716396,1360.6586054754002,0.3369087760114917,kd-Laplace,0.5
5,kd-Laplace,OPTICS(min_samples=18),4,0.00625096981661351,0.008415615930898684,13.693110127501194,-0.40599341938122435,kd-Laplace,0.5
6,kd-Laplace,KMeans(clusters=4),5,0.30371930766541694,0.3307669259974376,1332.6289285180696,0.3304250508476656,kd-Laplace,0.5
7,kd-Laplace,OPTICS(min_samples=18),5,0.0022912207405731203,0.006780297321126743,4.250024636737686,-0.44674917737465664,kd-Laplace,0.5
8,kd-Laplace,KMeans(clusters=4),6,0.26532366800089224,0.30353365816189076,1304.6932260278384,0.335967117835255,kd-Laplace,0.5
9,kd-Laplace,OPTICS(min_samples=18),6,0.00269698459673806,0.0033485847326705813,13.285775757243437,-0.442948671240622,kd-Laplace,0.5
10,kd-Laplace,KMeans(clusters=4),7,0.25705488205113985,0.28562776859040157,1292.9373506965842,0.3225384104968664,kd-Laplace,0.5
11,kd-Laplace,OPTICS(min_samples=18),7,0.0058467009603065875,0.007306138406627938,20.370778924627242,-0.3528096044504265,kd-Laplace,0.5
12,kd-Laplace,KMeans(clusters=4),8,0.22797904704976119,0.2689185860015239,1277.8151277324564,0.32160184552613924,kd-Laplace,0.5
13,kd-Laplace,OPTICS(min_samples=18),8,-0.0003580597556627675,0.002089339393905969,9.47089220506409,-0.4897969928881573,kd-Laplace,0.5
14,kd-Laplace,KMeans(clusters=4),9,0.22383002893277007,0.2393551840892795,1271.1858822100965,0.3207454549121607,kd-Laplace,0.5
15,kd-Laplace,OPTICS(min_samples=18),9,0.0011668189510646285,0.005538027978993858,13.406024303955927,-0.4644802776020784,kd-Laplace,0.5
16,kd-Laplace,KMeans(clusters=4),10,0.20983540181690402,0.2290165461866706,1252.9564506265729,0.3116310496204621,kd-Laplace,0.5
17,kd-Laplace,OPTICS(min_samples=18),10,0.0003290690598197506,0.004164730313808138,17.31438697810066,-0.4772855900547281,kd-Laplace,0.5
18,kd-Laplace,KMeans(clusters=4),2,0.5156398152114824,0.507072995145442,1384.5463461258896,0.33353964860119634,kd-Laplace,0.7
19,kd-Laplace,OPTICS(min_samples=4),2,0.0037474815241240814,0.04592611270953493,8.618923021297382,-0.13456250659461105,kd-Laplace,0.7
20,kd-Laplace,KMeans(clusters=4),3,0.5945609653072786,0.5691875796246343,1494.2775558996827,0.3412754933445507,kd-Laplace,0.7
21,kd-Laplace,OPTICS(min_samples=6),3,-0.0006734389677222702,0.0687509339558211,8.755095186650255,-0.2886933135186954,kd-Laplace,0.7
22,kd-Laplace,KMeans(clusters=4),4,0.5710784490280876,0.5382914696044722,1424.1026584398992,0.33312029492497286,kd-Laplace,0.7
23,kd-Laplace,OPTICS(min_samples=18),4,-0.003198940218722525,1.7163594934579813e-05,4.190837995608879,-0.21034142654908733,kd-Laplace,0.7
24,kd-Laplace,KMeans(clusters=4),5,0.47116881130171906,0.46032710058796,1392.496038442684,0.32498001296437246,kd-Laplace,0.7
25,kd-Laplace,OPTICS(min_samples=18),5,0.025468783861957823,0.03588966279201643,13.92898053483854,-0.4423917605137365,kd-Laplace,0.7
26,kd-Laplace,KMeans(clusters=4),6,0.4411361474818798,0.43031978993262066,1380.883319575964,0.3308507083069393,kd-Laplace,0.7
27,kd-Laplace,OPTICS(min_samples=18),6,0.01779839653433981,0.02422080388170663,11.849306758119882,-0.5163441338126379,kd-Laplace,0.7
28,kd-Laplace,KMeans(clusters=4),7,0.38788204630069,0.38881137441882097,1363.2551214370287,0.3204408179880594,kd-Laplace,0.7
29,kd-Laplace,OPTICS(min_samples=18),7,-0.006437538754175215,0.014186029897103025,16.902161186615253,-0.4770135057539292,kd-Laplace,0.7
30,kd-Laplace,KMeans(clusters=4),8,0.2997428278244402,0.3415356331029714,1331.4000080425576,0.33066399986461625,kd-Laplace,0.7
31,kd-Laplace,OPTICS(min_samples=18),8,0.0033411498024123777,0.008824003943868036,4.630871516770523,-0.4529154036552506,kd-Laplace,0.7
32,kd-Laplace,KMeans(clusters=4),9,0.2648748383291784,0.30520156317191505,1307.5094537445443,0.32533478058688214,kd-Laplace,0.7
33,kd-Laplace,OPTICS(min_samples=18),9,0.014111083938386892,0.013602302598213333,14.263372453985443,-0.4420906386849956,kd-Laplace,0.7
34,kd-Laplace,KMeans(clusters=4),10,0.2766128630238023,0.3134015922721999,1260.868886402634,0.3204720655187635,kd-Laplace,0.7
35,kd-Laplace,OPTICS(min_samples=18),10,0.004256456263544651,0.007320647316569004,11.118902593011113,-0.49644029067036965,kd-Laplace,0.7
36,kd-Laplace,KMeans(clusters=4),2,0.6867168135604355,0.6471672947186909,1543.6159927312558,0.34739840047649834,kd-Laplace,1.0
37,kd-Laplace,OPTICS(min_samples=4),2,0.003329949558653371,0.07403528575719034,9.097692381357874,-0.08428277751385382,kd-Laplace,1.0
