,epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimension
0,0.5,0.2,0.6712328767123287,[0.    0.392 1.   ],[0.    0.192 1.   ],0,2
1,0.5,0.176,0.627906976744186,[0.    0.432 1.   ],[0.    0.256 1.   ],1,2
2,0.5,0.27999999999999997,0.7058823529411765,[0.   0.48 1.  ],[0.  0.2 1. ],2,2
3,0.5,0.128,0.5597014925373134,[0.  0.6 1. ],[0.    0.472 1.   ],3,2
4,0.5,0.27199999999999996,0.7023809523809524,[0.    0.472 1.   ],[0.  0.2 1. ],4,2
5,0.5,0.33599999999999997,0.7058823529411765,[0.    0.576 1.   ],[0.   0.24 1.  ],5,2
6,0.5,0.128,0.5754716981132075,[0.    0.488 1.   ],[0.   0.36 1.  ],6,2
7,0.5,0.32,0.6694915254237288,[0.    0.632 1.   ],[0.    0.312 1.   ],7,2
8,0.5,0.35200000000000004,0.7340425531914894,[0.    0.552 1.   ],[0.  0.2 1. ],8,2
9,0.5,0.4159999999999999,0.7888888888888889,[0.    0.568 1.   ],[0.    0.152 1.   ],9,2
10,0.7,0.09599999999999997,0.5652173913043478,[0.    0.416 1.   ],[0.   0.32 1.  ],0,2
11,0.7,0.09600000000000003,0.5483870967741936,[0.    0.544 1.   ],[0.    0.448 1.   ],1,2
12,0.7,0.15200000000000002,0.5811965811965812,[0.    0.544 1.   ],[0.    0.392 1.   ],2,2
13,0.7,0.08000000000000002,0.5510204081632653,[0.    0.432 1.   ],[0.    0.352 1.   ],3,2
14,0.7,0.03200000000000003,0.5208333333333334,[0.  0.4 1. ],[0.    0.368 1.   ],4,2
15,0.7,0.128,0.5816326530612245,[0.    0.456 1.   ],[0.    0.328 1.   ],5,2
16,0.7,0.184,0.6161616161616161,[0.    0.488 1.   ],[0.    0.304 1.   ],6,2
17,0.7,0.352,0.6964285714285714,[0.    0.624 1.   ],[0.    0.272 1.   ],7,2
18,0.7,-0.023999999999999966,0.48484848484848486,[0.    0.384 1.   ],[0.    0.408 1.   ],8,2
19,0.7,0.21599999999999997,0.6483516483516484,[0.    0.472 1.   ],[0.    0.256 1.   ],9,2
20,1.0,0.22399999999999998,0.6129032258064516,[0.    0.608 1.   ],[0.    0.384 1.   ],0,2
21,1.0,0.12,0.5688073394495413,[0.    0.496 1.   ],[0.    0.376 1.   ],1,2
22,1.0,0.14400000000000002,0.5957446808510638,[0.    0.448 1.   ],[0.    0.304 1.   ],2,2
23,1.0,-0.04799999999999999,0.4716981132075471,[0.  0.4 1. ],[0.    0.448 1.   ],3,2
24,1.0,0.08000000000000002,0.548076923076923,[0.    0.456 1.   ],[0.    0.376 1.   ],4,2
25,1.0,0.15200000000000002,0.5855855855855856,[0.   0.52 1.  ],[0.    0.368 1.   ],5,2
26,1.0,0.22399999999999998,0.609375,[0.    0.624 1.   ],[0.  0.4 1. ],6,2
27,1.0,0.15200000000000002,0.588785046728972,[0.    0.504 1.   ],[0.    0.352 1.   ],7,2
28,1.0,0.07199999999999995,0.5412844036697247,[0.    0.472 1.   ],[0.  0.4 1. ],8,2
29,1.0,0.008000000000000007,0.5050505050505051,[0.  0.4 1. ],[0.    0.392 1.   ],9,2
30,1.5,0.055999999999999994,0.5284552845528455,[0.   0.52 1.  ],[0.    0.464 1.   ],0,2
31,1.5,0.248,0.6534653465346535,[0.    0.528 1.   ],[0.   0.28 1.  ],1,2
32,1.5,0.14400000000000002,0.5803571428571429,[0.   0.52 1.  ],[0.    0.376 1.   ],2,2
33,1.5,0.040000000000000036,0.5203252032520326,[0.    0.512 1.   ],[0.    0.472 1.   ],3,2
34,1.5,0.05600000000000005,0.5271317829457365,[0.    0.544 1.   ],[0.    0.488 1.   ],4,2
35,1.5,0.13599999999999995,0.565891472868217,[0.    0.584 1.   ],[0.    0.448 1.   ],5,2
36,1.5,0.14399999999999996,0.5681818181818181,[0.  0.6 1. ],[0.    0.456 1.   ],6,2
37,1.5,0.02400000000000002,0.512396694214876,[0.    0.496 1.   ],[0.    0.472 1.   ],7,2
38,1.5,0.08000000000000002,0.5416666666666667,[0.   0.52 1.  ],[0.   0.44 1.  ],8,2
39,1.5,0.064,0.5338983050847458,[0.    0.504 1.   ],[0.   0.44 1.  ],9,2
40,2.0,0.192,0.6153846153846153,[0.    0.512 1.   ],[0.   0.32 1.  ],0,2
41,2.0,0.04799999999999999,0.5340909090909092,[0.    0.376 1.   ],[0.    0.328 1.   ],1,2
42,2.0,0.248,0.6631578947368421,[0.    0.504 1.   ],[0.    0.256 1.   ],2,2
43,2.0,0.040000000000000036,0.52,[0.   0.52 1.  ],[0.   0.48 1.  ],3,2
44,2.0,0.016000000000000014,0.5072463768115942,[0.   0.56 1.  ],[0.    0.544 1.   ],4,2
45,2.0,0.136,0.5876288659793815,[0.    0.456 1.   ],[0.   0.32 1.  ],5,2
46,2.0,0.064,0.5377358490566038,[0.    0.456 1.   ],[0.    0.392 1.   ],6,2
47,2.0,0.16000000000000003,0.6086956521739131,[0.    0.448 1.   ],[0.    0.288 1.   ],7,2
48,2.0,0.08800000000000002,0.546218487394958,[0.   0.52 1.  ],[0.    0.432 1.   ],8,2
49,2.0,0.136,0.5913978494623656,[0.   0.44 1.  ],[0.    0.304 1.   ],9,2
50,2.5,0.11200000000000004,0.5564516129032259,[0.    0.552 1.   ],[0.   0.44 1.  ],0,2
51,2.5,0.12,0.5700934579439252,[0.    0.488 1.   ],[0.    0.368 1.   ],1,2
52,2.5,0.21600000000000003,0.6261682242990654,[0.    0.536 1.   ],[0.   0.32 1.  ],2,2
53,2.5,0.10399999999999998,0.5585585585585585,[0.    0.496 1.   ],[0.    0.392 1.   ],3,2
54,2.5,0.04800000000000004,0.5238095238095238,[0.    0.528 1.   ],[0.   0.48 1.  ],4,2
55,2.5,0.03199999999999997,0.5238095238095238,[0.    0.352 1.   ],[0.   0.32 1.  ],5,2
56,2.5,0.184,0.6185567010309277,[0.   0.48 1.  ],[0.    0.296 1.   ],6,2
57,2.5,0.08000000000000002,0.5499999999999999,[0.   0.44 1.  ],[0.   0.36 1.  ],7,2
58,2.5,0.08799999999999997,0.5384615384615384,[0.    0.616 1.   ],[0.    0.528 1.   ],8,2
59,2.5,0.016000000000000014,0.5078125,[0.   0.52 1.  ],[0.    0.504 1.   ],9,2
60,3.0,0.15199999999999997,0.576,[0.    0.576 1.   ],[0.    0.424 1.   ],0,2
61,3.0,0.040000000000000036,0.5165562913907285,[0.    0.624 1.   ],[0.    0.584 1.   ],1,2
62,3.0,0.10399999999999998,0.5607476635514018,[0.   0.48 1.  ],[0.    0.376 1.   ],2,2
63,3.0,0.176,0.6057692307692307,[0.    0.504 1.   ],[0.    0.328 1.   ],3,2
64,3.0,0.21600000000000003,0.5957446808510638,[0.    0.672 1.   ],[0.    0.456 1.   ],4,2
65,3.0,0.09599999999999997,0.5545454545454546,[0.    0.488 1.   ],[0.    0.392 1.   ],5,2
66,3.0,0.05600000000000005,0.5263157894736842,[0.   0.56 1.  ],[0.    0.504 1.   ],6,2
67,3.0,0.20800000000000002,0.63,[0.    0.504 1.   ],[0.    0.296 1.   ],7,2
68,3.0,0.03199999999999997,0.5199999999999999,[0.    0.416 1.   ],[0.    0.384 1.   ],8,2
69,3.0,0.14400000000000002,0.5803571428571429,[0.   0.52 1.  ],[0.    0.376 1.   ],9,2
70,3.5,0.19199999999999995,0.6016949152542372,[0.    0.568 1.   ],[0.    0.376 1.   ],0,2
71,3.5,0.296,0.6258503401360545,[0.    0.736 1.   ],[0.   0.44 1.  ],1,2
72,3.5,0.07199999999999995,0.5328467153284671,[0.    0.584 1.   ],[0.    0.512 1.   ],2,2
73,3.5,0.07200000000000001,0.5371900826446281,[0.   0.52 1.  ],[0.    0.448 1.   ],3,2
74,3.5,0.11199999999999999,0.5660377358490566,[0.   0.48 1.  ],[0.    0.368 1.   ],4,2
75,3.5,0.02399999999999991,0.5104895104895104,[0.    0.584 1.   ],[0.   0.56 1.  ],5,2
76,3.5,0.15199999999999997,0.576,[0.    0.576 1.   ],[0.    0.424 1.   ],6,2
77,3.5,0.15199999999999997,0.5922330097087378,[0.    0.488 1.   ],[0.    0.336 1.   ],7,2
78,3.5,0.07200000000000001,0.550561797752809,[0.    0.392 1.   ],[0.   0.32 1.  ],8,2
79,3.5,0.136,0.5629629629629629,[0.    0.608 1.   ],[0.    0.472 1.   ],9,2
80,5.0,0.064,0.5392156862745098,[0.   0.44 1.  ],[0.    0.376 1.   ],0,2
81,5.0,0.11199999999999999,0.551470588235294,[0.  0.6 1. ],[0.    0.488 1.   ],1,2
82,5.0,0.176,0.5887096774193548,[0.    0.584 1.   ],[0.    0.408 1.   ],2,2
83,5.0,0.14400000000000002,0.5625,[0.    0.648 1.   ],[0.    0.504 1.   ],3,2
84,5.0,0.176,0.5808823529411764,[0.    0.632 1.   ],[0.    0.456 1.   ],4,2
85,5.0,0.136,0.5876288659793815,[0.    0.456 1.   ],[0.   0.32 1.  ],5,2
86,5.0,0.20000000000000007,0.5874125874125874,[0.    0.672 1.   ],[0.    0.472 1.   ],6,2
87,5.0,0.23199999999999998,0.6218487394957983,[0.    0.592 1.   ],[0.   0.36 1.  ],7,2
88,5.0,0.055999999999999994,0.5289256198347108,[0.    0.512 1.   ],[0.    0.456 1.   ],8,2
89,5.0,0.16799999999999998,0.5777777777777777,[0.    0.624 1.   ],[0.    0.456 1.   ],9,2
90,7.0,0.20799999999999996,0.5855263157894737,[0.    0.712 1.   ],[0.    0.504 1.   ],0,2
91,7.0,0.15200000000000002,0.5693430656934306,[0.    0.624 1.   ],[0.    0.472 1.   ],1,2
92,7.0,0.08799999999999997,0.5419847328244274,[0.    0.568 1.   ],[0.   0.48 1.  ],2,2
93,7.0,0.136,0.5726495726495726,[0.    0.536 1.   ],[0.  0.4 1. ],3,2
94,7.0,0.12,0.5539568345323741,[0.    0.616 1.   ],[0.    0.496 1.   ],4,2
95,7.0,0.15200000000000002,0.5629139072847682,[0.   0.68 1.  ],[0.    0.528 1.   ],5,2
96,7.0,0.05600000000000005,0.5263157894736842,[0.   0.56 1.  ],[0.    0.504 1.   ],6,2
97,7.0,0.23200000000000004,0.60431654676259,[0.    0.672 1.   ],[0.   0.44 1.  ],7,2
98,7.0,0.08799999999999997,0.539568345323741,[0.  0.6 1. ],[0.    0.512 1.   ],8,2
99,7.0,0.2,0.5912408759124087,[0.    0.648 1.   ],[0.    0.448 1.   ],9,2
100,9.0,0.16799999999999998,0.5766423357664233,[0.    0.632 1.   ],[0.    0.464 1.   ],0,2
101,9.0,0.18400000000000005,0.6017699115044248,[0.    0.544 1.   ],[0.   0.36 1.  ],1,2
102,9.0,0.15199999999999997,0.5736434108527131,[0.    0.592 1.   ],[0.   0.44 1.  ],2,2
103,9.0,0.07999999999999996,0.5367647058823529,[0.    0.584 1.   ],[0.    0.504 1.   ],3,2
104,9.0,0.288,0.7142857142857143,[0.   0.48 1.  ],[0.    0.192 1.   ],4,2
105,9.0,0.24799999999999994,0.6054421768707483,[0.    0.712 1.   ],[0.    0.464 1.   ],5,2
106,9.0,0.04800000000000004,0.5241935483870968,[0.   0.52 1.  ],[0.    0.472 1.   ],6,2
107,9.0,0.08000000000000007,0.5390625,[0.    0.552 1.   ],[0.    0.472 1.   ],7,2
108,9.0,0.10399999999999998,0.5408805031446541,[0.    0.688 1.   ],[0.    0.584 1.   ],8,2
109,9.0,0.19999999999999996,0.5796178343949044,[0.    0.728 1.   ],[0.    0.528 1.   ],9,2
