,epsilon,distance,algorithm,dataset,dimension
0,0.5,4.003937809523809,kd-Laplace,seeds-dataset,2
1,0.7,2.847744020408163,kd-Laplace,seeds-dataset,2
2,1.0,2.1247001047619047,kd-Laplace,seeds-dataset,2
3,1.5,1.2794461206349206,kd-Laplace,seeds-dataset,2
4,2.0,1.1127851,kd-Laplace,seeds-dataset,2
5,2.5,0.7783304590476189,kd-Laplace,seeds-dataset,2
6,3.0,0.6588168476190477,kd-Laplace,seeds-dataset,2
7,3.5,0.5601403741496598,kd-Laplace,seeds-dataset,2
8,5.0,0.40549048190476195,kd-Laplace,seeds-dataset,2
9,7.0,0.27923818639455766,kd-Laplace,seeds-dataset,2
10,9.0,0.2211913058201057,kd-Laplace,seeds-dataset,2
11,0.5,5.8319838007160145,kd-Laplace,seeds-dataset,3
12,0.7,4.099612628410471,kd-Laplace,seeds-dataset,3
13,1.0,3.117680231039776,kd-Laplace,seeds-dataset,3
14,1.5,2.0503649910616657,kd-Laplace,seeds-dataset,3
15,2.0,1.5028622255907327,kd-Laplace,seeds-dataset,3
16,2.5,1.2149759309516386,kd-Laplace,seeds-dataset,3
17,3.0,1.0069324549604823,kd-Laplace,seeds-dataset,3
18,3.5,0.7860132154253108,kd-Laplace,seeds-dataset,3
19,5.0,0.604769946282406,kd-Laplace,seeds-dataset,3
20,7.0,0.45259704364189657,kd-Laplace,seeds-dataset,3
21,9.0,0.32018849963878016,kd-Laplace,seeds-dataset,3
22,0.5,7.970889211850555,kd-Laplace,seeds-dataset,4
23,0.7,5.504395136209006,kd-Laplace,seeds-dataset,4
24,1.0,4.171950235483609,kd-Laplace,seeds-dataset,4
25,1.5,2.6336053504922963,kd-Laplace,seeds-dataset,4
26,2.0,1.95340431594368,kd-Laplace,seeds-dataset,4
27,2.5,1.714163763670294,kd-Laplace,seeds-dataset,4
28,3.0,1.3367549245530472,kd-Laplace,seeds-dataset,4
29,3.5,1.15508040253342,kd-Laplace,seeds-dataset,4
30,5.0,0.8161118356179694,kd-Laplace,seeds-dataset,4
31,7.0,0.567625116268201,kd-Laplace,seeds-dataset,4
32,9.0,0.42066988468399436,kd-Laplace,seeds-dataset,4
33,0.5,9.865797938710239,kd-Laplace,seeds-dataset,5
34,0.7,7.166699443627817,kd-Laplace,seeds-dataset,5
35,1.0,4.88748153515503,kd-Laplace,seeds-dataset,5
36,1.5,3.0493956330587437,kd-Laplace,seeds-dataset,5
37,2.0,2.4249702966765962,kd-Laplace,seeds-dataset,5
38,2.5,1.997143254007376,kd-Laplace,seeds-dataset,5
39,3.0,1.690321487823378,kd-Laplace,seeds-dataset,5
40,3.5,1.4867061816963572,kd-Laplace,seeds-dataset,5
41,5.0,1.0675961637519242,kd-Laplace,seeds-dataset,5
42,7.0,0.7162174968869205,kd-Laplace,seeds-dataset,5
43,9.0,0.539894862137783,kd-Laplace,seeds-dataset,5
44,0.5,12.230356803022053,kd-Laplace,seeds-dataset,6
45,0.7,7.997282860185472,kd-Laplace,seeds-dataset,6
46,1.0,6.006793045266412,kd-Laplace,seeds-dataset,6
47,1.5,3.902222948315042,kd-Laplace,seeds-dataset,6
48,2.0,3.0226973489647824,kd-Laplace,seeds-dataset,6
49,2.5,2.459490120053675,kd-Laplace,seeds-dataset,6
50,3.0,1.9329896844108938,kd-Laplace,seeds-dataset,6
51,3.5,1.7116983398027616,kd-Laplace,seeds-dataset,6
52,5.0,1.20741299917613,kd-Laplace,seeds-dataset,6
53,7.0,0.8449264317116285,kd-Laplace,seeds-dataset,6
54,9.0,0.6643256170847425,kd-Laplace,seeds-dataset,6
55,0.5,14.093047115499543,kd-Laplace,seeds-dataset,7
56,0.7,9.89951350321071,kd-Laplace,seeds-dataset,7
57,1.0,6.954008126079087,kd-Laplace,seeds-dataset,7
58,1.5,4.9037148087213325,kd-Laplace,seeds-dataset,7
59,2.0,3.543125597279947,kd-Laplace,seeds-dataset,7
60,2.5,2.8005839957692356,kd-Laplace,seeds-dataset,7
61,3.0,2.391700513283962,kd-Laplace,seeds-dataset,7
62,3.5,1.9782055581827587,kd-Laplace,seeds-dataset,7
63,5.0,1.4083081131714033,kd-Laplace,seeds-dataset,7
64,7.0,1.0282571095922888,kd-Laplace,seeds-dataset,7
65,9.0,0.7808776489443335,kd-Laplace,seeds-dataset,7
