,epsilon,distance,algorithm,dataset,dimension
0,0.5,3.90630594,kd-Laplace,skewed-dataset,2
1,0.7,2.8671744942857145,kd-Laplace,skewed-dataset,2
2,1.0,1.9719676050000003,kd-Laplace,skewed-dataset,2
3,1.5,1.3637855566666668,kd-Laplace,skewed-dataset,2
4,2.0,1.0428837084999998,kd-Laplace,skewed-dataset,2
5,2.5,0.8024799439999999,kd-Laplace,skewed-dataset,2
6,3.0,0.6471502563333333,kd-Laplace,skewed-dataset,2
7,3.5,0.5893516117142857,kd-Laplace,skewed-dataset,2
8,5.0,0.40349017260000003,kd-Laplace,skewed-dataset,2
9,7.0,0.29408608071428566,kd-Laplace,skewed-dataset,2
10,9.0,0.21969491044444447,kd-Laplace,skewed-dataset,2
11,0.5,5.9938313817927344,kd-Laplace,skewed-dataset,3
12,0.7,4.371693523237003,kd-Laplace,skewed-dataset,3
13,1.0,3.019491886418019,kd-Laplace,skewed-dataset,3
14,1.5,2.0093109173778987,kd-Laplace,skewed-dataset,3
15,2.0,1.5107214915392493,kd-Laplace,skewed-dataset,3
16,2.5,1.1990501635038369,kd-Laplace,skewed-dataset,3
17,3.0,0.9781755708496152,kd-Laplace,skewed-dataset,3
18,3.5,0.8321388516655054,kd-Laplace,skewed-dataset,3
19,5.0,0.5991357788689686,kd-Laplace,skewed-dataset,3
20,7.0,0.4376076131936199,kd-Laplace,skewed-dataset,3
21,9.0,0.33740345414908957,kd-Laplace,skewed-dataset,3
