,epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimension
0,0.5,0.688,0.7828947368421052,[0.    0.952 1.   ],[0.    0.264 1.   ],0,2
1,0.5,0.664,0.782312925170068,[0.   0.92 1.  ],[0.    0.256 1.   ],1,2
2,0.5,0.76,0.8518518518518519,[0.   0.92 1.  ],[0.   0.16 1.  ],2,2
3,0.5,0.584,0.7212121212121213,[0.    0.952 1.   ],[0.    0.368 1.   ],3,2
4,0.5,0.608,0.7289156626506025,[0.    0.968 1.   ],[0.   0.36 1.  ],4,2
5,0.5,0.704,0.7933333333333333,[0.    0.952 1.   ],[0.    0.248 1.   ],5,2
6,0.5,0.704,0.8188405797101449,[0.    0.904 1.   ],[0.  0.2 1. ],6,2
7,0.5,0.5760000000000001,0.725,[0.    0.928 1.   ],[0.    0.352 1.   ],7,2
8,0.5,0.7200000000000001,0.8169014084507041,[0.    0.928 1.   ],[0.    0.208 1.   ],8,2
9,0.5,0.6399999999999999,0.7531645569620252,[0.    0.952 1.   ],[0.    0.312 1.   ],9,2
10,0.7,0.616,0.727810650887574,[0.    0.984 1.   ],[0.    0.368 1.   ],0,2
11,0.7,0.664,0.782312925170068,[0.   0.92 1.  ],[0.    0.256 1.   ],1,2
12,0.7,0.7040000000000001,0.8098591549295774,[0.   0.92 1.  ],[0.    0.216 1.   ],2,2
13,0.7,0.656,0.7808219178082191,[0.    0.912 1.   ],[0.    0.256 1.   ],3,2
14,0.7,0.6479999999999999,0.7515527950310559,[0.    0.968 1.   ],[0.   0.32 1.  ],4,2
15,0.7,0.744,0.8297872340425532,[0.    0.936 1.   ],[0.    0.192 1.   ],5,2
16,0.7,0.6799999999999999,0.8148148148148148,[0.   0.88 1.  ],[0.  0.2 1. ],6,2
17,0.7,0.6240000000000001,0.75,[0.    0.936 1.   ],[0.    0.312 1.   ],7,2
18,0.7,0.6479999999999999,0.7579617834394904,[0.    0.952 1.   ],[0.    0.304 1.   ],8,2
19,0.7,0.648,0.7913669064748201,[0.   0.88 1.  ],[0.    0.232 1.   ],9,2
20,1.0,0.504,0.7006369426751592,[0.   0.88 1.  ],[0.    0.376 1.   ],0,2
21,1.0,0.696,0.8270676691729323,[0.   0.88 1.  ],[0.    0.184 1.   ],1,2
22,1.0,0.68,0.7972027972027972,[0.    0.912 1.   ],[0.    0.232 1.   ],2,2
23,1.0,0.8079999999999999,0.874074074074074,[0.    0.944 1.   ],[0.    0.136 1.   ],3,2
24,1.0,0.688,0.7828947368421052,[0.    0.952 1.   ],[0.    0.264 1.   ],4,2
25,1.0,0.696,0.7770700636942675,[0.    0.976 1.   ],[0.   0.28 1.  ],5,2
26,1.0,0.592,0.7283950617283951,[0.    0.944 1.   ],[0.    0.352 1.   ],6,2
27,1.0,0.736,0.8108108108108109,[0.   0.96 1.  ],[0.    0.224 1.   ],7,2
28,1.0,0.7040000000000001,0.8098591549295774,[0.   0.92 1.  ],[0.    0.216 1.   ],8,2
29,1.0,0.68,0.7972027972027972,[0.    0.912 1.   ],[0.    0.232 1.   ],9,2
30,1.5,0.6319999999999999,0.7484276729559748,[0.    0.952 1.   ],[0.   0.32 1.  ],0,2
31,1.5,0.704,0.8235294117647058,[0.    0.896 1.   ],[0.    0.192 1.   ],1,2
32,1.5,0.624,0.7746478873239436,[0.   0.88 1.  ],[0.    0.256 1.   ],2,2
33,1.5,0.712,0.8027210884353742,[0.    0.944 1.   ],[0.    0.232 1.   ],3,2
34,1.5,0.6000000000000001,0.7358490566037736,[0.    0.936 1.   ],[0.    0.336 1.   ],4,2
35,1.5,0.72,0.7960526315789473,[0.    0.968 1.   ],[0.    0.248 1.   ],5,2
