,epsilon,distance,algorithm,dataset,dimension
0,0.5,5.528331028960144,piecewise,circle-dataset,2
1,0.7,3.877113362668977,piecewise,circle-dataset,2
2,1.0,2.4277112148036997,piecewise,circle-dataset,2
3,1.5,1.4397576662343816,piecewise,circle-dataset,2
4,2.0,0.9860763466630288,piecewise,circle-dataset,2
5,2.5,0.6593597574133605,piecewise,circle-dataset,2
6,3.0,0.49337175760950536,piecewise,circle-dataset,2
7,3.5,0.3677019659877752,piecewise,circle-dataset,2
8,5.0,0.16314337832928408,piecewise,circle-dataset,2
9,7.0,0.06320339844364403,piecewise,circle-dataset,2
10,9.0,0.018947207418303656,piecewise,circle-dataset,2
11,0.5,7.148979628820245,piecewise,circle-dataset,3
12,0.7,4.959022759335243,piecewise,circle-dataset,3
13,1.0,3.3159166426756728,piecewise,circle-dataset,3
14,1.5,1.9501298538026128,piecewise,circle-dataset,3
15,2.0,1.2976857639362287,piecewise,circle-dataset,3
16,2.5,0.9514381066145647,piecewise,circle-dataset,3
17,3.0,0.6866027666183652,piecewise,circle-dataset,3
18,3.5,0.5077030820771568,piecewise,circle-dataset,3
19,5.0,0.24485393595655827,piecewise,circle-dataset,3
20,7.0,0.0881870065626007,piecewise,circle-dataset,3
21,9.0,0.026016988839798954,piecewise,circle-dataset,3
