,epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimension
0,0.5,0.672,0.911764705882353,[0.    0.744 1.   ],[0.    0.072 1.   ],0,2
1,0.5,0.608,0.88,[0.    0.704 1.   ],[0.    0.096 1.   ],1,2
2,0.5,0.512,0.7461538461538462,[0.    0.776 1.   ],[0.    0.264 1.   ],2,2
3,0.5,0.64,0.8921568627450981,[0.    0.728 1.   ],[0.    0.088 1.   ],3,2
4,0.5,0.28800000000000003,0.6363636363636364,[0.    0.672 1.   ],[0.    0.384 1.   ],4,2
5,0.5,0.592,0.8189655172413792,[0.   0.76 1.  ],[0.    0.168 1.   ],5,2
6,0.5,0.45599999999999996,0.7478260869565218,[0.    0.688 1.   ],[0.    0.232 1.   ],6,2
7,0.5,0.34400000000000003,0.6869565217391305,[0.    0.632 1.   ],[0.    0.288 1.   ],7,2
8,0.5,0.576,0.8157894736842105,[0.    0.744 1.   ],[0.    0.168 1.   ],8,2
9,0.5,0.27199999999999996,0.6214285714285714,[0.    0.696 1.   ],[0.    0.424 1.   ],9,2
10,0.7,0.624,0.8421052631578947,[0.    0.768 1.   ],[0.    0.144 1.   ],0,2
11,0.7,0.664,0.8487394957983193,[0.    0.808 1.   ],[0.    0.144 1.   ],1,2
12,0.7,0.624,0.8482142857142857,[0.   0.76 1.  ],[0.    0.136 1.   ],2,2
13,0.7,0.45599999999999996,0.7355371900826446,[0.    0.712 1.   ],[0.    0.256 1.   ],3,2
14,0.7,0.592,0.7720588235294117,[0.   0.84 1.  ],[0.    0.248 1.   ],4,2
15,0.7,0.5599999999999999,0.8125,[0.    0.728 1.   ],[0.    0.168 1.   ],5,2
16,0.7,0.43999999999999995,0.7272727272727273,[0.    0.704 1.   ],[0.    0.264 1.   ],6,2
17,0.7,0.496,0.7348484848484849,[0.    0.776 1.   ],[0.   0.28 1.  ],7,2
18,0.7,0.464,0.7685185185185185,[0.    0.664 1.   ],[0.  0.2 1. ],8,2
19,0.7,0.5599999999999999,0.8240740740740741,[0.    0.712 1.   ],[0.    0.152 1.   ],9,2
20,1.0,0.552,0.7804878048780488,[0.    0.768 1.   ],[0.    0.216 1.   ],0,2
21,1.0,0.552,0.7716535433070867,[0.    0.784 1.   ],[0.    0.232 1.   ],1,2
22,1.0,0.544,0.7931034482758621,[0.    0.736 1.   ],[0.    0.192 1.   ],2,2
23,1.0,0.48000000000000004,0.7112676056338028,[0.    0.808 1.   ],[0.    0.328 1.   ],3,2
24,1.0,0.376,0.6666666666666666,[0.    0.752 1.   ],[0.    0.376 1.   ],4,2
25,1.0,0.632,0.8264462809917356,[0.  0.8 1. ],[0.    0.168 1.   ],5,2
26,1.0,0.576,0.8214285714285714,[0.    0.736 1.   ],[0.   0.16 1.  ],6,2
27,1.0,0.624,0.8421052631578947,[0.    0.768 1.   ],[0.    0.144 1.   ],7,2
28,1.0,0.5359999999999999,0.8073394495412843,[0.    0.704 1.   ],[0.    0.168 1.   ],8,2
29,1.0,0.2720000000000001,0.625,[0.   0.68 1.  ],[0.    0.408 1.   ],9,2
30,1.5,0.3360000000000001,0.7142857142857143,[0.   0.56 1.  ],[0.    0.224 1.   ],0,2
31,1.5,0.43999999999999995,0.6845637583892618,[0.    0.816 1.   ],[0.    0.376 1.   ],1,2
32,1.5,0.48000000000000004,0.7272727272727273,[0.    0.768 1.   ],[0.    0.288 1.   ],2,2
