,epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimension
0,0.5,0.14877287558518937,0.5745058754990977,[0.         0.57358491 1.        ],[0.         0.42481203 1.        ],0,2
1,0.5,0.14890055326996737,0.5698280909042526,[0.         0.60754717 1.        ],[0.         0.45864662 1.        ],1,2
2,0.5,0.3890764647467726,0.8244451805233521,[0.         0.49433962 1.        ],[0.         0.10526316 1.        ],2,2
3,0.5,0.020712157752872773,0.5103752131893121,[0.         0.50943396 1.        ],[0.        0.4887218 1.       ],3,2
4,0.5,0.17056320045396509,0.649864133821953,[0.         0.36981132 1.        ],[0.         0.19924812 1.        ],4,2
5,0.5,0.22817420910767483,0.5983081511906508,[0.         0.69433962 1.        ],[0.         0.46616541 1.        ],5,2
6,0.5,0.14884380763228827,0.5718315259064519,[0.         0.59245283 1.        ],[0.         0.44360902 1.        ],6,2
7,0.5,0.1109944673003263,0.5591615752223096,[0.        0.5245283 1.       ],[0.         0.41353383 1.        ],7,2
8,0.5,0.2876010781671159,0.700790365073391,[0.         0.50188679 1.        ],[0.         0.21428571 1.        ],8,2
9,0.5,-0.02444318343027385,0.4880259079600261,[0.         0.49811321 1.        ],[0.         0.52255639 1.        ],9,2
10,0.7,-0.17081855582352112,0.43406455004435485,[0.         0.56226415 1.        ],[0.         0.73308271 1.        ],0,2
11,0.7,-0.0055610724925521104,0.4973444613050076,[0.         0.52075472 1.        ],[0.         0.52631579 1.        ],1,2
12,0.7,0.09965952617392537,0.554209429739949,[0.         0.50943396 1.        ],[0.         0.40977444 1.        ],2,2
13,0.7,0.054021847070506446,0.5393974507531865,[0.         0.36981132 1.        ],[0.         0.31578947 1.        ],3,2
14,0.7,0.04324017591147683,0.5225084185029835,[0.         0.50188679 1.        ],[0.         0.45864662 1.        ],4,2
15,0.7,-0.1447439353099731,0.4365698086463501,[0.         0.49811321 1.        ],[0.         0.64285714 1.        ],5,2
16,0.7,0.0739111930770322,0.5296393218796223,[0.         0.66037736 1.        ],[0.         0.58646617 1.        ],6,2
17,0.7,0.25790892325152504,0.6357932476844936,[0.         0.60377358 1.        ],[0.         0.34586466 1.        ],7,2
18,0.7,0.07347141438501914,0.536252782483305,[0.         0.54339623 1.        ],[0.         0.46992481 1.        ],8,2
19,0.7,-0.031990353241594605,0.4842120002800532,[0.         0.49056604 1.        ],[0.         0.52255639 1.        ],9,2
