,epsilon,distance,algorithm,dataset,dimension
0,0.5,6.304131945098829,piecewise,line-dataset,2
1,0.7,4.288393122770898,piecewise,line-dataset,2
2,1.0,2.926750489676362,piecewise,line-dataset,2
3,1.5,1.7319306076629495,piecewise,line-dataset,2
4,2.0,1.1905655289665082,piecewise,line-dataset,2
5,2.5,0.8914760300922611,piecewise,line-dataset,2
6,3.0,0.6185849137135052,piecewise,line-dataset,2
7,3.5,0.48998104372838963,piecewise,line-dataset,2
8,5.0,0.22318528889127573,piecewise,line-dataset,2
9,7.0,0.07959243898647754,piecewise,line-dataset,2
10,9.0,0.028207003583243143,piecewise,line-dataset,2
11,0.5,7.859187342268478,piecewise,line-dataset,3
12,0.7,5.495608585270676,piecewise,line-dataset,3
13,1.0,3.6745916874064006,piecewise,line-dataset,3
14,1.5,2.221801786265829,piecewise,line-dataset,3
15,2.0,1.5315300998682673,piecewise,line-dataset,3
16,2.5,1.0620398291713469,piecewise,line-dataset,3
17,3.0,0.8001406645623959,piecewise,line-dataset,3
18,3.5,0.618295333700866,piecewise,line-dataset,3
19,5.0,0.2916567132576213,piecewise,line-dataset,3
20,7.0,0.11416471876761031,piecewise,line-dataset,3
21,9.0,0.04370785623412292,piecewise,line-dataset,3
