,epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimension
0,0.5,0.744,0.8163265306122449,[0.   0.96 1.  ],[0.    0.216 1.   ],0,2
1,0.5,0.7200000000000001,0.8125,[0.    0.936 1.   ],[0.    0.216 1.   ],1,2
2,0.5,0.536,0.695906432748538,[0.    0.952 1.   ],[0.    0.416 1.   ],2,2
3,0.5,0.84,0.8620689655172414,[0. 1. 1.],[0.   0.16 1.  ],3,2
4,0.5,0.6719999999999999,0.7763157894736842,[0.    0.944 1.   ],[0.    0.272 1.   ],4,2
5,0.5,0.6719999999999999,0.7658227848101266,[0.    0.968 1.   ],[0.    0.296 1.   ],5,2
6,0.5,0.776,0.8299319727891157,[0.    0.976 1.   ],[0.  0.2 1. ],6,2
7,0.5,0.552,0.7090909090909091,[0.    0.936 1.   ],[0.    0.384 1.   ],7,2
8,0.5,0.816,0.8541666666666667,[0.    0.984 1.   ],[0.    0.168 1.   ],8,2
9,0.5,0.696,0.7806451612903226,[0.    0.968 1.   ],[0.    0.272 1.   ],9,2
10,0.7,0.776,0.8702290076335878,[0.    0.912 1.   ],[0.    0.136 1.   ],0,2
11,0.7,0.5599999999999999,0.7083333333333334,[0.    0.952 1.   ],[0.    0.392 1.   ],1,2
12,0.7,0.752,0.826388888888889,[0.    0.952 1.   ],[0.  0.2 1. ],2,2
13,0.7,0.544,0.7073170731707317,[0.    0.928 1.   ],[0.    0.384 1.   ],3,2
14,0.7,0.712,0.7947019867549668,[0.   0.96 1.  ],[0.    0.248 1.   ],4,2
15,0.7,0.76,0.841726618705036,[0.    0.936 1.   ],[0.    0.176 1.   ],5,2
16,0.7,0.6399999999999999,0.75,[0.   0.96 1.  ],[0.   0.32 1.  ],6,2
17,0.7,0.736,0.8108108108108109,[0.   0.96 1.  ],[0.    0.224 1.   ],7,2
18,0.7,0.728,0.8095238095238095,[0.    0.952 1.   ],[0.    0.224 1.   ],8,2
19,0.7,0.712,0.7908496732026143,[0.    0.968 1.   ],[0.    0.256 1.   ],9,2
20,1.0,0.696,0.7806451612903226,[0.    0.968 1.   ],[0.    0.272 1.   ],0,2
21,1.0,0.712,0.7947019867549668,[0.   0.96 1.  ],[0.    0.248 1.   ],1,2
22,1.0,0.6639999999999999,0.7577639751552795,[0.    0.976 1.   ],[0.    0.312 1.   ],2,2
23,1.0,0.704,0.7933333333333333,[0.    0.952 1.   ],[0.    0.248 1.   ],3,2
24,1.0,0.6559999999999999,0.7594936708860759,[0.   0.96 1.  ],[0.    0.304 1.   ],4,2
25,1.0,0.6319999999999999,0.751592356687898,[0.    0.944 1.   ],[0.    0.312 1.   ],5,2
26,1.0,0.6,0.7272727272727273,[0.   0.96 1.  ],[0.   0.36 1.  ],6,2
27,1.0,0.6479999999999999,0.7454545454545454,[0.    0.984 1.   ],[0.    0.336 1.   ],7,2
28,1.0,0.6319999999999999,0.7453416149068323,[0.   0.96 1.  ],[0.    0.328 1.   ],8,2
29,1.0,0.776,0.825503355704698,[0.    0.984 1.   ],[0.    0.208 1.   ],9,2
30,1.5,0.6559999999999999,0.7594936708860759,[0.   0.96 1.  ],[0.    0.304 1.   ],0,2
31,1.5,0.7999999999999999,0.8623188405797102,[0.    0.952 1.   ],[0.    0.152 1.   ],1,2
32,1.5,0.6399999999999999,0.7564102564102564,[0.    0.944 1.   ],[0.    0.304 1.   ],2,2
33,1.5,0.784,0.8356164383561644,[0.    0.976 1.   ],[0.    0.192 1.   ],3,2
34,1.5,0.6479999999999999,0.7454545454545454,[0.    0.984 1.   ],[0.    0.336 1.   ],4,2
35,1.5,0.6240000000000001,0.7532467532467533,[0.    0.928 1.   ],[0.    0.304 1.   ],5,2
36,1.5,0.504,0.6779661016949152,[0.   0.96 1.  ],[0.    0.456 1.   ],6,2
37,1.5,0.712,0.7834394904458598,[0.    0.984 1.   ],[0.    0.272 1.   ],7,2
38,1.5,0.696,0.7843137254901961,[0.   0.96 1.  ],[0.    0.264 1.   ],8,2
39,1.5,0.768,0.8333333333333334,[0.   0.96 1.  ],[0.    0.192 1.   ],9,2
40,2.0,0.584,0.7212121212121213,[0.    0.952 1.   ],[0.    0.368 1.   ],0,2
41,2.0,0.6719999999999999,0.7727272727272727,[0.    0.952 1.   ],[0.   0.28 1.  ],1,2
42,2.0,0.576,0.7168674698795181,[0.    0.952 1.   ],[0.    0.376 1.   ],2,2
43,2.0,0.76,0.8275862068965517,[0.   0.96 1.  ],[0.  0.2 1. ],3,2
44,2.0,0.68,0.7891156462585034,[0.    0.928 1.   ],[0.    0.248 1.   ],4,2
45,2.0,0.6719999999999999,0.7658227848101266,[0.    0.968 1.   ],[0.    0.296 1.   ],5,2
46,2.0,0.608,0.7289156626506025,[0.    0.968 1.   ],[0.   0.36 1.  ],6,2
47,2.0,0.6479999999999999,0.7612903225806451,[0.    0.944 1.   ],[0.    0.296 1.   ],7,2
48,2.0,0.6719999999999999,0.7625,[0.    0.976 1.   ],[0.    0.304 1.   ],8,2
49,2.0,0.56,0.7034883720930233,[0.    0.968 1.   ],[0.    0.408 1.   ],9,2
50,2.5,0.6639999999999999,0.7712418300653594,[0.    0.944 1.   ],[0.   0.28 1.  ],0,2
51,2.5,0.576,0.7195121951219513,[0.    0.944 1.   ],[0.    0.368 1.   ],1,2
52,2.5,0.6639999999999999,0.7643312101910827,[0.   0.96 1.  ],[0.    0.296 1.   ],2,2
53,2.5,0.688,0.7756410256410257,[0.    0.968 1.   ],[0.   0.28 1.  ],3,2
54,2.5,0.68,0.785234899328859,[0.    0.936 1.   ],[0.    0.256 1.   ],4,2
55,2.5,0.624,0.7378048780487806,[0.    0.968 1.   ],[0.    0.344 1.   ],5,2
56,2.5,0.6719999999999999,0.7763157894736842,[0.    0.944 1.   ],[0.    0.272 1.   ],6,2
57,2.5,0.6000000000000001,0.7516778523489933,[0.    0.896 1.   ],[0.    0.296 1.   ],7,2
58,2.5,0.776,0.8592592592592593,[0.    0.928 1.   ],[0.    0.152 1.   ],8,2
59,2.5,0.6559999999999999,0.7628205128205128,[0.    0.952 1.   ],[0.    0.296 1.   ],9,2
60,3.0,0.6799999999999999,0.7607361963190183,[0.    0.992 1.   ],[0.    0.312 1.   ],0,2
61,3.0,0.544,0.7048192771084337,[0.    0.936 1.   ],[0.    0.392 1.   ],1,2
62,3.0,0.6639999999999999,0.7677419354838709,[0.    0.952 1.   ],[0.    0.288 1.   ],2,2
63,3.0,0.632,0.7393939393939395,[0.    0.976 1.   ],[0.    0.344 1.   ],3,2
64,3.0,0.6719999999999999,0.7658227848101266,[0.    0.968 1.   ],[0.    0.296 1.   ],4,2
65,3.0,0.6639999999999999,0.7677419354838709,[0.    0.952 1.   ],[0.    0.288 1.   ],5,2
66,3.0,0.696,0.7701863354037267,[0.    0.992 1.   ],[0.    0.296 1.   ],6,2
67,3.0,0.608,0.7261904761904763,[0.    0.976 1.   ],[0.    0.368 1.   ],7,2
68,3.0,0.584,0.718562874251497,[0.   0.96 1.  ],[0.    0.376 1.   ],8,2
69,3.0,0.712,0.7908496732026143,[0.    0.968 1.   ],[0.    0.256 1.   ],9,2
70,3.5,0.6639999999999999,0.761006289308176,[0.    0.968 1.   ],[0.    0.304 1.   ],0,2
71,3.5,0.696,0.7880794701986755,[0.    0.952 1.   ],[0.    0.256 1.   ],1,2
72,3.5,0.6559999999999999,0.7628205128205128,[0.    0.952 1.   ],[0.    0.296 1.   ],2,2
73,3.5,0.704,0.7972972972972973,[0.    0.944 1.   ],[0.   0.24 1.  ],3,2
74,3.5,0.6639999999999999,0.7643312101910827,[0.   0.96 1.  ],[0.    0.296 1.   ],4,2
75,3.5,0.584,0.7134502923976609,[0.    0.976 1.   ],[0.    0.392 1.   ],5,2
76,3.5,0.584,0.7212121212121213,[0.    0.952 1.   ],[0.    0.368 1.   ],6,2
77,3.5,0.6719999999999999,0.7658227848101266,[0.    0.968 1.   ],[0.    0.296 1.   ],7,2
78,3.5,0.6639999999999999,0.7643312101910827,[0.   0.96 1.  ],[0.    0.296 1.   ],8,2
