,algorithm,clustering_algorithm,dimensions,ari,ami,ch,sc,mechanism,epsilon
0,piecewise,KMeans(clusters=4),2,0.01191167010599142,0.013419223153864656,808.4490543534732,0.36593455365721866,piecewise,0.5
1,piecewise,OPTICS(min_samples=4),2,-0.020910370486293735,-0.01204133238922971,13.080268980183186,-0.11585792592573285,piecewise,0.5
2,piecewise,KMeans(clusters=4),3,0.010064141675150701,0.011518702689368004,795.4361007940322,0.35497986191351155,piecewise,0.5
3,piecewise,OPTICS(min_samples=4),3,-0.02049588667125695,-0.01405573575064149,12.98786870229751,-0.09174512921118713,piecewise,0.5
4,piecewise,KMeans(clusters=4),2,0.007923684520706093,0.007127500371657572,802.162036078448,0.3653989981398921,piecewise,0.7
5,piecewise,OPTICS(min_samples=4),2,-0.008718928723007443,-0.008142288082226102,10.452454507446612,-0.10123593615417506,piecewise,0.7
6,piecewise,KMeans(clusters=4),3,0.006778378641082462,0.00698874953389708,737.9458018303455,0.3443953978559219,piecewise,0.7
7,piecewise,OPTICS(min_samples=4),3,0.01716360186766164,0.013766106257117933,13.636161944812983,-0.051876875159622235,piecewise,0.7
8,piecewise,KMeans(clusters=4),2,0.0222840407508381,0.02388786594645488,706.2174551855036,0.32957547897420597,piecewise,1.0
9,piecewise,OPTICS(min_samples=4),2,0.017732431428400162,0.005516261224749417,11.585408136141938,-0.11551487904250841,piecewise,1.0
10,piecewise,KMeans(clusters=4),3,0.04084217482329786,0.042768506648694894,690.1977143850971,0.3247276253243547,piecewise,1.0
11,piecewise,OPTICS(min_samples=4),3,-0.04705908927490416,-0.02158243157322636,12.344540830891976,-0.04615993656147533,piecewise,1.0
12,piecewise,KMeans(clusters=4),2,0.06341405506801127,0.060323150448631194,638.6633231297362,0.31974009862710867,piecewise,1.5
13,piecewise,OPTICS(min_samples=4),2,0.03165425110937247,0.009112998553047338,9.039200242807357,-0.13705471894292734,piecewise,1.5
14,piecewise,KMeans(clusters=4),3,0.05007020787487241,0.05426226373147269,669.442378473986,0.33570826800079007,piecewise,1.5
15,piecewise,OPTICS(min_samples=4),3,-0.027924193060193052,-0.01708924039487425,13.61730958271366,-0.0025501632304422038,piecewise,1.5
16,piecewise,KMeans(clusters=4),2,0.10709097222564712,0.10175703454200938,641.4949737871805,0.34807317191067894,piecewise,2.0
17,piecewise,OPTICS(min_samples=4),2,-0.00281093430740148,0.0036915574567751427,11.251152440829511,-0.00897837723886864,piecewise,2.0
18,piecewise,KMeans(clusters=4),3,0.09918624142764573,0.1203354324474298,613.1519227165129,0.32571574867625297,piecewise,2.0
19,piecewise,OPTICS(min_samples=4),3,0.006164329833948408,0.010301083417979428,12.920436845140852,-0.08575304501332706,piecewise,2.0
