,epsilon,distance,algorithm,dataset,dimension
0,0.5,22.06718805066971,piecewise,seeds-dataset,2
1,0.7,16.11907106436628,piecewise,seeds-dataset,2
2,1.0,10.664253463297184,piecewise,seeds-dataset,2
3,1.5,6.773429934855446,piecewise,seeds-dataset,2
4,2.0,4.18783194354693,piecewise,seeds-dataset,2
5,2.5,3.085071969179374,piecewise,seeds-dataset,2
6,3.0,2.096066271658459,piecewise,seeds-dataset,2
7,3.5,1.6513790257668484,piecewise,seeds-dataset,2
8,5.0,1.0243559937163729,piecewise,seeds-dataset,2
9,7.0,0.31236160483522624,piecewise,seeds-dataset,2
10,9.0,0.09273648372657514,piecewise,seeds-dataset,2
11,0.5,22.91201629080925,piecewise,seeds-dataset,3
12,0.7,14.925831858436704,piecewise,seeds-dataset,3
13,1.0,10.870846158645733,piecewise,seeds-dataset,3
14,1.5,5.946861306086288,piecewise,seeds-dataset,3
15,2.0,4.229734145062496,piecewise,seeds-dataset,3
16,2.5,3.388659422509269,piecewise,seeds-dataset,3
17,3.0,2.1830382593607123,piecewise,seeds-dataset,3
18,3.5,1.4828237155533917,piecewise,seeds-dataset,3
19,5.0,0.7667949770809444,piecewise,seeds-dataset,3
20,7.0,0.22055047052411814,piecewise,seeds-dataset,3
21,9.0,0.09775117490575995,piecewise,seeds-dataset,3
22,0.5,22.605562996354582,piecewise,seeds-dataset,4
23,0.7,15.619438656131363,piecewise,seeds-dataset,4
24,1.0,10.412748609256303,piecewise,seeds-dataset,4
25,1.5,6.47686861958922,piecewise,seeds-dataset,4
26,2.0,4.51012681408891,piecewise,seeds-dataset,4
27,2.5,3.1518843643709262,piecewise,seeds-dataset,4
28,3.0,2.222970838186796,piecewise,seeds-dataset,4
29,3.5,1.6854250647569684,piecewise,seeds-dataset,4
30,5.0,0.6749620069891085,piecewise,seeds-dataset,4
31,7.0,0.24647665962611265,piecewise,seeds-dataset,4
32,9.0,0.08867158215016298,piecewise,seeds-dataset,4
33,0.5,23.026527996597455,piecewise,seeds-dataset,5
34,0.7,17.027014730800673,piecewise,seeds-dataset,5
35,1.0,10.468939760351134,piecewise,seeds-dataset,5
36,1.5,6.366357228746548,piecewise,seeds-dataset,5
37,2.0,4.652294442862526,piecewise,seeds-dataset,5
38,2.5,3.2577172790321174,piecewise,seeds-dataset,5
39,3.0,2.3976952146777655,piecewise,seeds-dataset,5
40,3.5,1.8343018620104994,piecewise,seeds-dataset,5
41,5.0,0.8079206203058846,piecewise,seeds-dataset,5
42,7.0,0.2634445263154332,piecewise,seeds-dataset,5
43,9.0,0.1674117848963205,piecewise,seeds-dataset,5
44,0.5,29.078065104165418,piecewise,seeds-dataset,6
45,0.7,20.023636531807956,piecewise,seeds-dataset,6
46,1.0,13.160916345064484,piecewise,seeds-dataset,6
47,1.5,8.44719954126093,piecewise,seeds-dataset,6
48,2.0,5.520850662830855,piecewise,seeds-dataset,6
49,2.5,3.990778721066686,piecewise,seeds-dataset,6
50,3.0,3.3127709649231893,piecewise,seeds-dataset,6
51,3.5,2.2389002438012753,piecewise,seeds-dataset,6
52,5.0,0.7748165667019521,piecewise,seeds-dataset,6
53,7.0,0.31775189341063137,piecewise,seeds-dataset,6
54,9.0,0.12397145261907856,piecewise,seeds-dataset,6
55,0.5,29.248035020659206,piecewise,seeds-dataset,7
56,0.7,20.33044408747429,piecewise,seeds-dataset,7
57,1.0,13.268563626447346,piecewise,seeds-dataset,7
58,1.5,8.345423621563267,piecewise,seeds-dataset,7
59,2.0,5.668685860096011,piecewise,seeds-dataset,7
60,2.5,3.9842678675515333,piecewise,seeds-dataset,7
61,3.0,2.722182122688553,piecewise,seeds-dataset,7
62,3.5,2.2811329776230513,piecewise,seeds-dataset,7
63,5.0,0.9516331876268583,piecewise,seeds-dataset,7
64,7.0,0.3881460657648055,piecewise,seeds-dataset,7
65,9.0,0.10507245870848923,piecewise,seeds-dataset,7
