,epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimension
0,0.5,0.544,0.7151898734177216,[0.    0.904 1.   ],[0.   0.36 1.  ],0,2
1,0.5,0.536,0.7161290322580646,[0.    0.888 1.   ],[0.    0.352 1.   ],1,2
2,0.5,0.72,0.8082191780821918,[0.    0.944 1.   ],[0.    0.224 1.   ],2,2
3,0.5,0.6960000000000001,0.8041958041958042,[0.   0.92 1.  ],[0.    0.224 1.   ],3,2
4,0.5,0.6319999999999999,0.751592356687898,[0.    0.944 1.   ],[0.    0.312 1.   ],4,2
5,0.5,0.6159999999999999,0.7421383647798742,[0.    0.944 1.   ],[0.    0.328 1.   ],5,2
6,0.5,0.8160000000000001,0.8923076923076924,[0.    0.928 1.   ],[0.    0.112 1.   ],6,2
7,0.5,0.6479999999999999,0.7547169811320754,[0.   0.96 1.  ],[0.    0.312 1.   ],7,2
8,0.5,0.7040000000000001,0.8098591549295774,[0.   0.92 1.  ],[0.    0.216 1.   ],8,2
9,0.5,0.49600000000000005,0.6867469879518072,[0.    0.912 1.   ],[0.    0.416 1.   ],9,2
10,0.7,0.6400000000000001,0.7597402597402598,[0.    0.936 1.   ],[0.    0.296 1.   ],0,2
11,0.7,0.712,0.8027210884353742,[0.    0.944 1.   ],[0.    0.232 1.   ],1,2
12,0.7,0.68,0.7972027972027972,[0.    0.912 1.   ],[0.    0.232 1.   ],2,2
13,0.7,0.6880000000000001,0.7905405405405405,[0.    0.936 1.   ],[0.    0.248 1.   ],3,2
14,0.7,0.6480000000000001,0.7647058823529412,[0.    0.936 1.   ],[0.    0.288 1.   ],4,2
15,0.7,0.816,0.880597014925373,[0.    0.944 1.   ],[0.    0.128 1.   ],5,2
16,0.7,0.624,0.7635135135135134,[0.    0.904 1.   ],[0.   0.28 1.  ],6,2
17,0.7,0.656,0.7971014492753623,[0.   0.88 1.  ],[0.    0.224 1.   ],7,2
18,0.7,0.672,0.7916666666666666,[0.    0.912 1.   ],[0.   0.24 1.  ],8,2
19,0.7,0.728,0.8013245033112583,[0.    0.968 1.   ],[0.   0.24 1.  ],9,2
20,1.0,0.6799999999999999,0.7814569536423841,[0.    0.944 1.   ],[0.    0.264 1.   ],0,2
21,1.0,0.6880000000000001,0.7945205479452054,[0.    0.928 1.   ],[0.   0.24 1.  ],1,2
22,1.0,0.704,0.7894736842105263,[0.   0.96 1.  ],[0.    0.256 1.   ],2,2
23,1.0,0.6160000000000001,0.7549668874172186,[0.    0.912 1.   ],[0.    0.296 1.   ],3,2
24,1.0,0.64,0.7739726027397259,[0.    0.904 1.   ],[0.    0.264 1.   ],4,2
25,1.0,0.6960000000000001,0.7959183673469388,[0.    0.936 1.   ],[0.   0.24 1.  ],5,2
26,1.0,0.6799999999999999,0.7777777777777778,[0.    0.952 1.   ],[0.    0.272 1.   ],6,2
27,1.0,0.6799999999999999,0.7707006369426751,[0.    0.968 1.   ],[0.    0.288 1.   ],7,2
28,1.0,0.6960000000000001,0.7999999999999999,[0.    0.928 1.   ],[0.    0.232 1.   ],8,2
29,1.0,0.7040000000000001,0.8098591549295774,[0.   0.92 1.  ],[0.    0.216 1.   ],9,2
30,1.5,0.6880000000000001,0.8115942028985507,[0.    0.896 1.   ],[0.    0.208 1.   ],0,2
31,1.5,0.6399999999999999,0.7439024390243902,[0.    0.976 1.   ],[0.    0.336 1.   ],1,2
32,1.5,0.6799999999999999,0.7814569536423841,[0.    0.944 1.   ],[0.    0.264 1.   ],2,2
33,1.5,0.632,0.7687074829931972,[0.    0.904 1.   ],[0.    0.272 1.   ],3,2
34,1.5,0.712,0.7908496732026143,[0.    0.968 1.   ],[0.    0.256 1.   ],4,2
35,1.5,0.648,0.7718120805369126,[0.   0.92 1.  ],[0.    0.272 1.   ],5,2
36,1.5,0.6479999999999999,0.7547169811320754,[0.   0.96 1.  ],[0.    0.312 1.   ],6,2
37,1.5,0.6960000000000001,0.7959183673469388,[0.    0.936 1.   ],[0.   0.24 1.  ],7,2
38,1.5,0.7200000000000001,0.8169014084507041,[0.    0.928 1.   ],[0.    0.208 1.   ],8,2
39,1.5,0.688,0.7866666666666666,[0.    0.944 1.   ],[0.    0.256 1.   ],9,2
40,2.0,0.688,0.7866666666666666,[0.    0.944 1.   ],[0.    0.256 1.   ],0,2
41,2.0,0.6880000000000001,0.798611111111111,[0.   0.92 1.  ],[0.    0.232 1.   ],1,2
42,2.0,0.6880000000000001,0.7945205479452054,[0.    0.928 1.   ],[0.   0.24 1.  ],2,2
43,2.0,0.6479999999999999,0.7579617834394904,[0.    0.952 1.   ],[0.    0.304 1.   ],3,2
44,2.0,0.688,0.7721518987341772,[0.    0.976 1.   ],[0.    0.288 1.   ],4,2
45,2.0,0.592,0.7256097560975611,[0.    0.952 1.   ],[0.   0.36 1.  ],5,2
46,2.0,0.704,0.8188405797101449,[0.    0.904 1.   ],[0.  0.2 1. ],6,2
47,2.0,0.7120000000000001,0.8111888111888111,[0.    0.928 1.   ],[0.    0.216 1.   ],7,2
