,epsilon,shokri_mi_adv,precision,attack_adv,tpr,fpr,run,dimension
0,0.5,0.08000000000000002,0.5714285714285714,0.08000000000000002,[0.   0.32 1.  ],[0.   0.24 1.  ],0,2
1,0.5,0.0,0.5,0.0,[0.    0.168 1.   ],[0.    0.168 1.   ],1,2
2,0.5,-0.12799999999999997,0.35714285714285715,-0.12799999999999997,[0.   0.16 1.  ],[0.    0.288 1.   ],2,2
3,0.5,0.032,0.5526315789473685,0.032,[0.    0.168 1.   ],[0.    0.136 1.   ],3,2
4,0.5,-0.064,0.40476190476190477,-0.064,[0.    0.136 1.   ],[0.  0.2 1. ],4,2
5,0.5,-0.04000000000000001,0.4444444444444444,-0.04000000000000001,[0.   0.16 1.  ],[0.  0.2 1. ],5,2
6,0.5,-0.023999999999999994,0.4666666666666667,-0.023999999999999994,[0.    0.168 1.   ],[0.    0.192 1.   ],6,2
7,0.5,-0.015999999999999986,0.47619047619047616,-0.015999999999999986,[0.   0.16 1.  ],[0.    0.176 1.   ],7,2
8,0.5,0.07999999999999999,0.6470588235294118,0.07999999999999999,[0.    0.176 1.   ],[0.    0.096 1.   ],8,2
9,0.5,0.072,0.6285714285714286,0.072,[0.    0.176 1.   ],[0.    0.104 1.   ],9,2
10,1.0,0.015999999999999986,0.5227272727272727,0.015999999999999986,[0.    0.184 1.   ],[0.    0.168 1.   ],0,2
11,1.0,0.04000000000000001,0.5396825396825397,0.04000000000000001,[0.    0.272 1.   ],[0.    0.232 1.   ],1,2
12,1.0,-0.04799999999999999,0.4444444444444444,-0.04799999999999999,[0.    0.192 1.   ],[0.   0.24 1.  ],2,2
13,1.0,0.04799999999999999,0.5428571428571428,0.04799999999999999,[0.    0.304 1.   ],[0.    0.256 1.   ],3,2
14,1.0,0.055999999999999994,0.5897435897435898,0.055999999999999994,[0.    0.184 1.   ],[0.    0.128 1.   ],4,2
15,1.0,0.136,0.6268656716417911,0.136,[0.    0.336 1.   ],[0.  0.2 1. ],5,2
16,1.0,-0.00799999999999998,0.4883720930232558,-0.00799999999999998,[0.    0.168 1.   ],[0.    0.176 1.   ],6,2
17,1.0,0.008000000000000007,0.5111111111111111,0.008000000000000007,[0.    0.184 1.   ],[0.    0.176 1.   ],7,2
18,1.0,-0.02400000000000002,0.46153846153846156,-0.02400000000000002,[0.    0.144 1.   ],[0.    0.168 1.   ],8,2
19,1.0,0.032,0.5454545454545454,0.032,[0.    0.192 1.   ],[0.   0.16 1.  ],9,2
20,1.5,0.032,0.5476190476190477,0.032,[0.    0.184 1.   ],[0.    0.152 1.   ],0,2
21,1.5,-0.055999999999999994,0.43636363636363634,-0.055999999999999994,[0.    0.192 1.   ],[0.    0.248 1.   ],1,2
22,1.5,0.055999999999999994,0.5636363636363636,0.055999999999999994,[0.    0.248 1.   ],[0.    0.192 1.   ],2,2
23,1.5,0.08000000000000002,0.5675675675675675,0.08000000000000002,[0.    0.336 1.   ],[0.    0.256 1.   ],3,2
24,1.5,0.016000000000000014,0.5178571428571429,0.016000000000000014,[0.    0.232 1.   ],[0.    0.216 1.   ],4,2
25,1.5,0.032,0.5454545454545454,0.032,[0.    0.192 1.   ],[0.   0.16 1.  ],5,2
26,1.5,0.07199999999999998,0.5882352941176471,0.07199999999999998,[0.   0.24 1.  ],[0.    0.168 1.   ],6,2
27,1.5,0.07199999999999998,0.5714285714285714,0.07199999999999998,[0.    0.288 1.   ],[0.    0.216 1.   ],7,2
28,1.5,0.03199999999999997,0.5294117647058824,0.03199999999999997,[0.    0.288 1.   ],[0.    0.256 1.   ],8,2
29,1.5,0.039999999999999994,0.5757575757575758,0.039999999999999994,[0.    0.152 1.   ],[0.    0.112 1.   ],9,2
30,2.0,0.04799999999999999,0.5454545454545454,0.04799999999999999,[0.    0.288 1.   ],[0.   0.24 1.  ],0,2
31,2.0,-0.12799999999999997,0.38571428571428573,-0.12799999999999997,[0.    0.216 1.   ],[0.    0.344 1.   ],1,2
32,2.0,0.015999999999999986,0.5192307692307693,0.015999999999999986,[0.    0.216 1.   ],[0.  0.2 1. ],2,2
33,2.0,0.07200000000000001,0.5918367346938775,0.07200000000000001,[0.    0.232 1.   ],[0.   0.16 1.  ],3,2
34,2.0,0.032,0.5416666666666666,0.032,[0.    0.208 1.   ],[0.    0.176 1.   ],4,2
35,2.0,0.008000000000000007,0.5087719298245614,0.008000000000000007,[0.    0.232 1.   ],[0.    0.224 1.   ],5,2
36,2.0,-0.08000000000000002,0.391304347826087,-0.08000000000000002,[0.    0.144 1.   ],[0.    0.224 1.   ],6,2
37,2.0,0.064,0.5571428571428572,0.064,[0.    0.312 1.   ],[0.    0.248 1.   ],7,2
38,2.0,0.0,0.5,0.0,[0.    0.224 1.   ],[0.    0.224 1.   ],8,2
39,2.0,-0.015999999999999986,0.48333333333333334,-0.015999999999999986,[0.    0.232 1.   ],[0.    0.248 1.   ],9,2
40,2.5,0.144,0.618421052631579,0.144,[0.    0.376 1.   ],[0.    0.232 1.   ],0,2
41,2.5,0.0,0.5,0.0,[0.    0.264 1.   ],[0.    0.264 1.   ],1,2
42,2.5,-0.055999999999999994,0.46464646464646464,-0.055999999999999994,[0.    0.368 1.   ],[0.    0.424 1.   ],2,2
43,2.5,0.11200000000000002,0.6346153846153846,0.11200000000000002,[0.    0.264 1.   ],[0.    0.152 1.   ],3,2
44,2.5,0.0,0.5,0.0,[0.    0.216 1.   ],[0.    0.216 1.   ],4,2
45,2.5,-0.02400000000000002,0.4805194805194805,-0.02400000000000002,[0.    0.296 1.   ],[0.   0.32 1.  ],5,2
46,2.5,0.08000000000000002,0.5862068965517241,0.08000000000000002,[0.    0.272 1.   ],[0.    0.192 1.   ],6,2
47,2.5,0.096,0.6363636363636364,0.096,[0.    0.224 1.   ],[0.    0.128 1.   ],7,2
48,2.5,0.03199999999999997,0.5277777777777778,0.03199999999999997,[0.    0.304 1.   ],[0.    0.272 1.   ],8,2
49,2.5,-0.11199999999999999,0.38333333333333336,-0.11199999999999999,[0.    0.184 1.   ],[0.    0.296 1.   ],9,2
50,3.0,0.12,0.5862068965517241,0.12,[0.    0.408 1.   ],[0.    0.288 1.   ],0,2
51,3.0,0.016000000000000014,0.5131578947368421,0.016000000000000014,[0.    0.312 1.   ],[0.    0.296 1.   ],1,2
52,3.0,0.008000000000000007,0.5064935064935064,0.008000000000000007,[0.    0.312 1.   ],[0.    0.304 1.   ],2,2
53,3.0,0.02400000000000002,0.5189873417721519,0.02400000000000002,[0.    0.328 1.   ],[0.    0.304 1.   ],3,2
54,3.0,-0.064,0.45918367346938777,-0.064,[0.   0.36 1.  ],[0.    0.424 1.   ],4,2
55,3.0,0.064,0.5434782608695652,0.064,[0.  0.4 1. ],[0.    0.336 1.   ],5,2
56,3.0,-0.016000000000000014,0.48717948717948717,-0.016000000000000014,[0.    0.304 1.   ],[0.   0.32 1.  ],6,2
57,3.0,0.0,0.5,0.0,[0.    0.328 1.   ],[0.    0.328 1.   ],7,2
58,3.0,0.0,0.5,0.0,[0.    0.392 1.   ],[0.    0.392 1.   ],8,2
59,3.0,0.12,0.5925925925925926,0.12,[0.    0.384 1.   ],[0.    0.264 1.   ],9,2
60,3.5,0.11999999999999997,0.631578947368421,0.11999999999999997,[0.    0.288 1.   ],[0.    0.168 1.   ],0,2
61,3.5,-0.01599999999999996,0.4861111111111111,-0.01599999999999996,[0.   0.28 1.  ],[0.    0.296 1.   ],1,2
62,3.5,0.0,0.5,0.0,[0.   0.28 1.  ],[0.   0.28 1.  ],2,2
63,3.5,-0.10399999999999998,0.4380952380952381,-0.10399999999999998,[0.    0.368 1.   ],[0.    0.472 1.   ],3,2
64,3.5,0.03999999999999998,0.5373134328358209,0.03999999999999998,[0.    0.288 1.   ],[0.    0.248 1.   ],4,2
65,3.5,0.008000000000000007,0.5068493150684932,0.008000000000000007,[0.    0.296 1.   ],[0.    0.288 1.   ],5,2
66,3.5,0.08000000000000002,0.6041666666666666,0.08000000000000002,[0.    0.232 1.   ],[0.    0.152 1.   ],6,2
67,3.5,0.064,0.5526315789473685,0.064,[0.    0.336 1.   ],[0.    0.272 1.   ],7,2
68,3.5,0.08000000000000002,0.5694444444444444,0.08000000000000002,[0.    0.328 1.   ],[0.    0.248 1.   ],8,2
69,3.5,-0.07999999999999999,0.421875,-0.07999999999999999,[0.    0.216 1.   ],[0.    0.296 1.   ],9,2
70,5.0,0.03200000000000003,0.5217391304347826,0.03200000000000003,[0.    0.384 1.   ],[0.    0.352 1.   ],0,2
71,5.0,0.128,0.5740740740740741,0.128,[0.    0.496 1.   ],[0.    0.368 1.   ],1,2
72,5.0,0.064,0.5392156862745098,0.064,[0.   0.44 1.  ],[0.    0.376 1.   ],2,2
73,5.0,-0.008000000000000007,0.4945054945054945,-0.008000000000000007,[0.   0.36 1.  ],[0.    0.368 1.   ],3,2
74,5.0,0.0,0.5,0.0,[0.   0.32 1.  ],[0.   0.32 1.  ],4,2
75,5.0,0.048000000000000015,0.55,0.048000000000000015,[0.    0.264 1.   ],[0.    0.216 1.   ],5,2
76,5.0,-0.008000000000000007,0.4935064935064935,-0.008000000000000007,[0.    0.304 1.   ],[0.    0.312 1.   ],6,2
77,5.0,-0.03999999999999998,0.47191011235955055,-0.03999999999999998,[0.    0.336 1.   ],[0.    0.376 1.   ],7,2
78,5.0,-0.064,0.4411764705882353,-0.064,[0.   0.24 1.  ],[0.    0.304 1.   ],8,2
79,5.0,0.023999999999999966,0.5172413793103449,0.023999999999999966,[0.   0.36 1.  ],[0.    0.336 1.   ],9,2
80,7.0,-0.03199999999999997,0.4803921568627451,-0.03199999999999997,[0.    0.392 1.   ],[0.    0.424 1.   ],0,2
81,7.0,0.08000000000000002,0.5568181818181818,0.08000000000000002,[0.    0.392 1.   ],[0.    0.312 1.   ],1,2
82,7.0,0.10399999999999998,0.5802469135802469,0.10399999999999998,[0.    0.376 1.   ],[0.    0.272 1.   ],2,2
83,7.0,0.15199999999999997,0.6067415730337079,0.15199999999999997,[0.    0.432 1.   ],[0.   0.28 1.  ],3,2
84,7.0,0.016000000000000014,0.5121951219512195,0.016000000000000014,[0.    0.336 1.   ],[0.   0.32 1.  ],4,2
85,7.0,0.01599999999999996,0.5119047619047619,0.01599999999999996,[0.    0.344 1.   ],[0.    0.328 1.   ],5,2
86,7.0,-0.07200000000000001,0.46153846153846156,-0.07200000000000001,[0.    0.432 1.   ],[0.    0.504 1.   ],6,2
87,7.0,-0.07200000000000001,0.46153846153846156,-0.07200000000000001,[0.    0.432 1.   ],[0.    0.504 1.   ],7,2
88,7.0,0.04800000000000004,0.532608695652174,0.04800000000000004,[0.    0.392 1.   ],[0.    0.344 1.   ],8,2
89,7.0,0.07199999999999995,0.5569620253164557,0.07199999999999995,[0.    0.352 1.   ],[0.   0.28 1.  ],9,2
90,9.0,0.03999999999999998,0.5252525252525253,0.03999999999999998,[0.    0.416 1.   ],[0.    0.376 1.   ],0,2
91,9.0,-0.016000000000000014,0.49242424242424243,-0.016000000000000014,[0.   0.52 1.  ],[0.    0.536 1.   ],1,2
92,9.0,0.055999999999999994,0.5507246376811594,0.055999999999999994,[0.    0.304 1.   ],[0.    0.248 1.   ],2,2
93,9.0,0.10399999999999998,0.5698924731182796,0.10399999999999998,[0.    0.424 1.   ],[0.   0.32 1.  ],3,2
94,9.0,0.09600000000000003,0.5576923076923077,0.09600000000000003,[0.    0.464 1.   ],[0.    0.368 1.   ],4,2
95,9.0,0.064,0.5377358490566038,0.064,[0.    0.456 1.   ],[0.    0.392 1.   ],5,2
96,9.0,-0.07200000000000001,0.4563106796116505,-0.07200000000000001,[0.    0.376 1.   ],[0.    0.448 1.   ],6,2
97,9.0,0.008000000000000007,0.5038167938931297,0.008000000000000007,[0.    0.528 1.   ],[0.   0.52 1.  ],7,2
98,9.0,0.064,0.5370370370370371,0.064,[0.    0.464 1.   ],[0.  0.4 1. ],8,2
99,9.0,0.055999999999999994,0.5339805825242718,0.055999999999999994,[0.   0.44 1.  ],[0.    0.384 1.   ],9,2
100,0.5,0.04,0.8571428571428571,0.04,[0.    0.048 1.   ],[0.    0.008 1.   ],0,3
101,0.5,0.016,0.6666666666666666,0.016,[0.    0.032 1.   ],[0.    0.016 1.   ],1,3
102,0.5,0.032,0.75,0.032,[0.    0.048 1.   ],[0.    0.016 1.   ],2,3
103,0.5,-0.008,0.42857142857142855,-0.008,[0.    0.024 1.   ],[0.    0.032 1.   ],3,3
104,0.5,-0.064,0.2777777777777778,-0.064,[0.   0.04 1.  ],[0.    0.104 1.   ],4,3
105,0.5,0.008,0.5555555555555556,0.008,[0.   0.04 1.  ],[0.    0.032 1.   ],5,3
106,0.5,0.008,0.6,0.008,[0.    0.024 1.   ],[0.    0.016 1.   ],6,3
107,0.5,-0.055999999999999994,0.26666666666666666,-0.055999999999999994,[0.    0.032 1.   ],[0.    0.088 1.   ],7,3
108,0.5,-0.016,0.4,-0.016,[0.    0.032 1.   ],[0.    0.048 1.   ],8,3
109,0.5,0.016,0.6666666666666666,0.016,[0.    0.032 1.   ],[0.    0.016 1.   ],9,3
110,1.0,0.048,0.59375,0.048,[0.    0.152 1.   ],[0.    0.104 1.   ],0,3
111,1.0,-0.016,0.42857142857142855,-0.016,[0.    0.048 1.   ],[0.    0.064 1.   ],1,3
112,1.0,0.048,0.59375,0.048,[0.    0.152 1.   ],[0.    0.104 1.   ],2,3
113,1.0,0.039999999999999994,0.6470588235294118,0.039999999999999994,[0.    0.088 1.   ],[0.    0.048 1.   ],3,3
114,1.0,0.096,0.8333333333333334,0.096,[0.   0.12 1.  ],[0.    0.024 1.   ],4,3
115,1.0,0.0,0.5,0.0,[0.    0.072 1.   ],[0.    0.072 1.   ],5,3
116,1.0,0.04,1.0,0.04,[0.   0.04 1.  ],[0. 0. 1.],6,3
117,1.0,-0.016,0.4444444444444444,-0.016,[0.    0.064 1.   ],[0.   0.08 1.  ],7,3
118,1.0,0.064,0.6333333333333333,0.064,[0.    0.152 1.   ],[0.    0.088 1.   ],8,3
119,1.0,0.048,0.8,0.048,[0.    0.064 1.   ],[0.    0.016 1.   ],9,3
120,1.5,-0.008000000000000007,0.4782608695652174,-0.008000000000000007,[0.    0.088 1.   ],[0.    0.096 1.   ],0,3
121,1.5,0.032,0.6,0.032,[0.    0.096 1.   ],[0.    0.064 1.   ],1,3
122,1.5,-0.008000000000000007,0.4782608695652174,-0.008000000000000007,[0.    0.088 1.   ],[0.    0.096 1.   ],2,3
123,1.5,0.032,0.8333333333333334,0.032,[0.   0.04 1.  ],[0.    0.008 1.   ],3,3
124,1.5,0.008000000000000007,0.5263157894736842,0.008000000000000007,[0.   0.08 1.  ],[0.    0.072 1.   ],4,3
125,1.5,0.048,0.6666666666666666,0.048,[0.    0.096 1.   ],[0.    0.048 1.   ],5,3
126,1.5,0.048,0.6363636363636364,0.048,[0.    0.112 1.   ],[0.    0.064 1.   ],6,3
127,1.5,0.007999999999999993,0.5294117647058824,0.007999999999999993,[0.    0.072 1.   ],[0.    0.064 1.   ],7,3
128,1.5,0.048,0.5882352941176471,0.048,[0.   0.16 1.  ],[0.    0.112 1.   ],8,3
129,1.5,0.032,0.625,0.032,[0.   0.08 1.  ],[0.    0.048 1.   ],9,3
130,2.0,0.023999999999999994,0.6,0.023999999999999994,[0.    0.072 1.   ],[0.    0.048 1.   ],0,3
131,2.0,0.016,0.625,0.016,[0.   0.04 1.  ],[0.    0.024 1.   ],1,3
132,2.0,0.096,0.6304347826086957,0.096,[0.    0.232 1.   ],[0.    0.136 1.   ],2,3
133,2.0,0.047999999999999994,0.6875,0.047999999999999994,[0.    0.088 1.   ],[0.   0.04 1.  ],3,3
134,2.0,0.007999999999999993,0.5172413793103449,0.007999999999999993,[0.   0.12 1.  ],[0.    0.112 1.   ],4,3
135,2.0,-0.008,0.45454545454545453,-0.008,[0.   0.04 1.  ],[0.    0.048 1.   ],5,3
136,2.0,0.023999999999999994,0.5789473684210527,0.023999999999999994,[0.    0.088 1.   ],[0.    0.064 1.   ],6,3
137,2.0,-0.032,0.4,-0.032,[0.    0.064 1.   ],[0.    0.096 1.   ],7,3
138,2.0,-0.016,0.42857142857142855,-0.016,[0.    0.048 1.   ],[0.    0.064 1.   ],8,3
139,2.0,-0.015999999999999993,0.4375,-0.015999999999999993,[0.    0.056 1.   ],[0.    0.072 1.   ],9,3
140,2.5,0.112,0.7692307692307693,0.112,[0.   0.16 1.  ],[0.    0.048 1.   ],0,3
141,2.5,0.032,0.7,0.032,[0.    0.056 1.   ],[0.    0.024 1.   ],1,3
142,2.5,0.015999999999999993,0.5625,0.015999999999999993,[0.    0.072 1.   ],[0.    0.056 1.   ],2,3
143,2.5,0.016,0.55,0.016,[0.    0.088 1.   ],[0.    0.072 1.   ],3,3
144,2.5,0.0,0.5,0.0,[0.    0.072 1.   ],[0.    0.072 1.   ],4,3
145,2.5,0.048000000000000015,0.6071428571428571,0.048000000000000015,[0.    0.136 1.   ],[0.    0.088 1.   ],5,3
146,2.5,-0.016,0.45,-0.016,[0.    0.072 1.   ],[0.    0.088 1.   ],6,3
147,2.5,0.06400000000000002,0.6176470588235294,0.06400000000000002,[0.    0.168 1.   ],[0.    0.104 1.   ],7,3
148,2.5,0.055999999999999994,0.6521739130434783,0.055999999999999994,[0.   0.12 1.  ],[0.    0.064 1.   ],8,3
149,2.5,0.0,0.5,0.0,[0.    0.056 1.   ],[0.    0.056 1.   ],9,3
150,3.0,0.008000000000000007,0.5263157894736842,0.008000000000000007,[0.   0.08 1.  ],[0.    0.072 1.   ],0,3
151,3.0,-0.015999999999999993,0.4375,-0.015999999999999993,[0.    0.056 1.   ],[0.    0.072 1.   ],1,3
152,3.0,0.04000000000000001,0.5925925925925926,0.04000000000000001,[0.    0.128 1.   ],[0.    0.088 1.   ],2,3
153,3.0,0.0,0.5,0.0,[0.    0.104 1.   ],[0.    0.104 1.   ],3,3
154,3.0,0.023999999999999994,0.5652173913043478,0.023999999999999994,[0.    0.104 1.   ],[0.   0.08 1.  ],4,3
155,3.0,0.032000000000000015,0.5666666666666667,0.032000000000000015,[0.    0.136 1.   ],[0.    0.104 1.   ],5,3
156,3.0,0.008000000000000007,0.5217391304347826,0.008000000000000007,[0.    0.096 1.   ],[0.    0.088 1.   ],6,3
157,3.0,-0.008,0.46153846153846156,-0.008,[0.    0.048 1.   ],[0.    0.056 1.   ],7,3
158,3.0,0.055999999999999994,0.6842105263157895,0.055999999999999994,[0.    0.104 1.   ],[0.    0.048 1.   ],8,3
159,3.0,0.04,0.8571428571428571,0.04,[0.    0.048 1.   ],[0.    0.008 1.   ],9,3
160,3.5,-0.008000000000000007,0.4864864864864865,-0.008000000000000007,[0.    0.144 1.   ],[0.    0.152 1.   ],0,3
161,3.5,-0.032,0.4473684210526316,-0.032,[0.    0.136 1.   ],[0.    0.168 1.   ],1,3
162,3.5,0.024000000000000007,0.56,0.024000000000000007,[0.    0.112 1.   ],[0.    0.088 1.   ],2,3
163,3.5,-0.016,0.42857142857142855,-0.016,[0.    0.048 1.   ],[0.    0.064 1.   ],3,3
164,3.5,0.023999999999999994,0.5789473684210527,0.023999999999999994,[0.    0.088 1.   ],[0.    0.064 1.   ],4,3
165,3.5,0.024000000000000007,0.56,0.024000000000000007,[0.    0.112 1.   ],[0.    0.088 1.   ],5,3
166,3.5,-0.008,0.4666666666666667,-0.008,[0.    0.056 1.   ],[0.    0.064 1.   ],6,3
167,3.5,0.07999999999999999,0.5961538461538461,0.07999999999999999,[0.    0.248 1.   ],[0.    0.168 1.   ],7,3
168,3.5,0.008000000000000007,0.5185185185185185,0.008000000000000007,[0.    0.112 1.   ],[0.    0.104 1.   ],8,3
169,3.5,0.039999999999999994,0.6190476190476191,0.039999999999999994,[0.    0.104 1.   ],[0.    0.064 1.   ],9,3
170,5.0,0.023999999999999966,0.5205479452054794,0.023999999999999966,[0.    0.304 1.   ],[0.   0.28 1.  ],0,3
