,epsilon,distance,algorithm,dataset,dimension
0,0.5,0.29977418906211106,density-nd-Laplace,line-dataset,2
1,1.0,0.2497564472502194,density-nd-Laplace,line-dataset,2
2,1.5,0.20543685210994228,density-nd-Laplace,line-dataset,2
3,2.0,0.18899478113797846,density-nd-Laplace,line-dataset,2
4,2.5,0.1758108856628778,density-nd-Laplace,line-dataset,2
5,3.0,0.17324181046894888,density-nd-Laplace,line-dataset,2
6,3.5,0.17477543594103007,density-nd-Laplace,line-dataset,2
7,5.0,0.16145934605750567,density-nd-Laplace,line-dataset,2
8,7.0,0.14490411546136175,density-nd-Laplace,line-dataset,2
9,9.0,0.13545227601586238,density-nd-Laplace,line-dataset,2
10,0.5,0.3792684189788313,density-nd-Laplace,line-dataset,3
11,1.0,0.3070226709629341,density-nd-Laplace,line-dataset,3
12,1.5,0.2580737187916093,density-nd-Laplace,line-dataset,3
13,2.0,0.22416155338571855,density-nd-Laplace,line-dataset,3
14,2.5,0.21301634996221058,density-nd-Laplace,line-dataset,3
15,3.0,0.20658303843306913,density-nd-Laplace,line-dataset,3
16,3.5,0.20542900612817924,density-nd-Laplace,line-dataset,3
17,5.0,0.19488336803501194,density-nd-Laplace,line-dataset,3
18,7.0,0.18321751907948003,density-nd-Laplace,line-dataset,3
19,9.0,0.17506863528493988,density-nd-Laplace,line-dataset,3
