,epsilon,shokri_mi_adv,precision,attack_adv,tpr,fpr,run,dimension
0,0.5,0.02400000000000002,0.5142857142857142,0.02400000000000002,[0.    0.432 1.   ],[0.    0.408 1.   ],0,2
1,0.5,-0.008,0.4,-0.008,[0.    0.016 1.   ],[0.    0.024 1.   ],1,2
2,0.5,-0.032,0.46153846153846156,-0.032,[0.    0.192 1.   ],[0.    0.224 1.   ],2,2
3,0.5,0.136,0.5602836879432624,0.136,[0.    0.632 1.   ],[0.    0.496 1.   ],3,2
4,0.5,0.0,0.5,0.0,[0.    0.336 1.   ],[0.    0.336 1.   ],4,2
5,0.5,0.08000000000000002,0.6041666666666666,0.08000000000000002,[0.    0.232 1.   ],[0.    0.152 1.   ],5,2
6,0.5,0.02400000000000002,0.5238095238095238,0.02400000000000002,[0.    0.264 1.   ],[0.   0.24 1.  ],6,2
7,0.5,-0.008000000000000007,0.49333333333333335,-0.008000000000000007,[0.    0.296 1.   ],[0.    0.304 1.   ],7,2
8,0.5,0.064,0.5740740740740741,0.064,[0.    0.248 1.   ],[0.    0.184 1.   ],8,2
9,0.5,-0.04000000000000001,0.43902439024390244,-0.04000000000000001,[0.    0.144 1.   ],[0.    0.184 1.   ],9,2
10,1.0,-0.01599999999999996,0.4883720930232558,-0.01599999999999996,[0.    0.336 1.   ],[0.    0.352 1.   ],0,2
11,1.0,0.0,0.5,0.0,[0.    0.216 1.   ],[0.    0.216 1.   ],1,2
12,1.0,0.047999999999999994,0.6875,0.047999999999999994,[0.    0.088 1.   ],[0.   0.04 1.  ],2,2
13,1.0,0.016000000000000014,0.5185185185185185,0.016000000000000014,[0.    0.224 1.   ],[0.    0.208 1.   ],3,2
14,1.0,0.016000000000000014,0.525,0.016000000000000014,[0.    0.168 1.   ],[0.    0.152 1.   ],4,2
15,1.0,0.016000000000000014,0.515625,0.016000000000000014,[0.    0.264 1.   ],[0.    0.248 1.   ],5,2
16,1.0,-0.04799999999999999,0.47413793103448276,-0.04799999999999999,[0.   0.44 1.  ],[0.    0.488 1.   ],6,2
17,1.0,0.03200000000000003,0.5185185185185185,0.03200000000000003,[0.    0.448 1.   ],[0.    0.416 1.   ],7,2
18,1.0,0.055999999999999994,0.547945205479452,0.055999999999999994,[0.   0.32 1.  ],[0.    0.264 1.   ],8,2
19,1.0,0.0,0.5,0.0,[0.    0.144 1.   ],[0.    0.144 1.   ],9,2
20,1.5,0.0,0.5,0.0,[0.    0.176 1.   ],[0.    0.176 1.   ],0,2
21,1.5,-0.10399999999999998,0.410958904109589,-0.10399999999999998,[0.   0.24 1.  ],[0.    0.344 1.   ],1,2
22,1.5,0.016000000000000014,0.5161290322580645,0.016000000000000014,[0.    0.256 1.   ],[0.   0.24 1.  ],2,2
23,1.5,-0.016000000000000014,0.484375,-0.016000000000000014,[0.    0.248 1.   ],[0.    0.264 1.   ],3,2
24,1.5,-0.008000000000000007,0.4878048780487805,-0.008000000000000007,[0.   0.16 1.  ],[0.    0.168 1.   ],4,2
25,1.5,0.048000000000000015,0.5714285714285714,0.048000000000000015,[0.    0.192 1.   ],[0.    0.144 1.   ],5,2
26,1.5,0.09599999999999997,0.5625,0.09599999999999997,[0.    0.432 1.   ],[0.    0.336 1.   ],6,2
27,1.5,0.14400000000000002,0.5865384615384616,0.14400000000000002,[0.    0.488 1.   ],[0.    0.344 1.   ],7,2
28,1.5,-0.008000000000000007,0.4936708860759494,-0.008000000000000007,[0.    0.312 1.   ],[0.   0.32 1.  ],8,2
29,1.5,0.0,0.5,0.0,[0.    0.144 1.   ],[0.    0.144 1.   ],9,2
30,2.0,-0.040000000000000036,0.46153846153846156,-0.040000000000000036,[0.   0.24 1.  ],[0.   0.28 1.  ],0,2
31,2.0,-0.015999999999999986,0.4807692307692308,-0.015999999999999986,[0.  0.2 1. ],[0.    0.216 1.   ],1,2
32,2.0,0.048000000000000015,0.546875,0.048000000000000015,[0.   0.28 1.  ],[0.    0.232 1.   ],2,2
33,2.0,0.023999999999999966,0.5151515151515151,0.023999999999999966,[0.    0.408 1.   ],[0.    0.384 1.   ],3,2
34,2.0,-0.04799999999999999,0.4642857142857143,-0.04799999999999999,[0.    0.312 1.   ],[0.   0.36 1.  ],4,2
35,2.0,-0.04799999999999999,0.46511627906976744,-0.04799999999999999,[0.   0.32 1.  ],[0.    0.368 1.   ],5,2
