,epsilon,distance,algorithm,dataset,dimension
0,0.5,1.701754200683135,density-nd-Laplace,seeds-dataset,2
1,1.0,1.3172330712170057,density-nd-Laplace,seeds-dataset,2
2,1.5,1.0670141756113263,density-nd-Laplace,seeds-dataset,2
3,2.0,0.8924527635000997,density-nd-Laplace,seeds-dataset,2
4,2.5,0.7082883081827251,density-nd-Laplace,seeds-dataset,2
5,3.0,0.5369695680919179,density-nd-Laplace,seeds-dataset,2
6,3.5,0.5155513931325314,density-nd-Laplace,seeds-dataset,2
7,5.0,0.3982448082084112,density-nd-Laplace,seeds-dataset,2
8,7.0,0.25322073073487994,density-nd-Laplace,seeds-dataset,2
9,9.0,0.22885539181245643,density-nd-Laplace,seeds-dataset,2
10,0.5,1.7008815905792236,density-nd-Laplace,seeds-dataset,3
11,1.0,1.076482403175073,density-nd-Laplace,seeds-dataset,3
12,1.5,0.9969919982305988,density-nd-Laplace,seeds-dataset,3
13,2.0,0.7787604447432724,density-nd-Laplace,seeds-dataset,3
14,2.5,0.7164915954284949,density-nd-Laplace,seeds-dataset,3
15,3.0,0.6462390845525938,density-nd-Laplace,seeds-dataset,3
16,3.5,0.5817409245764218,density-nd-Laplace,seeds-dataset,3
17,5.0,0.49827558286496204,density-nd-Laplace,seeds-dataset,3
18,7.0,0.3599993389963449,density-nd-Laplace,seeds-dataset,3
19,9.0,0.30227903059954875,density-nd-Laplace,seeds-dataset,3
20,0.5,7.709136962701394,density-nd-Laplace,seeds-dataset,4
21,1.0,3.9080454472448136,density-nd-Laplace,seeds-dataset,4
22,1.5,2.9228173661077133,density-nd-Laplace,seeds-dataset,4
23,2.0,1.9541975028586192,density-nd-Laplace,seeds-dataset,4
24,2.5,1.6321447469873425,density-nd-Laplace,seeds-dataset,4
25,3.0,1.361082588857471,density-nd-Laplace,seeds-dataset,4
26,3.5,1.1287119848783465,density-nd-Laplace,seeds-dataset,4
27,5.0,0.7865514597424037,density-nd-Laplace,seeds-dataset,4
28,7.0,0.5653312336966562,density-nd-Laplace,seeds-dataset,4
29,9.0,0.4440531296612644,density-nd-Laplace,seeds-dataset,4
30,0.5,10.412963098485463,density-nd-Laplace,seeds-dataset,5
31,1.0,4.964748087188756,density-nd-Laplace,seeds-dataset,5
32,1.5,3.3909134317321397,density-nd-Laplace,seeds-dataset,5
33,2.0,2.527950296588717,density-nd-Laplace,seeds-dataset,5
34,2.5,2.0902361430844905,density-nd-Laplace,seeds-dataset,5
35,3.0,1.655550697448087,density-nd-Laplace,seeds-dataset,5
36,3.5,1.4579084753503035,density-nd-Laplace,seeds-dataset,5
37,5.0,1.0115653574995929,density-nd-Laplace,seeds-dataset,5
38,7.0,0.7118080649772838,density-nd-Laplace,seeds-dataset,5
39,9.0,0.5529924074939766,density-nd-Laplace,seeds-dataset,5
40,0.5,11.630287443470374,density-nd-Laplace,seeds-dataset,6
41,1.0,5.984405654832095,density-nd-Laplace,seeds-dataset,6
42,1.5,3.726977291779026,density-nd-Laplace,seeds-dataset,6
43,2.0,2.8916582020540025,density-nd-Laplace,seeds-dataset,6
44,2.5,2.445195391645926,density-nd-Laplace,seeds-dataset,6
45,3.0,1.9813012047709462,density-nd-Laplace,seeds-dataset,6
46,3.5,1.6977851026410455,density-nd-Laplace,seeds-dataset,6
47,5.0,1.2419314430814097,density-nd-Laplace,seeds-dataset,6
48,7.0,0.8901293565269423,density-nd-Laplace,seeds-dataset,6
49,9.0,0.6874353946397069,density-nd-Laplace,seeds-dataset,6
50,0.5,14.21491834735228,density-nd-Laplace,seeds-dataset,7
51,1.0,6.784013223004017,density-nd-Laplace,seeds-dataset,7
52,1.5,4.557362318417727,density-nd-Laplace,seeds-dataset,7
53,2.0,3.6874886008836256,density-nd-Laplace,seeds-dataset,7
54,2.5,2.779269601057267,density-nd-Laplace,seeds-dataset,7
55,3.0,2.4027134492030404,density-nd-Laplace,seeds-dataset,7
56,3.5,1.9527472795319465,density-nd-Laplace,seeds-dataset,7
57,5.0,1.369807529115438,density-nd-Laplace,seeds-dataset,7
58,7.0,0.9864897985813297,density-nd-Laplace,seeds-dataset,7
59,9.0,0.7413338013017321,density-nd-Laplace,seeds-dataset,7
