,epsilon,distance,algorithm,dataset,dimension
0,0.5,0.7141199581693642,density-nd-Laplace,skewed-dataset,2
1,1.0,0.5324431669195904,density-nd-Laplace,skewed-dataset,2
2,1.5,0.466526945117018,density-nd-Laplace,skewed-dataset,2
3,2.0,0.4448656120703113,density-nd-Laplace,skewed-dataset,2
4,2.5,0.4234876759382671,density-nd-Laplace,skewed-dataset,2
5,3.0,0.37721070853304123,density-nd-Laplace,skewed-dataset,2
6,3.5,0.3435946240967574,density-nd-Laplace,skewed-dataset,2
7,5.0,0.27345500287126534,density-nd-Laplace,skewed-dataset,2
8,7.0,0.21179656107732564,density-nd-Laplace,skewed-dataset,2
9,9.0,0.1716323832482767,density-nd-Laplace,skewed-dataset,2
10,0.5,1.1079014086410799,density-nd-Laplace,skewed-dataset,3
11,1.0,0.7282171241095843,density-nd-Laplace,skewed-dataset,3
12,1.5,0.6276777360662218,density-nd-Laplace,skewed-dataset,3
13,2.0,0.5765071686670576,density-nd-Laplace,skewed-dataset,3
14,2.5,0.5258277397133491,density-nd-Laplace,skewed-dataset,3
15,3.0,0.49107951130672683,density-nd-Laplace,skewed-dataset,3
16,3.5,0.4400871300675268,density-nd-Laplace,skewed-dataset,3
17,5.0,0.36485555340710846,density-nd-Laplace,skewed-dataset,3
18,7.0,0.27893211922031125,density-nd-Laplace,skewed-dataset,3
19,9.0,0.22395896940213486,density-nd-Laplace,skewed-dataset,3
