,epsilon,distance,algorithm,dataset,dimension
0,0.5,1.1754798513249334,grid-nd-Laplace,circle-dataset,2
1,1.0,1.011268292424657,grid-nd-Laplace,circle-dataset,2
2,1.5,0.8564733811244659,grid-nd-Laplace,circle-dataset,2
3,2.0,0.7517620071246869,grid-nd-Laplace,circle-dataset,2
4,2.5,0.6502395519378312,grid-nd-Laplace,circle-dataset,2
5,3.0,0.5746328183454325,grid-nd-Laplace,circle-dataset,2
6,3.5,0.5267951212731948,grid-nd-Laplace,circle-dataset,2
7,5.0,0.3853200426095873,grid-nd-Laplace,circle-dataset,2
8,7.0,0.28117170716224255,grid-nd-Laplace,circle-dataset,2
9,9.0,0.22589914624429397,grid-nd-Laplace,circle-dataset,2
10,0.5,1.449516485116902,grid-nd-Laplace,circle-dataset,3
11,1.0,1.290771262489654,grid-nd-Laplace,circle-dataset,3
12,1.5,1.1396536353638098,grid-nd-Laplace,circle-dataset,3
13,2.0,1.0550696228737466,grid-nd-Laplace,circle-dataset,3
14,2.5,0.9171060814854,grid-nd-Laplace,circle-dataset,3
15,3.0,0.8214930556007783,grid-nd-Laplace,circle-dataset,3
16,3.5,0.7454889104896234,grid-nd-Laplace,circle-dataset,3
17,5.0,0.5492591478019285,grid-nd-Laplace,circle-dataset,3
18,7.0,0.41044735518003683,grid-nd-Laplace,circle-dataset,3
19,9.0,0.33715913248456675,grid-nd-Laplace,circle-dataset,3
