,epsilon,distance,algorithm,dataset,dimension
0,0.5,3.958751794699087,grid-nd-Laplace,heart-dataset,2
1,1.0,2.032552491274034,grid-nd-Laplace,heart-dataset,2
2,1.5,1.375421436130739,grid-nd-Laplace,heart-dataset,2
3,2.0,1.0411829729408795,grid-nd-Laplace,heart-dataset,2
4,2.5,0.8210930480870962,grid-nd-Laplace,heart-dataset,2
5,3.0,0.6974746974165118,grid-nd-Laplace,heart-dataset,2
6,3.5,0.5964274735223782,grid-nd-Laplace,heart-dataset,2
7,5.0,0.4289955759208003,grid-nd-Laplace,heart-dataset,2
8,7.0,0.3325786639707802,grid-nd-Laplace,heart-dataset,2
9,9.0,0.24780761120122421,grid-nd-Laplace,heart-dataset,2
10,0.5,6.014781378179769,grid-nd-Laplace,heart-dataset,3
11,1.0,3.5324507867397448,grid-nd-Laplace,heart-dataset,3
12,1.5,2.722439219108186,grid-nd-Laplace,heart-dataset,3
13,2.0,2.2313301590274457,grid-nd-Laplace,heart-dataset,3
14,2.5,2.063727266755976,grid-nd-Laplace,heart-dataset,3
15,3.0,1.9016857131977414,grid-nd-Laplace,heart-dataset,3
16,3.5,1.6907891071803303,grid-nd-Laplace,heart-dataset,3
17,5.0,1.496574634524619,grid-nd-Laplace,heart-dataset,3
18,7.0,1.301329000111532,grid-nd-Laplace,heart-dataset,3
19,9.0,1.2802920768478745,grid-nd-Laplace,heart-dataset,3
20,0.5,8.643999657170365,grid-nd-Laplace,heart-dataset,4
21,1.0,5.344794296933221,grid-nd-Laplace,heart-dataset,4
22,1.5,4.363012991811315,grid-nd-Laplace,heart-dataset,4
23,2.0,3.6871187145366524,grid-nd-Laplace,heart-dataset,4
24,2.5,3.4513386346894537,grid-nd-Laplace,heart-dataset,4
25,3.0,3.3020120334553558,grid-nd-Laplace,heart-dataset,4
26,3.5,3.1206068183221,grid-nd-Laplace,heart-dataset,4
27,5.0,3.003990184787769,grid-nd-Laplace,heart-dataset,4
28,7.0,2.8485331869710233,grid-nd-Laplace,heart-dataset,4
29,9.0,2.7455809956358084,grid-nd-Laplace,heart-dataset,4
30,0.5,10.923832570847704,grid-nd-Laplace,heart-dataset,5
31,1.0,6.451204183757068,grid-nd-Laplace,heart-dataset,5
32,1.5,5.047623830325527,grid-nd-Laplace,heart-dataset,5
33,2.0,4.3972699916366365,grid-nd-Laplace,heart-dataset,5
34,2.5,4.006002926777227,grid-nd-Laplace,heart-dataset,5
35,3.0,3.8054713990728035,grid-nd-Laplace,heart-dataset,5
36,3.5,3.6383703214768013,grid-nd-Laplace,heart-dataset,5
37,5.0,3.4137156521236602,grid-nd-Laplace,heart-dataset,5
38,7.0,3.286046880431623,grid-nd-Laplace,heart-dataset,5
39,9.0,3.123018604006115,grid-nd-Laplace,heart-dataset,5
40,0.5,12.79933631139028,grid-nd-Laplace,heart-dataset,6
41,1.0,7.918379323696758,grid-nd-Laplace,heart-dataset,6
42,1.5,6.2692085483147935,grid-nd-Laplace,heart-dataset,6
43,2.0,5.48344455713543,grid-nd-Laplace,heart-dataset,6
44,2.5,5.107236730496534,grid-nd-Laplace,heart-dataset,6
45,3.0,4.941316520010604,grid-nd-Laplace,heart-dataset,6
46,3.5,4.607500849606131,grid-nd-Laplace,heart-dataset,6
47,5.0,4.4109054922938,grid-nd-Laplace,heart-dataset,6
48,7.0,4.1515242913004915,grid-nd-Laplace,heart-dataset,6
49,9.0,4.16084440680382,grid-nd-Laplace,heart-dataset,6
50,0.5,16.044612291360398,grid-nd-Laplace,heart-dataset,7
51,1.0,10.338719171410316,grid-nd-Laplace,heart-dataset,7
52,1.5,8.624271649819756,grid-nd-Laplace,heart-dataset,7
53,2.0,7.827820965497111,grid-nd-Laplace,heart-dataset,7
54,2.5,7.333346061394871,grid-nd-Laplace,heart-dataset,7
55,3.0,7.05196568446446,grid-nd-Laplace,heart-dataset,7
56,3.5,6.911937100623902,grid-nd-Laplace,heart-dataset,7
57,5.0,6.5162872204981745,grid-nd-Laplace,heart-dataset,7
58,7.0,6.424123429356202,grid-nd-Laplace,heart-dataset,7
59,9.0,6.412793030808602,grid-nd-Laplace,heart-dataset,7
60,0.5,17.870707317705378,grid-nd-Laplace,heart-dataset,8
61,1.0,11.785698396555215,grid-nd-Laplace,heart-dataset,8
62,1.5,9.834474705085228,grid-nd-Laplace,heart-dataset,8
63,2.0,8.851409395399502,grid-nd-Laplace,heart-dataset,8
64,2.5,8.390471676668149,grid-nd-Laplace,heart-dataset,8
65,3.0,7.939737204512767,grid-nd-Laplace,heart-dataset,8
66,3.5,7.803873811703355,grid-nd-Laplace,heart-dataset,8
67,5.0,7.4892421672320815,grid-nd-Laplace,heart-dataset,8
68,7.0,7.342088195939251,grid-nd-Laplace,heart-dataset,8
69,9.0,7.166227466436514,grid-nd-Laplace,heart-dataset,8
70,0.5,19.61137430276387,grid-nd-Laplace,heart-dataset,9
71,1.0,12.537877242110087,grid-nd-Laplace,heart-dataset,9
72,1.5,10.270016245272675,grid-nd-Laplace,heart-dataset,9
73,2.0,9.137014597895595,grid-nd-Laplace,heart-dataset,9
74,2.5,8.728783247142403,grid-nd-Laplace,heart-dataset,9
75,3.0,8.385570792327467,grid-nd-Laplace,heart-dataset,9
76,3.5,7.957363986077102,grid-nd-Laplace,heart-dataset,9
77,5.0,7.614986199101102,grid-nd-Laplace,heart-dataset,9
78,7.0,7.331524417909189,grid-nd-Laplace,heart-dataset,9
79,9.0,7.10884687440168,grid-nd-Laplace,heart-dataset,9
