,epsilon,shokri_mi_adv,precision,attack_adv,tpr,fpr,run,dimension
0,0.5,0.0316924386437793,0.5181818181818182,0.0316924386437793,[0.         0.43018868 1.        ],[0.         0.39849624 1.        ],0,2
1,0.5,0.08057880550432689,0.5502392344497608,0.08057880550432689,[0.         0.43396226 1.        ],[0.         0.35338346 1.        ],1,2
2,0.5,-0.07347141438501914,0.4618320610687023,-0.07347141438501914,[0.         0.45660377 1.        ],[0.         0.53007519 1.        ],2,2
3,0.5,0.0015321322173358354,0.5,0.0015321322173358354,[0.         0.40754717 1.        ],[0.         0.40601504 1.        ],3,2
4,0.5,0.1036317208114626,0.5494505494505495,0.1036317208114626,[0.         0.56603774 1.        ],[0.         0.46240602 1.        ],4,2
5,0.5,0.012767768477798314,0.5072463768115942,0.012767768477798314,[0.         0.39622642 1.        ],[0.         0.38345865 1.        ],5,2
6,0.5,-0.017250673854447396,0.48878923766816146,-0.017250673854447396,[0.         0.41132075 1.        ],[0.         0.42857143 1.        ],6,2
7,0.5,0.06944247410980281,0.5387931034482759,0.06944247410980281,[0.         0.47169811 1.        ],[0.         0.40225564 1.        ],7,2
8,0.5,0.08850900836998155,0.5433962264150943,0.08850900836998155,[0.         0.54339623 1.        ],[0.         0.45488722 1.        ],8,2
9,0.5,0.046999574407717404,0.5236220472440944,0.046999574407717404,[0.         0.50188679 1.        ],[0.         0.45488722 1.        ],9,2
10,1.0,0.15979571570435525,0.5929203539823009,0.15979571570435525,[0.         0.50566038 1.        ],[0.         0.34586466 1.        ],0,2
11,1.0,0.05864661654135339,0.5247524752475248,0.05864661654135339,[0.  0.6 1. ],[0.         0.54135338 1.        ],1,2
12,1.0,0.07340048233792029,0.5366795366795367,0.07340048233792029,[0.        0.5245283 1.       ],[0.         0.45112782 1.        ],2,2
13,1.0,0.06958433820400056,0.5357142857142857,0.06958433820400056,[0.         0.50943396 1.        ],[0.         0.43984962 1.        ],3,2
14,1.0,0.0959994325436232,0.5482625482625483,0.0959994325436232,[0.         0.53584906 1.        ],[0.         0.43984962 1.        ],4,2
15,1.0,0.06968364306993902,0.5338345864661654,0.06968364306993902,[0.         0.53584906 1.        ],[0.         0.46616541 1.        ],5,2
16,1.0,0.07715988083416087,0.5387596899224806,0.07715988083416087,[0.        0.5245283 1.       ],[0.         0.44736842 1.        ],6,2
17,1.0,0.09198467867782667,0.5535714285714286,0.09198467867782667,[0.         0.46792453 1.        ],[0.         0.37593985 1.        ],7,2
18,1.0,-0.017094623350829896,0.4897959183673469,-0.017094623350829896,[0.         0.45283019 1.        ],[0.         0.46992481 1.        ],8,2
19,1.0,0.0809192793304015,0.5408560311284046,0.0809192793304015,[0.        0.5245283 1.       ],[0.         0.44360902 1.        ],9,2
20,1.5,0.1525748333096893,0.5740740740740741,0.1525748333096893,[0.         0.58490566 1.        ],[0.         0.43233083 1.        ],0,2
21,1.5,0.1526315789473684,0.5719424460431655,0.1526315789473684,[0.  0.6 1. ],[0.         0.44736842 1.        ],1,2
22,1.5,0.10760391544899983,0.5463576158940397,0.10760391544899983,[0.         0.62264151 1.        ],[0.         0.51503759 1.        ],2,2
23,1.5,0.03553695559653852,0.5194805194805194,0.03553695559653852,[0.         0.45283019 1.        ],[0.         0.41729323 1.        ],3,2
24,1.5,0.10758972903958008,0.5466666666666666,0.10758972903958008,[0.         0.61886792 1.        ],[0.        0.5112782 1.       ],4,2
25,1.5,0.05836288835295789,0.5285171102661597,0.05836288835295789,[0.        0.5245283 1.       ],[0.         0.46616541 1.        ],5,2
26,1.5,0.0019009788622499357,0.5,0.0019009788622499357,[0.         0.50566038 1.        ],[0.        0.5037594 1.       ],6,2
