,epsilon,shokri_mi_adv,precision,attack_adv,tpr,fpr,run,dimension
0,0.5,-0.032,0.4523809523809524,-0.032,[0.    0.152 1.   ],[0.    0.184 1.   ],0,2
1,0.5,-0.03200000000000003,0.4846153846153846,-0.03200000000000003,[0.    0.504 1.   ],[0.    0.536 1.   ],1,2
2,0.5,-0.02399999999999991,0.49122807017543857,-0.02399999999999991,[0.    0.672 1.   ],[0.    0.696 1.   ],2,2
3,0.5,-0.03199999999999992,0.4880952380952381,-0.03199999999999992,[0.    0.656 1.   ],[0.    0.688 1.   ],3,2
4,0.5,-0.09599999999999997,0.45714285714285713,-0.09599999999999997,[0.    0.512 1.   ],[0.    0.608 1.   ],4,2
5,0.5,-0.032,0.4523809523809524,-0.032,[0.    0.152 1.   ],[0.    0.184 1.   ],5,2
6,0.5,-0.015999999999999903,0.4950980392156863,-0.015999999999999903,[0.    0.808 1.   ],[0.    0.824 1.   ],6,2
7,0.5,0.02400000000000002,0.5094339622641509,0.02400000000000002,[0.    0.648 1.   ],[0.    0.624 1.   ],7,2
8,0.5,-0.016000000000000014,0.4927536231884058,-0.016000000000000014,[0.    0.544 1.   ],[0.   0.56 1.  ],8,2
9,0.5,0.064,0.5344827586206896,0.064,[0.    0.496 1.   ],[0.    0.432 1.   ],9,2
10,1.0,0.08800000000000002,0.6170212765957447,0.08800000000000002,[0.    0.232 1.   ],[0.    0.144 1.   ],0,2
11,1.0,0.08800000000000008,0.5426356589147286,0.08800000000000008,[0.   0.56 1.  ],[0.    0.472 1.   ],1,2
12,1.0,-0.05600000000000005,0.477124183006536,-0.05600000000000005,[0.    0.584 1.   ],[0.   0.64 1.  ],2,2
13,1.0,-0.05600000000000005,0.4774193548387097,-0.05600000000000005,[0.    0.592 1.   ],[0.    0.648 1.   ],3,2
14,1.0,-0.136,0.44785276073619634,-0.136,[0.    0.584 1.   ],[0.   0.72 1.  ],4,2
15,1.0,-0.015999999999999903,0.49295774647887325,-0.015999999999999903,[0.   0.56 1.  ],[0.    0.576 1.   ],5,2
16,1.0,0.07999999999999996,0.5333333333333333,0.07999999999999996,[0.   0.64 1.  ],[0.   0.56 1.  ],6,2
17,1.0,0.04800000000000004,0.52,0.04800000000000004,[0.    0.624 1.   ],[0.    0.576 1.   ],7,2
18,1.0,-0.05600000000000005,0.47244094488188976,-0.05600000000000005,[0.   0.48 1.  ],[0.    0.536 1.   ],8,2
19,1.0,0.11199999999999999,0.54375,0.11199999999999999,[0.    0.696 1.   ],[0.    0.584 1.   ],9,2
20,1.5,-0.023999999999999966,0.48717948717948717,-0.023999999999999966,[0.    0.456 1.   ],[0.   0.48 1.  ],0,2
21,1.5,0.02400000000000002,0.5095541401273885,0.02400000000000002,[0.   0.64 1.  ],[0.    0.616 1.   ],1,2
22,1.5,0.10399999999999993,0.5503875968992248,0.10399999999999993,[0.    0.568 1.   ],[0.    0.464 1.   ],2,2
23,1.5,0.11199999999999999,0.5432098765432098,0.11199999999999999,[0.    0.704 1.   ],[0.    0.592 1.   ],3,2
24,1.5,0.008000000000000007,0.5106382978723404,0.008000000000000007,[0.    0.192 1.   ],[0.    0.184 1.   ],4,2
25,1.5,0.07200000000000001,0.5365853658536586,0.07200000000000001,[0.    0.528 1.   ],[0.    0.456 1.   ],5,2
26,1.5,0.04799999999999999,0.5365853658536586,0.04799999999999999,[0.    0.352 1.   ],[0.    0.304 1.   ],6,2
27,1.5,0.0,0.5,0.0,[0.    0.672 1.   ],[0.    0.672 1.   ],7,2
28,1.5,-0.039999999999999925,0.48175182481751827,-0.039999999999999925,[0.    0.528 1.   ],[0.    0.568 1.   ],8,2
29,1.5,0.07200000000000001,0.5445544554455446,0.07200000000000001,[0.   0.44 1.  ],[0.    0.368 1.   ],9,2
30,2.0,-0.07200000000000006,0.46511627906976744,-0.07200000000000006,[0.   0.48 1.  ],[0.    0.552 1.   ],0,2
31,2.0,0.008000000000000007,0.5040650406504065,0.008000000000000007,[0.    0.496 1.   ],[0.    0.488 1.   ],1,2
32,2.0,-0.016000000000000014,0.49390243902439024,-0.016000000000000014,[0.    0.648 1.   ],[0.    0.664 1.   ],2,2
33,2.0,-0.07999999999999996,0.4691358024691358,-0.07999999999999996,[0.    0.608 1.   ],[0.    0.688 1.   ],3,2
34,2.0,0.03199999999999992,0.5116279069767442,0.03199999999999992,[0.    0.704 1.   ],[0.    0.672 1.   ],4,2
35,2.0,-0.08000000000000007,0.46835443037974683,-0.08000000000000007,[0.    0.592 1.   ],[0.    0.672 1.   ],5,2
36,2.0,0.03200000000000003,0.5147058823529411,0.03200000000000003,[0.   0.56 1.  ],[0.    0.528 1.   ],6,2
37,2.0,-0.04799999999999993,0.48214285714285715,-0.04799999999999993,[0.    0.648 1.   ],[0.    0.696 1.   ],7,2
38,2.0,-0.10399999999999998,0.4601226993865031,-0.10399999999999998,[0.  0.6 1. ],[0.    0.704 1.   ],8,2
39,2.0,0.06399999999999995,0.5285714285714286,0.06399999999999995,[0.    0.592 1.   ],[0.    0.528 1.   ],9,2
40,2.5,0.11199999999999999,0.5443037974683544,0.11199999999999999,[0.    0.688 1.   ],[0.    0.576 1.   ],0,2
41,2.5,-0.03199999999999992,0.4859154929577465,-0.03199999999999992,[0.    0.552 1.   ],[0.    0.584 1.   ],1,2
42,2.5,0.02400000000000002,0.5109489051094891,0.02400000000000002,[0.   0.56 1.  ],[0.    0.536 1.   ],2,2
43,2.5,0.023999999999999994,0.5245901639344263,0.023999999999999994,[0.    0.256 1.   ],[0.    0.232 1.   ],3,2
44,2.5,-0.032,0.46551724137931033,-0.032,[0.    0.216 1.   ],[0.    0.248 1.   ],4,2
45,2.5,-0.10400000000000004,0.44715447154471544,-0.10400000000000004,[0.   0.44 1.  ],[0.    0.544 1.   ],5,2
46,2.5,0.015999999999999986,0.5192307692307693,0.015999999999999986,[0.    0.216 1.   ],[0.  0.2 1. ],6,2
47,2.5,-0.055999999999999994,0.45569620253164556,-0.055999999999999994,[0.    0.288 1.   ],[0.    0.344 1.   ],7,2
48,2.5,-0.02400000000000002,0.4906832298136646,-0.02400000000000002,[0.    0.632 1.   ],[0.    0.656 1.   ],8,2
49,2.5,-0.032,0.46,-0.032,[0.    0.184 1.   ],[0.    0.216 1.   ],9,2
50,3.0,0.06399999999999995,0.527027027027027,0.06399999999999995,[0.    0.624 1.   ],[0.   0.56 1.  ],0,2
51,3.0,-0.03999999999999998,0.4793388429752066,-0.03999999999999998,[0.    0.464 1.   ],[0.    0.504 1.   ],1,2
52,3.0,-0.08799999999999997,0.4580152671755725,-0.08799999999999997,[0.   0.48 1.  ],[0.    0.568 1.   ],2,2
53,3.0,-0.008000000000000007,0.4927536231884058,-0.008000000000000007,[0.    0.272 1.   ],[0.   0.28 1.  ],3,2
54,3.0,0.0,0.5,0.0,[0.    0.584 1.   ],[0.    0.584 1.   ],4,2
