,algorithm,clustering_algorithm,dimensions,ari,ami,ch,sc,mechanism,epsilon
0,grid-nd-Laplace,KMeans(clusters=2),2,0.44038378632474184,0.4625829567370657,3914.8071035784715,0.6939723537138132,grid-nd-Laplace,0.5
1,grid-nd-Laplace,AgglomerativeClustering(clusters=2),2,0.6885845685551513,0.640114475649424,2245.209502185163,0.5954145187559894,grid-nd-Laplace,0.5
2,grid-nd-Laplace,OPTICS(min_samples=4),2,0.39082274593537514,0.49533639039470356,13.071479147118215,-0.19077311925959578,grid-nd-Laplace,0.5
3,grid-nd-Laplace,KMeans(clusters=2),3,0.4951549263586895,0.5137994102280248,3443.4949402137804,0.6625328815222317,grid-nd-Laplace,0.5
4,grid-nd-Laplace,AgglomerativeClustering(clusters=3),3,0.45729705769535833,0.5687806525799626,2818.2544663842477,0.48105816486184844,grid-nd-Laplace,0.5
5,grid-nd-Laplace,OPTICS(min_samples=6),3,0.4093665633226829,0.41402033956739565,14.73361824754372,-0.49740618217725635,grid-nd-Laplace,0.5
6,grid-nd-Laplace,KMeans(clusters=2),2,0.43772518448224484,0.44199267754674165,3779.48564400906,0.6866966245489132,grid-nd-Laplace,1.0
7,grid-nd-Laplace,AgglomerativeClustering(clusters=2),2,0.3444851037441975,0.3954683740612324,3690.67065138139,0.6832593608749551,grid-nd-Laplace,1.0
8,grid-nd-Laplace,OPTICS(min_samples=4),2,0.3419726274176077,0.4414586653992729,10.444453327656017,-0.26279165803472937,grid-nd-Laplace,1.0
9,grid-nd-Laplace,KMeans(clusters=2),3,0.503643787527811,0.5116503769787573,3406.4641744726696,0.659896197534023,grid-nd-Laplace,1.0
10,grid-nd-Laplace,AgglomerativeClustering(clusters=3),3,0.7140116635768551,0.7199505882037628,2730.2692341648335,0.45800602224900117,grid-nd-Laplace,1.0
11,grid-nd-Laplace,OPTICS(min_samples=6),3,0.4118861943445574,0.4137816129533264,15.294251253978434,-0.5013464457647039,grid-nd-Laplace,1.0
