,epsilon,distance,algorithm,dataset,dimension
0,0.5,1.0028217745793104,grid-nd-Laplace,seeds-dataset,2
1,1.0,0.8845113762643466,grid-nd-Laplace,seeds-dataset,2
2,1.5,0.8095061136321078,grid-nd-Laplace,seeds-dataset,2
3,2.0,0.6428015051291367,grid-nd-Laplace,seeds-dataset,2
4,2.5,0.6053959672742144,grid-nd-Laplace,seeds-dataset,2
5,3.0,0.5137670985512889,grid-nd-Laplace,seeds-dataset,2
6,3.5,0.4522500285473658,grid-nd-Laplace,seeds-dataset,2
7,5.0,0.3530425917808025,grid-nd-Laplace,seeds-dataset,2
8,7.0,0.3149758902375117,grid-nd-Laplace,seeds-dataset,2
9,9.0,0.21360572687373328,grid-nd-Laplace,seeds-dataset,2
10,0.5,0.4640498701476221,grid-nd-Laplace,seeds-dataset,3
11,1.0,0.4605811320636216,grid-nd-Laplace,seeds-dataset,3
12,1.5,0.4506414474103883,grid-nd-Laplace,seeds-dataset,3
13,2.0,0.4495011705038927,grid-nd-Laplace,seeds-dataset,3
14,2.5,0.43199602820630595,grid-nd-Laplace,seeds-dataset,3
15,3.0,0.41624297558190726,grid-nd-Laplace,seeds-dataset,3
16,3.5,0.4222932810283482,grid-nd-Laplace,seeds-dataset,3
17,5.0,0.37170452452820874,grid-nd-Laplace,seeds-dataset,3
18,7.0,0.33246934969366737,grid-nd-Laplace,seeds-dataset,3
19,9.0,0.2784363912473381,grid-nd-Laplace,seeds-dataset,3
20,0.5,10.64545851609957,grid-nd-Laplace,seeds-dataset,4
21,1.0,7.909770899218295,grid-nd-Laplace,seeds-dataset,4
22,1.5,5.346435520194873,grid-nd-Laplace,seeds-dataset,4
23,2.0,3.9793321559332933,grid-nd-Laplace,seeds-dataset,4
24,2.5,3.6009408777304848,grid-nd-Laplace,seeds-dataset,4
25,3.0,2.920061752837939,grid-nd-Laplace,seeds-dataset,4
26,3.5,2.275004120751324,grid-nd-Laplace,seeds-dataset,4
27,5.0,1.4566056312494866,grid-nd-Laplace,seeds-dataset,4
28,7.0,1.0945786594316458,grid-nd-Laplace,seeds-dataset,4
29,9.0,0.8165266144596026,grid-nd-Laplace,seeds-dataset,4
30,0.5,11.881604984615288,grid-nd-Laplace,seeds-dataset,5
31,1.0,8.457220704893695,grid-nd-Laplace,seeds-dataset,5
32,1.5,6.238345007793682,grid-nd-Laplace,seeds-dataset,5
33,2.0,5.04192258268979,grid-nd-Laplace,seeds-dataset,5
34,2.5,3.9714183534443745,grid-nd-Laplace,seeds-dataset,5
35,3.0,3.341036125773429,grid-nd-Laplace,seeds-dataset,5
36,3.5,2.6730644873597194,grid-nd-Laplace,seeds-dataset,5
37,5.0,2.280184589381682,grid-nd-Laplace,seeds-dataset,5
38,7.0,1.3453954370993313,grid-nd-Laplace,seeds-dataset,5
39,9.0,1.0776719488365107,grid-nd-Laplace,seeds-dataset,5
40,0.5,12.697785583055047,grid-nd-Laplace,seeds-dataset,6
41,1.0,9.474110569716643,grid-nd-Laplace,seeds-dataset,6
42,1.5,7.795742867395388,grid-nd-Laplace,seeds-dataset,6
43,2.0,6.137243464936451,grid-nd-Laplace,seeds-dataset,6
44,2.5,4.387469063198134,grid-nd-Laplace,seeds-dataset,6
45,3.0,3.8378893231242355,grid-nd-Laplace,seeds-dataset,6
46,3.5,3.4042198556741097,grid-nd-Laplace,seeds-dataset,6
47,5.0,2.551642672924637,grid-nd-Laplace,seeds-dataset,6
48,7.0,2.2329735668216717,grid-nd-Laplace,seeds-dataset,6
49,9.0,1.1729010769530388,grid-nd-Laplace,seeds-dataset,6
50,0.5,13.235076665781664,grid-nd-Laplace,seeds-dataset,7
51,1.0,10.581051157095919,grid-nd-Laplace,seeds-dataset,7
52,1.5,8.77562155856629,grid-nd-Laplace,seeds-dataset,7
53,2.0,6.779008820364307,grid-nd-Laplace,seeds-dataset,7
54,2.5,5.374409237233223,grid-nd-Laplace,seeds-dataset,7
55,3.0,5.011300200657131,grid-nd-Laplace,seeds-dataset,7
56,3.5,3.694213655244205,grid-nd-Laplace,seeds-dataset,7
57,5.0,2.529801675806921,grid-nd-Laplace,seeds-dataset,7
58,7.0,1.678140725658305,grid-nd-Laplace,seeds-dataset,7
59,9.0,2.0825766261470897,grid-nd-Laplace,seeds-dataset,7
