,epsilon,distance,algorithm,dataset,dimension
0,0.5,0.6294511674781206,grid-nd-Laplace,skewed-dataset,2
1,1.0,0.579895886545887,grid-nd-Laplace,skewed-dataset,2
2,1.5,0.5414003060751361,grid-nd-Laplace,skewed-dataset,2
3,2.0,0.46872005823027585,grid-nd-Laplace,skewed-dataset,2
4,2.5,0.43913236983313897,grid-nd-Laplace,skewed-dataset,2
5,3.0,0.3926945110312664,grid-nd-Laplace,skewed-dataset,2
6,3.5,0.36946605683349104,grid-nd-Laplace,skewed-dataset,2
7,5.0,0.28605908146012876,grid-nd-Laplace,skewed-dataset,2
8,7.0,0.21066248148069058,grid-nd-Laplace,skewed-dataset,2
9,9.0,0.17097110516729952,grid-nd-Laplace,skewed-dataset,2
10,0.5,0.6595292604088776,grid-nd-Laplace,skewed-dataset,3
11,1.0,0.6374362606927224,grid-nd-Laplace,skewed-dataset,3
12,1.5,0.6179927660824474,grid-nd-Laplace,skewed-dataset,3
13,2.0,0.5956399060697205,grid-nd-Laplace,skewed-dataset,3
14,2.5,0.5492462570544361,grid-nd-Laplace,skewed-dataset,3
15,3.0,0.5023719887774761,grid-nd-Laplace,skewed-dataset,3
16,3.5,0.4703571624198665,grid-nd-Laplace,skewed-dataset,3
17,5.0,0.38994054739096917,grid-nd-Laplace,skewed-dataset,3
18,7.0,0.3015840562507549,grid-nd-Laplace,skewed-dataset,3
19,9.0,0.23962594165487988,grid-nd-Laplace,skewed-dataset,3
