,epsilon,shokri_mi_adv,precision,attack_adv,tpr,fpr,run,dimension
0,0.5,0.03199999999999997,0.5196078431372549,0.03199999999999997,[0.    0.424 1.   ],[0.    0.392 1.   ],0,2
1,0.5,0.03199999999999997,0.52,0.03199999999999997,[0.    0.416 1.   ],[0.    0.384 1.   ],1,2
2,0.5,0.055999999999999994,0.5421686746987951,0.055999999999999994,[0.   0.36 1.  ],[0.    0.304 1.   ],2,2
3,0.5,0.0,0.5,0.0,[0.  0.4 1. ],[0.  0.4 1. ],3,2
4,0.5,0.08000000000000002,0.5416666666666666,0.08000000000000002,[0.   0.52 1.  ],[0.   0.44 1.  ],4,2
5,0.5,0.07200000000000001,0.5405405405405406,0.07200000000000001,[0.   0.48 1.  ],[0.    0.408 1.   ],5,2
6,0.5,0.016000000000000014,0.5125,0.016000000000000014,[0.    0.328 1.   ],[0.    0.312 1.   ],6,2
7,0.5,0.023999999999999966,0.5128205128205128,0.023999999999999966,[0.   0.48 1.  ],[0.    0.456 1.   ],7,2
8,0.5,0.0,0.5,0.0,[0.    0.376 1.   ],[0.    0.376 1.   ],8,2
9,0.5,0.10399999999999998,0.5730337078651685,0.10399999999999998,[0.    0.408 1.   ],[0.    0.304 1.   ],9,2
10,1.0,-0.040000000000000036,0.4731182795698925,-0.040000000000000036,[0.    0.352 1.   ],[0.    0.392 1.   ],0,2
11,1.0,-0.11199999999999999,0.42857142857142855,-0.11199999999999999,[0.    0.336 1.   ],[0.    0.448 1.   ],1,2
12,1.0,0.02400000000000002,0.5154639175257731,0.02400000000000002,[0.  0.4 1. ],[0.    0.376 1.   ],2,2
13,1.0,-0.01599999999999996,0.49019607843137253,-0.01599999999999996,[0.  0.4 1. ],[0.    0.416 1.   ],3,2
14,1.0,0.09599999999999997,0.5652173913043478,0.09599999999999997,[0.    0.416 1.   ],[0.   0.32 1.  ],4,2
15,1.0,-0.08800000000000002,0.44554455445544555,-0.08800000000000002,[0.   0.36 1.  ],[0.    0.448 1.   ],5,2
16,1.0,-0.04799999999999999,0.46938775510204084,-0.04799999999999999,[0.    0.368 1.   ],[0.    0.416 1.   ],6,2
17,1.0,0.02400000000000002,0.52,0.02400000000000002,[0.    0.312 1.   ],[0.    0.288 1.   ],7,2
18,1.0,0.152,0.6301369863013698,0.152,[0.    0.368 1.   ],[0.    0.216 1.   ],8,2
19,1.0,0.008000000000000007,0.5047619047619047,0.008000000000000007,[0.    0.424 1.   ],[0.    0.416 1.   ],9,2
20,1.5,-0.055999999999999966,0.4461538461538462,-0.055999999999999966,[0.    0.232 1.   ],[0.    0.288 1.   ],0,2
21,1.5,-0.048000000000000015,0.45161290322580644,-0.048000000000000015,[0.    0.224 1.   ],[0.    0.272 1.   ],1,2
22,1.5,-0.08799999999999997,0.4485981308411215,-0.08799999999999997,[0.    0.384 1.   ],[0.    0.472 1.   ],2,2
23,1.5,-0.02400000000000002,0.4888888888888889,-0.02400000000000002,[0.    0.528 1.   ],[0.    0.552 1.   ],3,2
24,1.5,-0.07200000000000001,0.45544554455445546,-0.07200000000000001,[0.    0.368 1.   ],[0.   0.44 1.  ],4,2
25,1.5,0.10400000000000004,0.5764705882352941,0.10400000000000004,[0.    0.392 1.   ],[0.    0.288 1.   ],5,2
26,1.5,0.15200000000000002,0.6172839506172839,0.15200000000000002,[0.  0.4 1. ],[0.    0.248 1.   ],6,2
27,1.5,0.007999999999999952,0.5070422535211268,0.007999999999999952,[0.    0.288 1.   ],[0.   0.28 1.  ],7,2
28,1.5,0.0,0.5,0.0,[0.    0.216 1.   ],[0.    0.216 1.   ],8,2
29,1.5,0.040000000000000036,0.5233644859813084,0.040000000000000036,[0.    0.448 1.   ],[0.    0.408 1.   ],9,2
30,2.0,0.16800000000000004,0.5929203539823009,0.16800000000000004,[0.    0.536 1.   ],[0.    0.368 1.   ],0,2
31,2.0,-0.07199999999999995,0.4430379746835443,-0.07199999999999995,[0.   0.28 1.  ],[0.    0.352 1.   ],1,2
32,2.0,-0.064,0.46774193548387094,-0.064,[0.    0.464 1.   ],[0.    0.528 1.   ],2,2
33,2.0,0.04799999999999999,0.5283018867924528,0.04799999999999999,[0.    0.448 1.   ],[0.  0.4 1. ],3,2
34,2.0,0.14400000000000002,0.5775862068965517,0.14400000000000002,[0.    0.536 1.   ],[0.    0.392 1.   ],4,2
35,2.0,-0.064,0.4661016949152542,-0.064,[0.   0.44 1.  ],[0.    0.504 1.   ],5,2
36,2.0,-0.02400000000000002,0.48854961832061067,-0.02400000000000002,[0.    0.512 1.   ],[0.    0.536 1.   ],6,2
37,2.0,0.06400000000000006,0.5303030303030303,0.06400000000000006,[0.   0.56 1.  ],[0.    0.496 1.   ],7,2
38,2.0,-0.023999999999999966,0.4827586206896552,-0.023999999999999966,[0.    0.336 1.   ],[0.   0.36 1.  ],8,2
39,2.0,-0.11200000000000004,0.4396551724137931,-0.11200000000000004,[0.    0.408 1.   ],[0.   0.52 1.  ],9,2
40,2.5,0.10399999999999998,0.5714285714285714,0.10399999999999998,[0.    0.416 1.   ],[0.    0.312 1.   ],0,2
41,2.5,0.023999999999999966,0.5180722891566265,0.023999999999999966,[0.    0.344 1.   ],[0.   0.32 1.  ],1,2
