,epsilon,distance,algorithm,dataset,dimension
0,0.5,3.9247753497670645,nd-Laplace,circle-dataset,2
1,1.0,1.957542633599418,nd-Laplace,circle-dataset,2
2,1.5,1.3312592037563389,nd-Laplace,circle-dataset,2
3,2.0,1.016361701557861,nd-Laplace,circle-dataset,2
4,2.5,0.7961878090179462,nd-Laplace,circle-dataset,2
5,3.0,0.6540491366351032,nd-Laplace,circle-dataset,2
6,3.5,0.5915954272453057,nd-Laplace,circle-dataset,2
7,5.0,0.39697772444384655,nd-Laplace,circle-dataset,2
8,7.0,0.2889446965363401,nd-Laplace,circle-dataset,2
9,9.0,0.22678608900531771,nd-Laplace,circle-dataset,2
10,0.5,6.136287572039545,nd-Laplace,circle-dataset,3
11,1.0,3.038410442996564,nd-Laplace,circle-dataset,3
12,1.5,1.972065452887877,nd-Laplace,circle-dataset,3
13,2.0,1.496051124016343,nd-Laplace,circle-dataset,3
14,2.5,1.1859720388778665,nd-Laplace,circle-dataset,3
15,3.0,0.9986357417286568,nd-Laplace,circle-dataset,3
16,3.5,0.8305073974562801,nd-Laplace,circle-dataset,3
17,5.0,0.5870828066995881,nd-Laplace,circle-dataset,3
18,7.0,0.42655204712640693,nd-Laplace,circle-dataset,3
19,9.0,0.33218604747540414,nd-Laplace,circle-dataset,3
