,epsilon,distance,algorithm,dataset,dimension
0,0.5,3.96039232965079,nd-Laplace,heart-dataset,2
1,1.0,2.0008931625640933,nd-Laplace,heart-dataset,2
2,1.5,1.327740928860684,nd-Laplace,heart-dataset,2
3,2.0,0.9815785181240293,nd-Laplace,heart-dataset,2
4,2.5,0.8064642356721736,nd-Laplace,heart-dataset,2
5,3.0,0.6626399446215792,nd-Laplace,heart-dataset,2
6,3.5,0.5703888889993863,nd-Laplace,heart-dataset,2
7,5.0,0.39184925384840374,nd-Laplace,heart-dataset,2
8,7.0,0.2804982201504382,nd-Laplace,heart-dataset,2
9,9.0,0.22628013264753022,nd-Laplace,heart-dataset,2
10,0.5,6.119387592078653,nd-Laplace,heart-dataset,3
11,1.0,2.957040599993556,nd-Laplace,heart-dataset,3
12,1.5,1.986138175017854,nd-Laplace,heart-dataset,3
13,2.0,1.515591129896504,nd-Laplace,heart-dataset,3
14,2.5,1.200814093506643,nd-Laplace,heart-dataset,3
15,3.0,1.0109489219290015,nd-Laplace,heart-dataset,3
16,3.5,0.852171590184912,nd-Laplace,heart-dataset,3
17,5.0,0.6083857573041326,nd-Laplace,heart-dataset,3
18,7.0,0.4277915588543537,nd-Laplace,heart-dataset,3
19,9.0,0.32633373182366976,nd-Laplace,heart-dataset,3
20,0.5,8.033499046108705,nd-Laplace,heart-dataset,4
21,1.0,3.8984798739294058,nd-Laplace,heart-dataset,4
22,1.5,2.6358367602769834,nd-Laplace,heart-dataset,4
23,2.0,2.001250559909152,nd-Laplace,heart-dataset,4
24,2.5,1.5864737309991737,nd-Laplace,heart-dataset,4
25,3.0,1.3557851263894598,nd-Laplace,heart-dataset,4
26,3.5,1.1320012703022124,nd-Laplace,heart-dataset,4
27,5.0,0.7988203026622949,nd-Laplace,heart-dataset,4
28,7.0,0.5574339233076532,nd-Laplace,heart-dataset,4
29,9.0,0.44950747510153716,nd-Laplace,heart-dataset,4
30,0.5,10.229581563511532,nd-Laplace,heart-dataset,5
31,1.0,4.985420021050356,nd-Laplace,heart-dataset,5
32,1.5,3.315242182872805,nd-Laplace,heart-dataset,5
33,2.0,2.5087979374015212,nd-Laplace,heart-dataset,5
34,2.5,2.0349161317782407,nd-Laplace,heart-dataset,5
35,3.0,1.6606265662243844,nd-Laplace,heart-dataset,5
36,3.5,1.4402990148397434,nd-Laplace,heart-dataset,5
37,5.0,1.0003842817534128,nd-Laplace,heart-dataset,5
38,7.0,0.7167675164010222,nd-Laplace,heart-dataset,5
39,9.0,0.555638289190873,nd-Laplace,heart-dataset,5
40,0.5,12.051918403366612,nd-Laplace,heart-dataset,6
41,1.0,5.983619097914198,nd-Laplace,heart-dataset,6
42,1.5,3.9889530283023644,nd-Laplace,heart-dataset,6
43,2.0,3.0384585514648186,nd-Laplace,heart-dataset,6
44,2.5,2.415438252946804,nd-Laplace,heart-dataset,6
45,3.0,1.9688789374904065,nd-Laplace,heart-dataset,6
46,3.5,1.7194256602727427,nd-Laplace,heart-dataset,6
47,5.0,1.1839743453763392,nd-Laplace,heart-dataset,6
48,7.0,0.8555666028986418,nd-Laplace,heart-dataset,6
49,9.0,0.6630900277093218,nd-Laplace,heart-dataset,6
50,0.5,13.954523820805196,nd-Laplace,heart-dataset,7
51,1.0,7.0506450286884945,nd-Laplace,heart-dataset,7
52,1.5,4.647944734613358,nd-Laplace,heart-dataset,7
53,2.0,3.5092913237847605,nd-Laplace,heart-dataset,7
54,2.5,2.795213267208994,nd-Laplace,heart-dataset,7
55,3.0,2.2873651006001534,nd-Laplace,heart-dataset,7
56,3.5,2.0071516937970846,nd-Laplace,heart-dataset,7
57,5.0,1.3768930741602592,nd-Laplace,heart-dataset,7
58,7.0,1.01044254108336,nd-Laplace,heart-dataset,7
59,9.0,0.7810106403457125,nd-Laplace,heart-dataset,7
60,0.5,16.043598753822334,nd-Laplace,heart-dataset,8
61,1.0,8.060095123900712,nd-Laplace,heart-dataset,8
62,1.5,5.29478235575812,nd-Laplace,heart-dataset,8
63,2.0,3.9780219394746243,nd-Laplace,heart-dataset,8
64,2.5,3.181787441913944,nd-Laplace,heart-dataset,8
65,3.0,2.6755228093925596,nd-Laplace,heart-dataset,8
66,3.5,2.2948040468444173,nd-Laplace,heart-dataset,8
67,5.0,1.5871430135890938,nd-Laplace,heart-dataset,8
68,7.0,1.1381319150581946,nd-Laplace,heart-dataset,8
69,9.0,0.8911166209638536,nd-Laplace,heart-dataset,8
70,0.5,18.095535582563002,nd-Laplace,heart-dataset,9
71,1.0,9.072801068982765,nd-Laplace,heart-dataset,9
72,1.5,6.0481980677453295,nd-Laplace,heart-dataset,9
73,2.0,4.537681980832952,nd-Laplace,heart-dataset,9
74,2.5,3.6372240059567353,nd-Laplace,heart-dataset,9
75,3.0,3.0367054103410966,nd-Laplace,heart-dataset,9
76,3.5,2.553835729749591,nd-Laplace,heart-dataset,9
77,5.0,1.7939250088960255,nd-Laplace,heart-dataset,9
78,7.0,1.288507668377742,nd-Laplace,heart-dataset,9
79,9.0,0.9843317746760338,nd-Laplace,heart-dataset,9
