,epsilon,shokri_mi_adv,precision,attack_adv,tpr,fpr,run,dimension
0,0.5,0.024145268832458544,0.5137614678899083,0.024145268832458544,[0.         0.42264151 1.        ],[0.         0.39849624 1.        ],0,2
1,0.5,-0.0248262164846077,0.4838709677419355,-0.0248262164846077,[0.         0.39622642 1.        ],[0.         0.42105263 1.        ],1,2
2,0.5,0.016583912611717988,0.5093457943925234,0.016583912611717988,[0.         0.41132075 1.        ],[0.         0.39473684 1.        ],2,2
3,0.5,0.06955596538516101,0.5362903225806451,0.06955596538516101,[0.         0.50188679 1.        ],[0.         0.43233083 1.        ],3,2
4,0.5,0.09591431408710455,0.5506072874493927,0.09591431408710455,[0.         0.51320755 1.        ],[0.         0.41729323 1.        ],4,2
5,0.5,0.0320754716981132,0.5145985401459854,0.0320754716981132,[0.         0.53207547 1.        ],[0.  0.5 1. ],5,2
6,0.5,0.06551283870052493,0.5406698564593302,0.06551283870052493,[0.         0.42641509 1.        ],[0.         0.36090226 1.        ],6,2
7,0.5,0.06199460916442051,0.5327868852459017,0.06199460916442051,[0.         0.49056604 1.        ],[0.         0.42857143 1.        ],7,2
8,0.5,-0.021095190807206676,0.4858490566037736,-0.021095190807206676,[0.         0.38867925 1.        ],[0.         0.40977444 1.        ],8,2
9,0.5,0.03970775996595255,0.5173611111111112,0.03970775996595255,[0.         0.56226415 1.        ],[0.         0.52255639 1.        ],9,2
10,1.0,0.08080578805504329,0.5435684647302904,0.08080578805504329,[0.         0.49433962 1.        ],[0.         0.41353383 1.        ],0,2
11,1.0,0.02082564902823092,0.5088967971530249,0.02082564902823092,[0.         0.53962264 1.        ],[0.         0.51879699 1.        ],1,2
12,1.0,0.06938572847212371,0.5401785714285714,0.06938572847212371,[0.         0.45660377 1.        ],[0.         0.38721805 1.        ],2,2
13,1.0,0.050900836998155785,0.5238095238095238,0.050900836998155785,[0.         0.53962264 1.        ],[0.        0.4887218 1.       ],3,2
14,1.0,0.1828911902397503,0.581081081081081,0.1828911902397503,[0.        0.6490566 1.       ],[0.         0.46616541 1.        ],4,2
15,1.0,0.08822528018158604,0.5511111111111111,0.08822528018158604,[0.         0.46792453 1.        ],[0.         0.37969925 1.        ],5,2
16,1.0,0.1107674847496099,0.5668202764976958,0.1107674847496099,[0.         0.46415094 1.        ],[0.         0.35338346 1.        ],6,2
17,1.0,0.13011774719818414,0.5586206896551724,0.13011774719818414,[0.         0.61132075 1.        ],[0.         0.48120301 1.        ],7,2
18,1.0,0.08499077883387707,0.5366666666666666,0.08499077883387707,[0.         0.60754717 1.        ],[0.         0.52255639 1.        ],8,2
19,1.0,0.020683784934033222,0.5095785440613027,0.020683784934033222,[0.         0.50188679 1.        ],[0.         0.48120301 1.        ],9,2
20,1.5,0.11486735707192508,0.5568181818181818,0.11486735707192508,[0.         0.55471698 1.        ],[0.         0.43984962 1.        ],0,2
21,1.5,0.08081997446446304,0.5432098765432098,0.08081997446446304,[0.         0.49811321 1.        ],[0.         0.41729323 1.        ],1,2
22,1.5,0.0963115335508582,0.5412541254125413,0.0963115335508582,[0.         0.61886792 1.        ],[0.         0.52255639 1.        ],2,2
23,1.5,0.09245283018867922,0.5413793103448276,0.09245283018867922,[0.         0.59245283 1.        ],[0.  0.5 1. ],3,2
24,1.5,0.0055326996737126155,0.5020080321285141,0.0055326996737126155,[0.         0.47169811 1.        ],[0.         0.46616541 1.        ],4,2
25,1.5,0.14529720527734424,0.5620915032679739,0.14529720527734424,[0.        0.6490566 1.       ],[0.        0.5037594 1.       ],5,2
26,1.5,0.11888211093772161,0.5518394648829431,0.11888211093772161,[0.         0.62264151 1.        ],[0.        0.5037594 1.       ],6,2
27,1.5,0.1262590438360051,0.5595667870036101,0.1262590438360051,[0.         0.58490566 1.        ],[0.         0.45864662 1.        ],7,2
28,1.5,0.14112640090793022,0.5742971887550201,0.14112640090793022,[0.         0.53962264 1.        ],[0.         0.39849624 1.        ],8,2
29,1.5,-0.020655412115193617,0.48905109489051096,-0.020655412115193617,[0.         0.50566038 1.        ],[0.         0.52631579 1.        ],9,2
