,algorithm,clustering_algorithm,dimensions,ari,ami,ch,sc,mechanism,epsilon
0,nd-Laplace,KMeans(clusters=2),2,0.8434184724499276,0.7485146366572101,1884.5628363920666,0.4236127562053594,nd-Laplace,0.5
1,nd-Laplace,AgglomerativeClustering(clusters=2),2,0.3397491470375963,0.37099081065185147,1553.9909025586342,0.3902921453369528,nd-Laplace,0.5
2,nd-Laplace,OPTICS(min_samples=4),2,0.005308176064154445,0.04954128276859871,11.704676343839818,-0.1204351223665365,nd-Laplace,0.5
3,nd-Laplace,KMeans(clusters=4),3,0.5488079783288464,0.4908990634106001,886.0766707985604,0.28764199832351645,nd-Laplace,0.5
4,nd-Laplace,AgglomerativeClustering(clusters=4),3,0.24224570901222225,0.31081085399777136,613.113649107012,0.1860407663586487,nd-Laplace,0.5
5,nd-Laplace,OPTICS(min_samples=6),3,-0.006427366882385729,0.013293985944696735,7.802042022706556,-0.4689879658612446,nd-Laplace,0.5
6,nd-Laplace,KMeans(clusters=2),4,0.788780930744913,0.6968814041021034,675.7764386786139,0.2741950509671282,nd-Laplace,0.5
7,nd-Laplace,AgglomerativeClustering(clusters=3),4,0.42295424396090053,0.3774751679201097,623.8036228264202,0.23368010139878276,nd-Laplace,0.5
8,nd-Laplace,OPTICS(min_samples=18),4,0.0,0.0,0.0,0.0,nd-Laplace,0.5
9,nd-Laplace,KMeans(clusters=2),5,0.7451045295878739,0.6412339011084767,531.7212880413884,0.21256336172983037,nd-Laplace,0.5
10,nd-Laplace,AgglomerativeClustering(clusters=3),5,0.24605923224210807,0.3568285819312461,486.8603468180751,0.2022639851401255,nd-Laplace,0.5
11,nd-Laplace,OPTICS(min_samples=18),5,-0.013144177796279171,-0.0021979515845362797,354.68290907281187,0.7160926041696744,nd-Laplace,0.5
12,nd-Laplace,KMeans(clusters=2),6,0.8729228625274568,0.7959397985214107,579.0705964092148,0.23951102111992317,nd-Laplace,0.5
13,nd-Laplace,AgglomerativeClustering(clusters=3),6,0.027240819400547445,0.25073178651889727,484.9283521168939,0.24986125748565483,nd-Laplace,0.5
14,nd-Laplace,OPTICS(min_samples=18),6,-0.013531626229600335,-0.001004220952391273,5.652219472256215,-0.2147972817170451,nd-Laplace,0.5
15,nd-Laplace,KMeans(clusters=2),7,0.9479882292436516,0.8989281678511837,787.8925862348854,0.2795572654642053,nd-Laplace,0.5
16,nd-Laplace,AgglomerativeClustering(clusters=3),7,0.395477472671525,0.440371189934596,534.6569734333659,0.22987501177588934,nd-Laplace,0.5
17,nd-Laplace,OPTICS(min_samples=18),7,-0.013575235999492587,-0.0017734074521582256,249.77686399300745,0.6389627121698005,nd-Laplace,0.5
18,nd-Laplace,KMeans(clusters=2),8,0.9386617885167474,0.8837489348139483,754.343152524632,0.26755437798526244,nd-Laplace,0.5
19,nd-Laplace,AgglomerativeClustering(clusters=3),8,0.5161935639449993,0.4627387683850624,533.1523003293557,0.24867450729169588,nd-Laplace,0.5
20,nd-Laplace,OPTICS(min_samples=18),8,0.0,0.0,0.0,0.0,nd-Laplace,0.5
21,nd-Laplace,KMeans(clusters=2),9,0.948716939266774,0.9013110641101132,833.816720943656,0.27937314478906544,nd-Laplace,0.5
22,nd-Laplace,AgglomerativeClustering(clusters=3),9,0.5166786669639869,0.4529143853913179,533.5598407165336,0.2557056130023384,nd-Laplace,0.5
23,nd-Laplace,OPTICS(min_samples=18),9,-0.01184862171637552,-0.0008836945296833322,191.51738895308245,0.5954966238383012,nd-Laplace,0.5
24,nd-Laplace,KMeans(clusters=2),2,0.931424566342091,0.8697694535631264,1905.2879338752032,0.42713749105197457,nd-Laplace,1.0
25,nd-Laplace,AgglomerativeClustering(clusters=2),2,0.34636078101030915,0.40608138303242003,1578.1078414303806,0.4010759236969359,nd-Laplace,1.0
26,nd-Laplace,OPTICS(min_samples=4),2,0.028943286264022094,0.14276425252893524,12.240071325718475,-0.1278943479666355,nd-Laplace,1.0
27,nd-Laplace,KMeans(clusters=4),3,0.728254977077003,0.6581314509108912,1029.8342464909088,0.3159667812708757,nd-Laplace,1.0
28,nd-Laplace,AgglomerativeClustering(clusters=4),3,0.37166172618933724,0.43758039017431616,856.8112463104533,0.28259785364721457,nd-Laplace,1.0
29,nd-Laplace,OPTICS(min_samples=6),3,0.026378454072167747,0.06613095617290773,11.09561734617932,-0.44228350333141464,nd-Laplace,1.0
30,nd-Laplace,KMeans(clusters=2),4,0.9039495569500631,0.8302286031221039,698.9774384586833,0.28179923474969704,nd-Laplace,1.0
31,nd-Laplace,AgglomerativeClustering(clusters=3),4,0.3728225063663163,0.3411397159781079,677.0295357973907,0.25970125640569247,nd-Laplace,1.0
32,nd-Laplace,OPTICS(min_samples=18),4,0.07197099895122047,0.06529033717834079,21.430948139138216,-0.15416803021609587,nd-Laplace,1.0
33,nd-Laplace,KMeans(clusters=2),5,0.8402704518357316,0.7491851396416188,547.5859061424877,0.2166334827445139,nd-Laplace,1.0
34,nd-Laplace,AgglomerativeClustering(clusters=3),5,0.6606890954072755,0.5388634159152705,509.34560181563756,0.21179718183131402,nd-Laplace,1.0
35,nd-Laplace,OPTICS(min_samples=18),5,0.11226748847943144,0.05423629299637332,30.963984884576455,0.06487158983076123,nd-Laplace,1.0
36,nd-Laplace,KMeans(clusters=2),6,0.9315590814702859,0.8828011216449176,593.0592330010916,0.24452880852055042,nd-Laplace,1.0
37,nd-Laplace,AgglomerativeClustering(clusters=3),6,0.4033590424695748,0.3373127098091829,387.8981511287665,0.1565818087110708,nd-Laplace,1.0
38,nd-Laplace,OPTICS(min_samples=18),6,-0.020510354149316797,0.00027863832269703765,287.3047443228261,0.6194848150186114,nd-Laplace,1.0
39,nd-Laplace,KMeans(clusters=2),7,0.9682558534836374,0.9329020673976395,806.8641349808075,0.2842835609242095,nd-Laplace,1.0
40,nd-Laplace,AgglomerativeClustering(clusters=3),7,0.6675789621771873,0.6014432864953384,586.0615969740686,0.28278032318231533,nd-Laplace,1.0
41,nd-Laplace,OPTICS(min_samples=18),7,-0.012496081178442513,-0.0018853156263897379,240.34982537797856,0.6554140840659627,nd-Laplace,1.0
42,nd-Laplace,KMeans(clusters=2),8,0.964737937839535,0.9277415455789626,763.4150163180286,0.2711038890805293,nd-Laplace,1.0
43,nd-Laplace,AgglomerativeClustering(clusters=3),8,0.7328574588859116,0.6586821112387617,504.6037281591881,0.24508422166859095,nd-Laplace,1.0
44,nd-Laplace,OPTICS(min_samples=18),8,-0.017979943137203795,-0.001127319269518343,205.4910507299037,0.6108767468309548,nd-Laplace,1.0
45,nd-Laplace,KMeans(clusters=2),9,0.9645518137524854,0.927354263380613,841.1778392800527,0.28186961401251764,nd-Laplace,1.0
46,nd-Laplace,AgglomerativeClustering(clusters=3),9,0.48038075084895954,0.44048191408163995,441.21877750468536,0.20039272765560184,nd-Laplace,1.0
47,nd-Laplace,OPTICS(min_samples=18),9,-0.012082419929671294,-0.0008297066278442393,186.06693463795222,0.5923115433256754,nd-Laplace,1.0
48,nd-Laplace,KMeans(clusters=2),2,0.9522879096503312,0.9038243216819334,1933.294649778607,0.4287695771863705,nd-Laplace,1.5
49,nd-Laplace,AgglomerativeClustering(clusters=2),2,0.6452434293748348,0.62111210687345,1780.7964600582113,0.4173549091688436,nd-Laplace,1.5
50,nd-Laplace,OPTICS(min_samples=4),2,0.04844326906666707,0.19470632922808148,12.361550281927704,-0.11002360753280047,nd-Laplace,1.5
51,nd-Laplace,KMeans(clusters=4),3,0.836081398203541,0.7696594656566046,1100.407018433116,0.32698869724916746,nd-Laplace,1.5
52,nd-Laplace,AgglomerativeClustering(clusters=4),3,0.46095669153451235,0.4590971112459597,754.4004949230132,0.232763472661056,nd-Laplace,1.5
53,nd-Laplace,OPTICS(min_samples=6),3,0.05640800020104705,0.1245908778458352,11.02615369604487,-0.4212908351936707,nd-Laplace,1.5
