,epsilon,distance,algorithm,dataset,dimension
0,0.5,3.843474483510764,nd-Laplace,line-dataset,2
1,1.0,1.9978790628884193,nd-Laplace,line-dataset,2
2,1.5,1.3753441873066463,nd-Laplace,line-dataset,2
3,2.0,0.994258918276214,nd-Laplace,line-dataset,2
4,2.5,0.816282106004918,nd-Laplace,line-dataset,2
5,3.0,0.6481644508299107,nd-Laplace,line-dataset,2
6,3.5,0.5694328656141113,nd-Laplace,line-dataset,2
7,5.0,0.3891215001981531,nd-Laplace,line-dataset,2
8,7.0,0.2885052491543761,nd-Laplace,line-dataset,2
9,9.0,0.2257525516658055,nd-Laplace,line-dataset,2
10,0.5,5.924055049515842,nd-Laplace,line-dataset,3
11,1.0,3.0570140487191955,nd-Laplace,line-dataset,3
12,1.5,1.9920970964026032,nd-Laplace,line-dataset,3
13,2.0,1.5099298065885873,nd-Laplace,line-dataset,3
14,2.5,1.1689541395169167,nd-Laplace,line-dataset,3
15,3.0,0.9914574252349676,nd-Laplace,line-dataset,3
16,3.5,0.8587835631430035,nd-Laplace,line-dataset,3
17,5.0,0.610449440707884,nd-Laplace,line-dataset,3
18,7.0,0.42645995724914465,nd-Laplace,line-dataset,3
19,9.0,0.32982881690498256,nd-Laplace,line-dataset,3
