,epsilon,shokri_mi_adv,precision,attack_adv,tpr,fpr,run,dimension
0,0.5,-0.024,0.3333333333333333,-0.024,[0.    0.024 1.   ],[0.    0.048 1.   ],0,2
1,0.5,-0.016000000000000014,0.48717948717948717,-0.016000000000000014,[0.    0.304 1.   ],[0.   0.32 1.  ],1,2
2,0.5,0.016000000000000014,0.5106382978723404,0.016000000000000014,[0.    0.384 1.   ],[0.    0.368 1.   ],2,2
3,0.5,0.04,0.7272727272727273,0.04,[0.    0.064 1.   ],[0.    0.024 1.   ],3,2
4,0.5,-0.007999999999999993,0.47058823529411764,-0.007999999999999993,[0.    0.064 1.   ],[0.    0.072 1.   ],4,2
5,0.5,-0.008,0.46153846153846156,-0.008,[0.    0.048 1.   ],[0.    0.056 1.   ],5,2
6,0.5,0.008000000000000007,0.5263157894736842,0.008000000000000007,[0.   0.08 1.  ],[0.    0.072 1.   ],6,2
7,0.5,0.008,0.6666666666666666,0.008,[0.    0.016 1.   ],[0.    0.008 1.   ],7,2
8,0.5,0.040000000000000036,0.5384615384615384,0.040000000000000036,[0.   0.28 1.  ],[0.   0.24 1.  ],8,2
9,0.5,0.064,0.5370370370370371,0.064,[0.    0.464 1.   ],[0.  0.4 1. ],9,2
10,1.0,0.016,0.5714285714285714,0.016,[0.    0.064 1.   ],[0.    0.048 1.   ],0,2
11,1.0,-0.008,0.4444444444444444,-0.008,[0.    0.032 1.   ],[0.   0.04 1.  ],1,2
12,1.0,-0.023999999999999994,0.47058823529411764,-0.023999999999999994,[0.    0.192 1.   ],[0.    0.216 1.   ],2,2
13,1.0,-0.008000000000000007,0.4838709677419355,-0.008000000000000007,[0.   0.12 1.  ],[0.    0.128 1.   ],3,2
14,1.0,-0.064,0.4666666666666667,-0.064,[0.    0.448 1.   ],[0.    0.512 1.   ],4,2
15,1.0,0.031999999999999994,0.6111111111111112,0.031999999999999994,[0.    0.088 1.   ],[0.    0.056 1.   ],5,2
16,1.0,0.008000000000000007,0.5263157894736842,0.008000000000000007,[0.   0.08 1.  ],[0.    0.072 1.   ],6,2
17,1.0,-0.008,0.42857142857142855,-0.008,[0.    0.024 1.   ],[0.    0.032 1.   ],7,2
18,1.0,-0.064,0.3333333333333333,-0.064,[0.    0.064 1.   ],[0.    0.128 1.   ],8,2
19,1.0,0.08800000000000002,0.544,0.08800000000000002,[0.    0.544 1.   ],[0.    0.456 1.   ],9,2
20,1.5,0.032,0.5555555555555556,0.032,[0.   0.16 1.  ],[0.    0.128 1.   ],0,2
21,1.5,-0.04000000000000001,0.4603174603174603,-0.04000000000000001,[0.    0.232 1.   ],[0.    0.272 1.   ],1,2
22,1.5,0.08000000000000002,0.5609756097560976,0.08000000000000002,[0.    0.368 1.   ],[0.    0.288 1.   ],2,2
23,1.5,-0.055999999999999994,0.4222222222222222,-0.055999999999999994,[0.    0.152 1.   ],[0.    0.208 1.   ],3,2
24,1.5,0.008000000000000007,0.5094339622641509,0.008000000000000007,[0.    0.216 1.   ],[0.    0.208 1.   ],4,2
