,epsilon,distance,algorithm,dataset,dimension
0,0.5,3.983565780362641,nd-Laplace,seeds-dataset,2
1,1.0,2.1089886414996797,nd-Laplace,seeds-dataset,2
2,1.5,1.3048523175660414,nd-Laplace,seeds-dataset,2
3,2.0,1.001338453450427,nd-Laplace,seeds-dataset,2
4,2.5,0.7632384755606978,nd-Laplace,seeds-dataset,2
5,3.0,0.6525202365188904,nd-Laplace,seeds-dataset,2
6,3.5,0.5967977590277492,nd-Laplace,seeds-dataset,2
7,5.0,0.40045610663306974,nd-Laplace,seeds-dataset,2
8,7.0,0.2706204443174961,nd-Laplace,seeds-dataset,2
9,9.0,0.23071778061877077,nd-Laplace,seeds-dataset,2
10,0.5,6.052379629621643,nd-Laplace,seeds-dataset,3
11,1.0,2.8994368238776653,nd-Laplace,seeds-dataset,3
12,1.5,1.9716457788982957,nd-Laplace,seeds-dataset,3
13,2.0,1.4447480431761388,nd-Laplace,seeds-dataset,3
14,2.5,1.2686266054127742,nd-Laplace,seeds-dataset,3
15,3.0,1.0419999318865727,nd-Laplace,seeds-dataset,3
16,3.5,0.8429005097577025,nd-Laplace,seeds-dataset,3
17,5.0,0.6137339814945173,nd-Laplace,seeds-dataset,3
18,7.0,0.4743547046600879,nd-Laplace,seeds-dataset,3
19,9.0,0.3379812288378813,nd-Laplace,seeds-dataset,3
20,0.5,8.505147249467866,nd-Laplace,seeds-dataset,4
21,1.0,3.8902666156443337,nd-Laplace,seeds-dataset,4
22,1.5,2.6667773580715717,nd-Laplace,seeds-dataset,4
23,2.0,2.017156770298194,nd-Laplace,seeds-dataset,4
24,2.5,1.6625048291361633,nd-Laplace,seeds-dataset,4
25,3.0,1.192395402089705,nd-Laplace,seeds-dataset,4
26,3.5,1.1375297921873069,nd-Laplace,seeds-dataset,4
27,5.0,0.7933235748602272,nd-Laplace,seeds-dataset,4
28,7.0,0.5640514844900872,nd-Laplace,seeds-dataset,4
29,9.0,0.45045133784746344,nd-Laplace,seeds-dataset,4
30,0.5,10.32645981846776,nd-Laplace,seeds-dataset,5
31,1.0,5.220974719623967,nd-Laplace,seeds-dataset,5
32,1.5,3.240777197368482,nd-Laplace,seeds-dataset,5
33,2.0,2.4742001178016473,nd-Laplace,seeds-dataset,5
34,2.5,1.9775104015733234,nd-Laplace,seeds-dataset,5
35,3.0,1.7737602182239915,nd-Laplace,seeds-dataset,5
36,3.5,1.44233138319078,nd-Laplace,seeds-dataset,5
37,5.0,0.9677296181994259,nd-Laplace,seeds-dataset,5
38,7.0,0.7435790146687465,nd-Laplace,seeds-dataset,5
39,9.0,0.5596851093846464,nd-Laplace,seeds-dataset,5
40,0.5,11.977284015364294,nd-Laplace,seeds-dataset,6
41,1.0,5.742220744742615,nd-Laplace,seeds-dataset,6
42,1.5,4.2550424169047805,nd-Laplace,seeds-dataset,6
43,2.0,3.0757565455631197,nd-Laplace,seeds-dataset,6
44,2.5,2.361212266635312,nd-Laplace,seeds-dataset,6
45,3.0,1.960676834559628,nd-Laplace,seeds-dataset,6
46,3.5,1.6630182330711931,nd-Laplace,seeds-dataset,6
47,5.0,1.1899406586234524,nd-Laplace,seeds-dataset,6
48,7.0,0.8683472670639124,nd-Laplace,seeds-dataset,6
49,9.0,0.6719879762572256,nd-Laplace,seeds-dataset,6
50,0.5,13.729692148808306,nd-Laplace,seeds-dataset,7
51,1.0,6.786822495234877,nd-Laplace,seeds-dataset,7
52,1.5,4.677346130855382,nd-Laplace,seeds-dataset,7
53,2.0,3.424145386313451,nd-Laplace,seeds-dataset,7
54,2.5,2.8275436698504137,nd-Laplace,seeds-dataset,7
55,3.0,2.296193004610516,nd-Laplace,seeds-dataset,7
56,3.5,2.0283604217345133,nd-Laplace,seeds-dataset,7
57,5.0,1.457950099134317,nd-Laplace,seeds-dataset,7
58,7.0,1.0165246013332312,nd-Laplace,seeds-dataset,7
59,9.0,0.7841530123208291,nd-Laplace,seeds-dataset,7
