,epsilon,distance,algorithm,dataset,dimension
0,0.5,3.9766883494747916,nd-Laplace,skewed-dataset,2
1,1.0,2.117055931961775,nd-Laplace,skewed-dataset,2
2,1.5,1.3193091605539458,nd-Laplace,skewed-dataset,2
3,2.0,1.038205173353707,nd-Laplace,skewed-dataset,2
4,2.5,0.7471804430886364,nd-Laplace,skewed-dataset,2
5,3.0,0.6590386862533109,nd-Laplace,skewed-dataset,2
6,3.5,0.5710599738260341,nd-Laplace,skewed-dataset,2
7,5.0,0.41231552744156164,nd-Laplace,skewed-dataset,2
8,7.0,0.2721422036829648,nd-Laplace,skewed-dataset,2
9,9.0,0.22210819493492476,nd-Laplace,skewed-dataset,2
10,0.5,6.174693872283491,nd-Laplace,skewed-dataset,3
11,1.0,2.9931854306097483,nd-Laplace,skewed-dataset,3
12,1.5,2.0423455972757196,nd-Laplace,skewed-dataset,3
13,2.0,1.449968543819874,nd-Laplace,skewed-dataset,3
14,2.5,1.1669057768846334,nd-Laplace,skewed-dataset,3
15,3.0,0.9895189563770014,nd-Laplace,skewed-dataset,3
16,3.5,0.857345488119172,nd-Laplace,skewed-dataset,3
17,5.0,0.6161320735308932,nd-Laplace,skewed-dataset,3
18,7.0,0.4338500565042164,nd-Laplace,skewed-dataset,3
19,9.0,0.33481235487627115,nd-Laplace,skewed-dataset,3
