,algorithm,clustering_algorithm,dimensions,ari,ami,ch,sc,mechanism,epsilon
0,nd-Laplace,KMeans(clusters=5),2,0.022892454479972305,0.03278981347342959,431.72507813017637,0.30741868639615777,nd-Laplace,0.5
1,nd-Laplace,AgglomerativeClustering(clusters=6),2,0.011830641216783597,0.02438386321530401,355.0195314873978,0.25973611770659233,nd-Laplace,0.5
2,nd-Laplace,OPTICS(min_samples=4),2,0.009233855923553119,0.005226955213633142,5.187021623044545,-0.16218990673172679,nd-Laplace,0.5
3,nd-Laplace,KMeans(clusters=4),3,0.030200951369554557,0.0374345146862083,257.95002698905057,0.21213438162262682,nd-Laplace,0.5
4,nd-Laplace,AgglomerativeClustering(clusters=9),3,0.008713786471194931,0.02265271219603087,196.9220446817833,0.19618767798347675,nd-Laplace,0.5
5,nd-Laplace,OPTICS(min_samples=6),3,0.008723010295286538,0.004558183091182956,3.8010835100158524,-0.44160300303877553,nd-Laplace,0.5
6,nd-Laplace,KMeans(clusters=5),2,0.07652638724058893,0.0965139308031215,471.28250749611817,0.3165389874614508,nd-Laplace,1.0
7,nd-Laplace,AgglomerativeClustering(clusters=6),2,0.0535906330636108,0.07483220907334574,392.5219903440583,0.2760359885644591,nd-Laplace,1.0
8,nd-Laplace,OPTICS(min_samples=4),2,-0.021187960871948183,-0.014942052365502256,4.824909557462773,-0.13810898816253497,nd-Laplace,1.0
9,nd-Laplace,KMeans(clusters=4),3,0.11083652736902735,0.1238316511078259,272.9877833811864,0.21655878778219195,nd-Laplace,1.0
10,nd-Laplace,AgglomerativeClustering(clusters=9),3,0.07995006645340731,0.12707773447583295,195.32119162938466,0.15888337072910738,nd-Laplace,1.0
11,nd-Laplace,OPTICS(min_samples=6),3,-0.032318716268136594,-0.0054271997674566405,3.173359017480095,-0.44203106228983413,nd-Laplace,1.0
12,nd-Laplace,KMeans(clusters=5),2,0.16050125257698258,0.20897179577975034,595.650639449357,0.3329486694861371,nd-Laplace,1.5
13,nd-Laplace,AgglomerativeClustering(clusters=6),2,0.14852420650048775,0.17806298123787784,448.0104551629612,0.2890544064899947,nd-Laplace,1.5
14,nd-Laplace,OPTICS(min_samples=4),2,0.03452460595599689,0.01950555471087276,7.879393548899391,-0.11931579344063817,nd-Laplace,1.5
15,nd-Laplace,KMeans(clusters=4),3,0.22193681905620838,0.23008958385518005,322.39471874012906,0.24189693350955377,nd-Laplace,1.5
16,nd-Laplace,AgglomerativeClustering(clusters=9),3,0.12902864709913844,0.1997608090727084,206.93907248012573,0.1537351688944641,nd-Laplace,1.5
17,nd-Laplace,OPTICS(min_samples=6),3,0.0064410960228895395,0.009685493617696894,3.947896670265961,-0.43293853131610094,nd-Laplace,1.5
18,nd-Laplace,KMeans(clusters=5),2,0.21114571853042596,0.2531810551993676,572.0334896102214,0.32356616657050385,nd-Laplace,2.0
19,nd-Laplace,AgglomerativeClustering(clusters=6),2,0.1349329038489762,0.1965734909379531,486.0665122143857,0.2854817818213668,nd-Laplace,2.0
20,nd-Laplace,OPTICS(min_samples=4),2,-0.0020260440248887337,0.002391843989831151,8.448647503613135,-0.11880663289432954,nd-Laplace,2.0
21,nd-Laplace,KMeans(clusters=4),3,0.3379121713466975,0.31240850974357504,349.8345020681833,0.26069813621933513,nd-Laplace,2.0
22,nd-Laplace,AgglomerativeClustering(clusters=9),3,0.18665889948667178,0.2435127790811879,226.6813850862307,0.16666142558655225,nd-Laplace,2.0
23,nd-Laplace,OPTICS(min_samples=6),3,0.039334743019577185,0.02551026639738251,4.346735284030559,-0.4368886202221505,nd-Laplace,2.0
24,nd-Laplace,KMeans(clusters=5),2,0.28344943984527926,0.3443384754399594,595.606952159325,0.3296190639461728,nd-Laplace,2.5
25,nd-Laplace,AgglomerativeClustering(clusters=6),2,0.16659719520464897,0.28433228756019097,468.29545523804455,0.27430151552283505,nd-Laplace,2.5
26,nd-Laplace,OPTICS(min_samples=4),2,0.03483653874977455,0.030425061847542696,7.03743304713494,-0.08025136893596008,nd-Laplace,2.5
27,nd-Laplace,KMeans(clusters=4),3,0.41473035136331393,0.38810813643080466,391.2231625941838,0.29006303151706997,nd-Laplace,2.5
28,nd-Laplace,AgglomerativeClustering(clusters=9),3,0.21499373694823493,0.3141825843614288,251.4859473541531,0.18196365642581308,nd-Laplace,2.5
29,nd-Laplace,OPTICS(min_samples=6),3,-0.01973774659594437,-0.00035998177448418815,4.833175028779214,-0.45469382781725576,nd-Laplace,2.5
30,nd-Laplace,KMeans(clusters=5),2,0.3702993594407917,0.3774792198911096,607.5465047992171,0.34057958553040774,nd-Laplace,3.0
31,nd-Laplace,AgglomerativeClustering(clusters=6),2,0.18548053765942463,0.30890237142157256,494.72323748208294,0.266244541866438,nd-Laplace,3.0
32,nd-Laplace,OPTICS(min_samples=4),2,-0.010725079196962809,0.004224008971608462,7.59439417462649,-0.17654083412076246,nd-Laplace,3.0
33,nd-Laplace,KMeans(clusters=4),3,0.49928677712357983,0.4521791133847963,389.5474134227748,0.290471749148853,nd-Laplace,3.0
34,nd-Laplace,AgglomerativeClustering(clusters=9),3,0.24036063558853832,0.3509346627617443,257.53643294965275,0.17273842010045487,nd-Laplace,3.0
35,nd-Laplace,OPTICS(min_samples=6),3,0.02696534495365463,0.02539706344582488,5.221225516436297,-0.46372326646164985,nd-Laplace,3.0
36,nd-Laplace,KMeans(clusters=5),2,0.4681056259463648,0.46898939689920194,649.9263541755715,0.34576070223082234,nd-Laplace,3.5
37,nd-Laplace,AgglomerativeClustering(clusters=6),2,0.34167330423058767,0.38344576963887134,582.5821800617633,0.297065101567283,nd-Laplace,3.5
38,nd-Laplace,OPTICS(min_samples=4),2,0.01094028969864763,0.020710840124410157,7.764556251761078,-0.1276853776877253,nd-Laplace,3.5
39,nd-Laplace,KMeans(clusters=4),3,0.5730353155005933,0.5262418658855419,411.5585333352066,0.2991177974761135,nd-Laplace,3.5
40,nd-Laplace,AgglomerativeClustering(clusters=9),3,0.3094091338677783,0.41787432246100237,269.05839609293474,0.18950118659522402,nd-Laplace,3.5
41,nd-Laplace,OPTICS(min_samples=6),3,0.04377327544451783,0.052211759353454304,5.837946817428954,-0.4193900940913783,nd-Laplace,3.5
42,nd-Laplace,KMeans(clusters=5),2,0.5691700638950029,0.554118109501636,675.1174479696914,0.36493164363568736,nd-Laplace,5.0
43,nd-Laplace,AgglomerativeClustering(clusters=6),2,0.2966724882079107,0.4541073417350517,592.6876600767401,0.3112534641338415,nd-Laplace,5.0
44,nd-Laplace,OPTICS(min_samples=4),2,0.026016531884201187,0.04240173614560439,6.926438225401933,-0.13927019090359716,nd-Laplace,5.0
45,nd-Laplace,KMeans(clusters=4),3,0.6435727018729855,0.5906525296878699,433.9432710913484,0.3177741538638687,nd-Laplace,5.0
46,nd-Laplace,AgglomerativeClustering(clusters=9),3,0.403083568513523,0.490311412845989,304.0292240180961,0.22588943248573617,nd-Laplace,5.0
47,nd-Laplace,OPTICS(min_samples=6),3,0.03780319099742292,0.0240230288380662,5.149804465646829,-0.48129069879847214,nd-Laplace,5.0
48,nd-Laplace,KMeans(clusters=5),2,0.7445165791504706,0.6996292734835052,770.6137495488495,0.3945645067069515,nd-Laplace,7.0
49,nd-Laplace,AgglomerativeClustering(clusters=6),2,0.46160068056638603,0.5330404337055972,613.3322006250094,0.30349131559847836,nd-Laplace,7.0
50,nd-Laplace,OPTICS(min_samples=4),2,0.03900670474565647,0.07711868232643379,9.066702848547433,-0.030489235782218384,nd-Laplace,7.0
51,nd-Laplace,KMeans(clusters=4),3,0.7426948972949527,0.6950383775157812,462.58938618705514,0.3401281797942342,nd-Laplace,7.0
52,nd-Laplace,AgglomerativeClustering(clusters=9),3,0.47025254868340316,0.5447590514800266,302.7402034960211,0.22023152558199938,nd-Laplace,7.0
53,nd-Laplace,OPTICS(min_samples=6),3,0.01953557530672359,0.032391385838308966,6.9248819565036515,-0.4440883432785375,nd-Laplace,7.0
54,nd-Laplace,KMeans(clusters=5),2,0.7727049342971049,0.7312264721065942,805.9773386622932,0.419898368999014,nd-Laplace,9.0
55,nd-Laplace,AgglomerativeClustering(clusters=6),2,0.6400505440767048,0.6638914567036194,703.3008241612366,0.37353912108204457,nd-Laplace,9.0
56,nd-Laplace,OPTICS(min_samples=4),2,-0.009224135069581408,0.05298145762791858,8.540235624634102,-0.12486094458138611,nd-Laplace,9.0
57,nd-Laplace,KMeans(clusters=4),3,0.77715845400166,0.7218254623680078,473.16467013004103,0.33908280784527095,nd-Laplace,9.0
58,nd-Laplace,AgglomerativeClustering(clusters=9),3,0.6569458845413754,0.6514702069553533,314.97403678903305,0.2796251302602552,nd-Laplace,9.0
59,nd-Laplace,OPTICS(min_samples=6),3,0.10834310324160204,0.1139591832834688,5.26277026537708,-0.4409208443068165,nd-Laplace,9.0
