,epsilon,distance,algorithm,dataset,dimension
0,0.5,5.146298518760071,piecewise,circle-dataset,2
1,1.0,2.280258244571123,piecewise,circle-dataset,2
2,1.5,1.3737912947552464,piecewise,circle-dataset,2
3,2.0,0.9119658000521524,piecewise,circle-dataset,2
4,2.5,0.6443323126010208,piecewise,circle-dataset,2
5,3.0,0.489564524110099,piecewise,circle-dataset,2
6,3.5,0.3520612129447343,piecewise,circle-dataset,2
7,5.0,0.1582506609623484,piecewise,circle-dataset,2
8,7.0,0.05356787650540969,piecewise,circle-dataset,2
9,9.0,0.021582733249835458,piecewise,circle-dataset,2
10,0.5,6.59936949922965,piecewise,circle-dataset,3
11,1.0,2.9098715253582506,piecewise,circle-dataset,3
12,1.5,1.7798574282390458,piecewise,circle-dataset,3
13,2.0,1.1817442294873888,piecewise,circle-dataset,3
14,2.5,0.8594661302116194,piecewise,circle-dataset,3
15,3.0,0.6543568769042734,piecewise,circle-dataset,3
16,3.5,0.497725879409803,piecewise,circle-dataset,3
17,5.0,0.20978023054558667,piecewise,circle-dataset,3
18,7.0,0.07819114659668921,piecewise,circle-dataset,3
19,9.0,0.027146033020068714,piecewise,circle-dataset,3
