,epsilon,distance,algorithm,dataset,dimension
0,0.5,238.2363552164429,piecewise,heart-dataset,2
1,1.0,107.45860055467034,piecewise,heart-dataset,2
2,1.5,65.89466822089591,piecewise,heart-dataset,2
3,2.0,44.50486942071312,piecewise,heart-dataset,2
4,2.5,32.28753791304334,piecewise,heart-dataset,2
5,3.0,22.69470571069635,piecewise,heart-dataset,2
6,3.5,16.95256276914045,piecewise,heart-dataset,2
7,5.0,7.493838612091592,piecewise,heart-dataset,2
8,7.0,2.8685368172300145,piecewise,heart-dataset,2
9,9.0,1.0509033130959906,piecewise,heart-dataset,2
10,0.5,242.77458097099014,piecewise,heart-dataset,3
11,1.0,112.50697715519625,piecewise,heart-dataset,3
12,1.5,67.82394375812099,piecewise,heart-dataset,3
13,2.0,46.89821856341136,piecewise,heart-dataset,3
14,2.5,33.25487468780196,piecewise,heart-dataset,3
15,3.0,25.155066897192622,piecewise,heart-dataset,3
16,3.5,19.392635333527057,piecewise,heart-dataset,3
17,5.0,8.876272659639973,piecewise,heart-dataset,3
18,7.0,2.951719944776669,piecewise,heart-dataset,3
19,9.0,1.266575869651757,piecewise,heart-dataset,3
20,0.5,1174.3985311458805,piecewise,heart-dataset,4
21,1.0,570.5451126448492,piecewise,heart-dataset,4
22,1.5,365.23568782924593,piecewise,heart-dataset,4
23,2.0,254.99087544275977,piecewise,heart-dataset,4
24,2.5,183.79606332062895,piecewise,heart-dataset,4
25,3.0,133.295820022236,piecewise,heart-dataset,4
26,3.5,108.87460758988314,piecewise,heart-dataset,4
27,5.0,51.09566027024886,piecewise,heart-dataset,4
28,7.0,19.68561522140438,piecewise,heart-dataset,4
29,9.0,7.325519890652752,piecewise,heart-dataset,4
30,0.5,1168.6407072587822,piecewise,heart-dataset,5
31,1.0,568.4038287272544,piecewise,heart-dataset,5
32,1.5,357.89727833197935,piecewise,heart-dataset,5
33,2.0,258.1650621476491,piecewise,heart-dataset,5
34,2.5,187.70298003702172,piecewise,heart-dataset,5
35,3.0,138.3044740010015,piecewise,heart-dataset,5
36,3.5,101.81153438442972,piecewise,heart-dataset,5
37,5.0,49.231721242681616,piecewise,heart-dataset,5
38,7.0,16.79077174279215,piecewise,heart-dataset,5
39,9.0,6.809689107766409,piecewise,heart-dataset,5
40,0.5,1185.3217040881239,piecewise,heart-dataset,6
41,1.0,567.9942867860784,piecewise,heart-dataset,6
42,1.5,359.08843606769574,piecewise,heart-dataset,6
43,2.0,243.06024993604453,piecewise,heart-dataset,6
44,2.5,180.6058911370133,piecewise,heart-dataset,6
45,3.0,143.73336729464177,piecewise,heart-dataset,6
46,3.5,103.09189044281626,piecewise,heart-dataset,6
47,5.0,51.4649594615558,piecewise,heart-dataset,6
48,7.0,20.211440795343346,piecewise,heart-dataset,6
49,9.0,6.626127613363106,piecewise,heart-dataset,6
50,0.5,1237.103514003037,piecewise,heart-dataset,7
51,1.0,599.5857783668632,piecewise,heart-dataset,7
52,1.5,377.0759487190656,piecewise,heart-dataset,7
53,2.0,268.3000964534451,piecewise,heart-dataset,7
54,2.5,199.6621761746533,piecewise,heart-dataset,7
55,3.0,145.04392480720654,piecewise,heart-dataset,7
56,3.5,112.20856737130458,piecewise,heart-dataset,7
57,5.0,51.79208728636261,piecewise,heart-dataset,7
58,7.0,20.85501179712161,piecewise,heart-dataset,7
59,9.0,7.256537477015251,piecewise,heart-dataset,7
60,0.5,1277.758694385544,piecewise,heart-dataset,8
61,1.0,592.6714022853705,piecewise,heart-dataset,8
62,1.5,388.0519990723756,piecewise,heart-dataset,8
63,2.0,269.0848434083154,piecewise,heart-dataset,8
64,2.5,199.73118888699076,piecewise,heart-dataset,8
65,3.0,151.68030994444462,piecewise,heart-dataset,8
66,3.5,118.56676818847723,piecewise,heart-dataset,8
67,5.0,55.514103137776445,piecewise,heart-dataset,8
68,7.0,21.676943811722,piecewise,heart-dataset,8
69,9.0,8.887357097470773,piecewise,heart-dataset,8
70,0.5,1273.4293255901098,piecewise,heart-dataset,9
71,1.0,614.3128381746094,piecewise,heart-dataset,9
72,1.5,390.63529829415404,piecewise,heart-dataset,9
73,2.0,271.1929954196753,piecewise,heart-dataset,9
74,2.5,205.5598963747308,piecewise,heart-dataset,9
75,3.0,149.34908814279538,piecewise,heart-dataset,9
76,3.5,116.97814901931463,piecewise,heart-dataset,9
77,5.0,55.323080450601836,piecewise,heart-dataset,9
78,7.0,20.739369282000453,piecewise,heart-dataset,9
79,9.0,7.893853834234893,piecewise,heart-dataset,9
