,epsilon,distance,algorithm,dataset,dimension
0,0.5,3.146898840705358,piecewise,line-dataset,2
1,1.0,1.4702653527853526,piecewise,line-dataset,2
2,1.5,0.8781681206141432,piecewise,line-dataset,2
3,2.0,0.5897404686977666,piecewise,line-dataset,2
4,2.5,0.41859674285516557,piecewise,line-dataset,2
5,3.0,0.31972041391959277,piecewise,line-dataset,2
6,3.5,0.22629773780203966,piecewise,line-dataset,2
7,5.0,0.10610792435317583,piecewise,line-dataset,2
8,7.0,0.03872630464862485,piecewise,line-dataset,2
9,9.0,0.014485885603251637,piecewise,line-dataset,2
10,0.5,4.081356745558855,piecewise,line-dataset,3
11,1.0,1.8585855672582912,piecewise,line-dataset,3
12,1.5,1.1348377876994584,piecewise,line-dataset,3
13,2.0,0.7813640561078825,piecewise,line-dataset,3
14,2.5,0.5693842286820135,piecewise,line-dataset,3
15,3.0,0.42257610091422637,piecewise,line-dataset,3
16,3.5,0.3181490075970023,piecewise,line-dataset,3
17,5.0,0.14492645989568684,piecewise,line-dataset,3
18,7.0,0.050691245514813826,piecewise,line-dataset,3
19,9.0,0.017663714227412027,piecewise,line-dataset,3
