,epsilon,shokri_mi_adv,precision,attack_adv,tpr,fpr,run,dimension
0,0.5,0.023999999999999994,0.5454545454545454,0.023999999999999994,[0.    0.144 1.   ],[0.   0.12 1.  ],0,2
1,0.5,-0.016,0.45454545454545453,-0.016,[0.   0.08 1.  ],[0.    0.096 1.   ],1,2
2,0.5,0.024000000000000007,0.5517241379310345,0.024000000000000007,[0.    0.128 1.   ],[0.    0.104 1.   ],2,2
3,0.5,0.07999999999999996,0.5641025641025641,0.07999999999999996,[0.    0.352 1.   ],[0.    0.272 1.   ],3,2
4,0.5,0.03199999999999997,0.5204081632653061,0.03199999999999997,[0.    0.408 1.   ],[0.    0.376 1.   ],4,2
5,0.5,0.008,0.5454545454545454,0.008,[0.    0.048 1.   ],[0.   0.04 1.  ],5,2
6,0.5,0.04799999999999999,0.5357142857142857,0.04799999999999999,[0.   0.36 1.  ],[0.    0.312 1.   ],6,2
7,0.5,-0.039999999999999994,0.42424242424242425,-0.039999999999999994,[0.    0.112 1.   ],[0.    0.152 1.   ],7,2
8,0.5,0.0,0.0,-1.0,[0. 1.],[0. 1.],8,2
9,0.5,-0.016,0.4166666666666667,-0.016,[0.   0.04 1.  ],[0.    0.056 1.   ],9,2
10,1.0,-0.008000000000000007,0.4962962962962963,-0.008000000000000007,[0.    0.536 1.   ],[0.    0.544 1.   ],0,2
11,1.0,0.0,0.5,0.0,[0.    0.056 1.   ],[0.    0.056 1.   ],1,2
12,1.0,0.024,0.5882352941176471,0.024,[0.   0.08 1.  ],[0.    0.056 1.   ],2,2
13,1.0,0.0,0.5,0.0,[0.    0.376 1.   ],[0.    0.376 1.   ],3,2
14,1.0,-0.024,0.4117647058823529,-0.024,[0.    0.056 1.   ],[0.   0.08 1.  ],4,2
15,1.0,-0.039999999999999994,0.4,-0.039999999999999994,[0.   0.08 1.  ],[0.   0.12 1.  ],5,2
16,1.0,-0.00799999999999998,0.49019607843137253,-0.00799999999999998,[0.  0.2 1. ],[0.    0.208 1.   ],6,2
17,1.0,-0.008000000000000007,0.4943820224719101,-0.008000000000000007,[0.    0.352 1.   ],[0.   0.36 1.  ],7,2
18,1.0,0.03999999999999998,0.5333333333333333,0.03999999999999998,[0.   0.32 1.  ],[0.   0.28 1.  ],8,2
19,1.0,0.039999999999999994,0.6190476190476191,0.039999999999999994,[0.    0.104 1.   ],[0.    0.064 1.   ],9,2
20,1.5,-0.096,0.3695652173913043,-0.096,[0.    0.136 1.   ],[0.    0.232 1.   ],0,2
21,1.5,0.008000000000000007,0.5046728971962616,0.008000000000000007,[0.    0.432 1.   ],[0.    0.424 1.   ],1,2
22,1.5,0.10400000000000004,0.5747126436781609,0.10400000000000004,[0.  0.4 1. ],[0.    0.296 1.   ],2,2
23,1.5,-0.016000000000000014,0.49038461538461536,-0.016000000000000014,[0.    0.408 1.   ],[0.    0.424 1.   ],3,2
24,1.5,0.04800000000000004,0.5238095238095238,0.04800000000000004,[0.    0.528 1.   ],[0.   0.48 1.  ],4,2
25,1.5,-0.048000000000000015,0.453125,-0.048000000000000015,[0.    0.232 1.   ],[0.   0.28 1.  ],5,2
26,1.5,0.0,0.5,0.0,[0.    0.072 1.   ],[0.    0.072 1.   ],6,2
27,1.5,-0.064,0.45652173913043476,-0.064,[0.    0.336 1.   ],[0.  0.4 1. ],7,2
28,1.5,0.02400000000000002,0.5142857142857142,0.02400000000000002,[0.    0.432 1.   ],[0.    0.408 1.   ],8,2
29,1.5,0.0,0.5,0.0,[0.    0.264 1.   ],[0.    0.264 1.   ],9,2
30,2.0,-0.02400000000000002,0.4835164835164835,-0.02400000000000002,[0.    0.352 1.   ],[0.    0.376 1.   ],0,2
31,2.0,-0.064,0.45555555555555555,-0.064,[0.    0.328 1.   ],[0.    0.392 1.   ],1,2
32,2.0,0.023999999999999966,0.5145631067961165,0.023999999999999966,[0.    0.424 1.   ],[0.  0.4 1. ],2,2
33,2.0,0.055999999999999994,0.5299145299145299,0.055999999999999994,[0.    0.496 1.   ],[0.   0.44 1.  ],3,2
34,2.0,0.08000000000000002,0.5675675675675675,0.08000000000000002,[0.    0.336 1.   ],[0.    0.256 1.   ],4,2
35,2.0,-0.04800000000000004,0.4765625,-0.04800000000000004,[0.    0.488 1.   ],[0.    0.536 1.   ],5,2
36,2.0,-0.008000000000000007,0.4927536231884058,-0.008000000000000007,[0.    0.272 1.   ],[0.   0.28 1.  ],6,2
37,2.0,0.08799999999999997,0.5374149659863946,0.08799999999999997,[0.    0.632 1.   ],[0.    0.544 1.   ],7,2
38,2.0,0.016000000000000014,0.5263157894736842,0.016000000000000014,[0.   0.16 1.  ],[0.    0.144 1.   ],8,2
39,2.0,-0.04800000000000004,0.46153846153846156,-0.04800000000000004,[0.    0.288 1.   ],[0.    0.336 1.   ],9,2
40,2.5,-0.03200000000000003,0.48412698412698413,-0.03200000000000003,[0.    0.488 1.   ],[0.   0.52 1.  ],0,2
41,2.5,-0.016000000000000014,0.49375,-0.016000000000000014,[0.    0.632 1.   ],[0.    0.648 1.   ],1,2
42,2.5,0.128,0.5952380952380952,0.128,[0.  0.4 1. ],[0.    0.272 1.   ],2,2
43,2.5,0.016000000000000014,0.5074626865671642,0.016000000000000014,[0.    0.544 1.   ],[0.    0.528 1.   ],3,2
44,2.5,0.03200000000000003,0.5123456790123457,0.03200000000000003,[0.    0.664 1.   ],[0.    0.632 1.   ],4,2
