type,epsilon,ari,ami,ch,sc
"KMeans(clusters=4, init=random)",0.1,0.27431826038607565,0.30141896589563805,1944.4915215200986,0.39053062116818105
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.1,0.03316603464090457,0.11544343820850753,320.1006014008911,0.1888214989389877
"OPTICS(min_samples=4, distance_metric=euclidean)",0.1,-0.009788450080788613,-0.0031045479428323634,12.18722422801255,-0.13058157416075103
"KMeans(clusters=4, init=random)",0.5,0.6622293495299684,0.6477871635856769,2142.433006906729,0.40111088374942305
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.5,0.17465797350428686,0.39229800463106973,399.0718986884266,0.19888426022585884
"OPTICS(min_samples=4, distance_metric=euclidean)",0.5,0.005789045770073032,0.05636069319047269,12.854890321759527,-0.06850609509002883
"KMeans(clusters=4, init=random)",0.7,0.795859079574634,0.7602198430916218,2214.838943689296,0.4157419735617677
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.7,0.2511820153267549,0.46833514080449107,330.2061126534195,0.1880251378059154
"OPTICS(min_samples=4, distance_metric=euclidean)",0.7,0.004374599585403716,0.07952685354201376,11.284006439647314,-0.11881496940960792
"KMeans(clusters=4, init=random)",1.0,0.7493347718009555,0.7414826900664201,2182.8230118929005,0.4152257109324194
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",1.0,0.27649453157641807,0.5135257434341807,424.51817163931366,0.22410486470123625
"OPTICS(min_samples=4, distance_metric=euclidean)",1.0,0.019903189205699313,0.13495958260369267,12.682511068948546,-0.10854831903467191
"KMeans(clusters=4, init=random)",1.5,0.8393441966902444,0.818346083553885,2190.4573887407305,0.4119131537581283
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",1.5,0.36858253459045237,0.5910933028150366,632.5005225560058,0.2472265416245277
"OPTICS(min_samples=4, distance_metric=euclidean)",1.5,0.03183404902936639,0.17525127359045184,12.936618798377802,-0.14292803613167532
"KMeans(clusters=4, init=random)",2.0,0.9140295417707506,0.8849756511230049,2219.6549841526976,0.41327552263983625
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",2.0,0.36683838717254996,0.5967947481282466,471.55117191735405,0.22873522743453562
"OPTICS(min_samples=4, distance_metric=euclidean)",2.0,0.08961376169390778,0.2734734671301981,13.031300949034506,-0.062288446529416217
"KMeans(clusters=4, init=random)",2.5,0.9231239774026555,0.8971188094850389,2199.294308216152,0.40965487168124826
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",2.5,0.36405874045184794,0.6017591837122458,604.4845447297082,0.2502774963943194
"OPTICS(min_samples=4, distance_metric=euclidean)",2.5,0.1263556797372696,0.34457661034556536,16.54391277130025,-0.02054633552882304
"KMeans(clusters=4, init=random)",3.0,0.9004028971607608,0.885695158572043,2189.0095686791565,0.41091264821926304
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",3.0,0.4194633020653805,0.6459051799530636,379.60488438265,0.2412893391041183
"OPTICS(min_samples=4, distance_metric=euclidean)",3.0,0.1072340100089533,0.363477869573718,17.602589496886626,-0.016986669604956827
"KMeans(clusters=4, init=random)",3.5,0.8673568857230667,0.8546542165050812,2191.5636554005746,0.4132533324831994
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",3.5,0.3739792740041849,0.6005143835326708,559.3533719098884,0.25360894184625715
"OPTICS(min_samples=4, distance_metric=euclidean)",3.5,0.1939537397908952,0.44678095519748406,16.398030610144055,0.024152786588129978
"KMeans(clusters=4, init=random)",5.0,0.8202046282355958,0.8140370452939221,2194.541843882,0.4148486844776433
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",5.0,0.4646257706115339,0.6710088837917809,645.4460720181972,0.2671547198179533
"OPTICS(min_samples=4, distance_metric=euclidean)",5.0,0.19397307382372309,0.4808812729448822,16.47729971145089,0.016732246567832777
"KMeans(clusters=4, init=random)",7.0,0.9701922307554561,0.9621349414116557,2193.786260993537,0.4096464297614298
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",7.0,0.42133530903843663,0.6466484016597575,359.40746263104984,0.23654282573085075
"OPTICS(min_samples=4, distance_metric=euclidean)",7.0,0.3341255775832577,0.6169871300222516,17.694661616355322,0.1282371288529819
"KMeans(clusters=4, init=random)",9.0,0.924512444989368,0.9140943700613068,2196.4991157002332,0.4111054336766721
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",9.0,0.4071213113312312,0.6401582114080854,532.8227580187571,0.25940994681502055
"OPTICS(min_samples=4, distance_metric=euclidean)",9.0,0.3651559011550777,0.6533698874456573,19.10840831796164,0.15726206879067703
