epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run
0.1,0.1867215207830898,0.5812449075331473,[0.         0.66792453 1.        ],[0.         0.48120301 1.        ],0
0.1,0.1828770038303305,0.5825488915357129,[0.         0.64528302 1.        ],[0.         0.46240602 1.        ],1
0.1,0.314682933749468,0.6434762360611628,[0.         0.70566038 1.        ],[0.         0.39097744 1.        ],2
0.1,0.22818839551709458,0.5976802089026538,[0.         0.69811321 1.        ],[0.         0.46992481 1.        ],3
0.1,0.12230103560788763,0.5649259688813243,[0.         0.53207547 1.        ],[0.         0.40977444 1.        ],4
0.1,0.19058022414526876,0.5795344211049802,[0.         0.69433962 1.        ],[0.        0.5037594 1.       ],5
0.1,0.32956447723081284,0.6649905541114473,[0.         0.66415094 1.        ],[0.         0.33458647 1.        ],6
0.1,0.27340048233792025,0.6162757022878655,[0.        0.7245283 1.       ],[0.         0.45112782 1.        ],7
0.1,0.3709887927365583,0.6864173593190858,[0.         0.68301887 1.        ],[0.         0.31203008 1.        ],8
0.1,0.31059724783657255,0.6675031367628608,[0.         0.61886792 1.        ],[0.         0.30827068 1.        ],9
0.1,0.23186267555681656,0.6035951523756401,[0.        0.6754717 1.       ],[0.         0.44360902 1.        ],10
0.1,0.22041424315505742,0.6059721445428131,[0.         0.63018868 1.        ],[0.         0.40977444 1.        ],11
0.1,0.2993190523478507,0.6594808689473763,[0.         0.61886792 1.        ],[0.         0.31954887 1.        ],12
0.1,0.16024968080578805,0.573335410823725,[0.         0.62641509 1.        ],[0.         0.46616541 1.        ],13
0.1,0.10734856007944388,0.5535625805172927,[0.         0.55471698 1.        ],[0.         0.44736842 1.        ],14
0.1,0.2880124840402894,0.6540785039919856,[0.         0.61132075 1.        ],[0.         0.32330827 1.        ],15
0.1,0.24288551567598238,0.6249142723730866,[0.         0.60754717 1.        ],[0.         0.36466165 1.        ],16
0.1,0.38225280181586035,0.6957785366562523,[0.         0.67924528 1.        ],[0.         0.29699248 1.        ],17
0.1,0.3410838416796708,0.6528811058970153,[0.         0.72830189 1.        ],[0.         0.38721805 1.        ],18
0.1,0.25084409136047664,0.6046742913973148,[0.        0.7245283 1.       ],[0.         0.47368421 1.        ],19
0.1,0.23919704922684065,0.6179899511553373,[0.         0.62641509 1.        ],[0.         0.38721805 1.        ],20
0.1,0.16781103702652855,0.575750201718772,[0.         0.63773585 1.        ],[0.         0.46992481 1.        ],21
0.1,0.22404596396652005,0.6156775998710867,[0.         0.59622642 1.        ],[0.         0.37218045 1.        ],22
