epsilon,shokri_mi_adv,run
0.1,0.8076923076923077,0
0.1,0.7307692307692307,1
0.1,0.6538461538461539,2
0.1,0.5,3
0.1,0.8076923076923077,4
0.1,0.5769230769230769,5
0.1,0.46153846153846156,6
0.1,0.2692307692307692,7
0.1,0.5,8
0.1,0.5384615384615384,9
0.5,0.2692307692307693,0
0.5,0.3076923076923077,1
0.5,0.49999999999999994,2
0.5,0.5769230769230769,3
0.5,0.4615384615384615,4
0.5,0.6153846153846154,5
0.5,0.6153846153846154,6
0.5,0.7307692307692308,7
0.5,0.4230769230769231,8
0.5,0.8076923076923077,9
1.0,0.4615384615384615,0
1.0,0.4230769230769231,1
1.0,0.46153846153846156,2
1.0,0.5384615384615384,3
1.0,0.7692307692307692,4
1.0,0.5769230769230769,5
1.0,0.7307692307692308,6
1.0,0.5769230769230769,7
1.0,0.34615384615384615,8
1.0,0.5,9
2.0,0.1923076923076923,0
2.0,0.0,1
2.0,0.1923076923076924,2
2.0,0.3076923076923077,3
2.0,0.38461538461538464,4
2.0,0.19230769230769235,5
2.0,0.3076923076923077,6
2.0,0.6538461538461539,7
2.0,0.423076923076923,8
2.0,0.23076923076923073,9
3.0,0.23076923076923073,0
3.0,0.26923076923076916,1
3.0,0.1538461538461538,2
3.0,0.4230769230769231,3
3.0,0.2692307692307693,4
3.0,0.2692307692307692,5
3.0,0.2692307692307692,6
3.0,0.23076923076923073,7
3.0,0.34615384615384615,8
3.0,0.26923076923076916,9
5.0,0.15384615384615385,0
5.0,0.30769230769230765,1
5.0,0.038461538461538436,2
5.0,0.26923076923076916,3
5.0,0.11538461538461542,4
5.0,0.38461538461538464,5
5.0,0.46153846153846156,6
5.0,0.15384615384615385,7
5.0,0.4230769230769231,8
5.0,0.1538461538461538,9
7.0,-0.15384615384615385,0
7.0,0.0,1
7.0,-0.038461538461538436,2
7.0,-0.23076923076923073,3
7.0,0.3076923076923077,4
7.0,0.038461538461538436,5
7.0,0.038461538461538436,6
7.0,0.15384615384615385,7
7.0,0.11538461538461542,8
7.0,0.3076923076923077,9
9.0,-0.03846153846153849,0
9.0,-0.038461538461538436,1
9.0,0.15384615384615385,2
9.0,0.0,3
9.0,0.46153846153846156,4
9.0,0.1923076923076923,5
9.0,0.15384615384615385,6
9.0,0.11538461538461531,7
9.0,0.19230769230769224,8
9.0,0.26923076923076916,9
