type,epsilon,ari,ami,ch,sc
"KMeans(clusters=5, init=random)",0.05,0.06069129123662903,0.08595532059744612,990.7882511003132,0.30171976399524136
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.05,0.007819139927452116,0.0374467506970381,269.946229185944,0.2136390710512596
"DBSCAN(samples=4, distance_metric=euclidean, epsilon=0.1)",0.05,0.045589466869854114,0.021357501606086727,10.904474323740999,-0.3273947114523693
"KMeans(clusters=5, init=random)",0.1,0.14463714636020505,0.18228784277011542,1141.001061040079,0.31306838603989384
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.1,0.022198272077109928,0.0938733526241909,317.5937979957513,0.2200163014877939
"DBSCAN(samples=4, distance_metric=euclidean, epsilon=0.1)",0.1,0.04586070774928365,0.022998725365328206,10.240239038126763,-0.39040966964036816
"KMeans(clusters=5, init=random)",0.5,0.24785769502533025,0.29555805866280693,1225.508857041491,0.3271219676367467
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.5,0.07171177090369778,0.24261251958711263,288.91287668798924,0.20797121684657416
"DBSCAN(samples=4, distance_metric=euclidean, epsilon=0.1)",0.5,0.08780804955088264,0.09906699904050023,13.816812057981219,-0.37841524544029215
"KMeans(clusters=5, init=random)",1.0,0.21168011997934916,0.2916732587245878,1219.3426639342415,0.33185059401991424
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",1.0,0.08823910015568218,0.28332850882081556,348.28871242315756,0.2211160734633555
"DBSCAN(samples=4, distance_metric=euclidean, epsilon=0.1)",1.0,0.10029015969144221,0.12030264269894712,14.743992266046238,-0.3285251070215079
"KMeans(clusters=5, init=random)",2.0,0.25542575594794614,0.3035992249557259,1320.4494949736797,0.3410974390831754
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",2.0,0.081269536647014,0.26246068983687354,301.9908382063031,0.20384471453003145
"DBSCAN(samples=4, distance_metric=euclidean, epsilon=0.1)",2.0,0.05307728577159228,0.0841590502081414,13.866316228455116,-0.39698310514320445
"KMeans(clusters=5, init=random)",3.0,0.2508671820754492,0.30981774912357124,1252.9895357220198,0.33518698586225903
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",3.0,0.09162017405843235,0.29497379562859716,468.1356439680668,0.2343960472006922
"DBSCAN(samples=4, distance_metric=euclidean, epsilon=0.1)",3.0,0.10366222681835616,0.15854199277166572,23.330410993422184,-0.30254324482212525
"KMeans(clusters=5, init=random)",5.0,0.241574706803329,0.299397482408197,1280.4244567286191,0.33224316874022997
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",5.0,0.09434063819925537,0.2980575177947129,616.0194991965225,0.2571009042726752
"DBSCAN(samples=4, distance_metric=euclidean, epsilon=0.1)",5.0,0.13124054076706998,0.22348818750850336,28.415625380293335,-0.33062015491438684
"KMeans(clusters=5, init=random)",7.0,0.26897063093572005,0.32273607861496345,1326.86587035748,0.33638678864412747
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",7.0,0.0972860707284245,0.3025749584983368,416.7363615111146,0.23396150752719466
"DBSCAN(samples=4, distance_metric=euclidean, epsilon=0.1)",7.0,0.07273025803960186,0.11648487496203568,13.843265437845186,-0.4692429352568504
"KMeans(clusters=5, init=random)",9.0,0.2796333707039854,0.35081798590006646,1397.7478012859156,0.3464402837896985
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",9.0,0.10602058195986686,0.3294679784867206,655.8397890726534,0.2604552980627898
"DBSCAN(samples=4, distance_metric=euclidean, epsilon=0.1)",9.0,0.1943455697177546,0.2599851264178109,35.67829822667567,-0.30368307357334123
