epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run
0.1,0.3637962831607321,0.6546981323295208,[0.         0.76981132 1.        ],[0.         0.40601504 1.        ],0
0.1,0.2845793729607036,0.6279989790709546,[0.         0.69811321 1.        ],[0.         0.41353383 1.        ],1
0.1,0.329493545183714,0.6714197148171109,[0.         0.64528302 1.        ],[0.         0.31578947 1.        ],2
0.1,0.20541920839835437,0.5953133228014744,[0.         0.64150943 1.        ],[0.         0.43609023 1.        ],3
0.1,0.3185841963399063,0.6363559085334013,[0.         0.74339623 1.        ],[0.         0.42481203 1.        ],4
0.1,0.40499361611576107,0.6925588171810921,[0.         0.72830189 1.        ],[0.         0.32330827 1.        ],5
0.1,0.2656263299758831,0.6267807811061156,[0.         0.65660377 1.        ],[0.         0.39097744 1.        ],6
0.1,0.272974890055327,0.6437214304920678,[0.         0.61132075 1.        ],[0.         0.33834586 1.        ],7
0.1,0.13401900978862247,0.5575636447835042,[0.        0.6490566 1.       ],[0.         0.51503759 1.        ],8
0.1,0.2316073201872606,0.6177480310417448,[0.         0.60754717 1.        ],[0.         0.37593985 1.        ],9
0.1,0.2583770747623776,0.6078164403348212,[0.         0.72830189 1.        ],[0.         0.46992481 1.        ],10
0.1,0.26569726202298194,0.6224133648805867,[0.        0.6754717 1.       ],[0.         0.40977444 1.        ],11
0.1,0.2092637253511136,0.5935016036814948,[0.         0.66415094 1.        ],[0.         0.45488722 1.        ],12
0.1,0.32221591715136894,0.6469089168596303,[0.         0.70943396 1.        ],[0.         0.38721805 1.        ],13
0.1,0.3334089941835721,0.6602656774228745,[0.         0.68679245 1.        ],[0.         0.35338346 1.        ],14
0.1,0.3632430131933607,0.7059107358262967,[0.         0.62264151 1.        ],[0.        0.2593985 1.       ],15
0.1,0.2619520499361611,0.6194449835047545,[0.         0.67924528 1.        ],[0.         0.41729323 1.        ],16
0.1,0.3483756561214356,0.6763974887583145,[0.         0.66792453 1.        ],[0.         0.31954887 1.        ],17
0.1,0.224428997020854,0.5957627118644068,[0.         0.69811321 1.        ],[0.         0.47368421 1.        ],18
0.1,0.20558944531139167,0.5880095224214158,[0.         0.68679245 1.        ],[0.         0.48120301 1.        ],19
0.1,0.23574975173783513,0.5996306865872083,[0.         0.70943396 1.        ],[0.         0.47368421 1.        ],20
0.1,0.2164987941551993,0.6126589006511051,[0.         0.58867925 1.        ],[0.         0.37218045 1.        ],21
0.1,0.14131082423038727,0.5681970669989457,[0.         0.58867925 1.        ],[0.         0.44736842 1.        ],22
0.1,0.27341466874734,0.6155414073834274,[0.         0.72830189 1.        ],[0.         0.45488722 1.        ],23
0.1,0.33343736700241167,0.6579909657990967,[0.         0.69433962 1.        ],[0.         0.36090226 1.        ],24
0.1,0.24660235494396365,0.6303601157890001,[0.         0.59622642 1.        ],[0.         0.34962406 1.        ],25
0.1,0.19015463186267556,0.5978051485610881,[0.         0.58113208 1.        ],[0.         0.39097744 1.        ],26
0.1,0.37105972478365723,0.6796527281718775,[0.         0.70188679 1.        ],[0.         0.33082707 1.        ],27
0.1,0.277088948787062,0.622148288973384,[0.         0.70566038 1.        ],[0.         0.42857143 1.        ],28
0.1,0.21286707334373667,0.6030917210580558,[0.         0.62264151 1.        ],[0.         0.40977444 1.        ],29
0.1,0.28808341608738824,0.6481462567664181,[0.         0.63018868 1.        ],[0.         0.34210526 1.        ],30
