epsilon,shokri_mi_adv,run
0.05,0.4615384615384615,0
0.05,0.038461538461538436,1
0.05,0.576923076923077,2
0.05,0.5,3
0.05,0.423076923076923,4
0.05,0.6923076923076923,5
0.05,0.4615384615384615,6
0.05,0.7692307692307693,7
0.05,0.6538461538461539,8
0.05,0.653846153846154,9
0.1,0.6153846153846154,0
0.1,0.11538461538461536,1
0.1,0.7307692307692307,2
0.1,0.11538461538461542,3
0.1,0.6923076923076923,4
0.1,0.3846153846153846,5
0.1,0.6923076923076923,6
0.1,0.6538461538461539,7
0.1,0.4230769230769231,8
0.1,0.5,9
0.5,0.3846153846153846,0
0.5,0.3846153846153846,1
0.5,0.38461538461538464,2
0.5,0.5384615384615385,3
0.5,0.6538461538461537,4
0.5,0.3461538461538462,5
0.5,0.1923076923076923,6
0.5,0.4615384615384615,7
0.5,0.5,8
0.5,0.6153846153846154,9
1.0,0.30769230769230765,0
1.0,0.07692307692307698,1
1.0,0.038461538461538436,2
1.0,0.42307692307692313,3
1.0,0.15384615384615385,4
1.0,0.30769230769230765,5
1.0,0.2692307692307692,6
1.0,0.11538461538461542,7
1.0,0.038461538461538436,8
1.0,0.0,9
2.0,0.15384615384615385,0
2.0,0.3076923076923077,1
2.0,0.15384615384615385,2
2.0,0.23076923076923078,3
2.0,-0.03846153846153855,4
2.0,0.3461538461538461,5
2.0,0.07692307692307693,6
2.0,0.11538461538461542,7
2.0,0.0,8
2.0,0.4230769230769231,9
3.0,0.03846153846153855,0
3.0,0.2692307692307693,1
3.0,0.03846153846153855,2
3.0,0.2692307692307693,3
3.0,0.0,4
3.0,0.038461538461538436,5
3.0,0.038461538461538436,6
3.0,0.38461538461538464,7
3.0,0.15384615384615385,8
3.0,-0.038461538461538436,9
5.0,0.11538461538461542,0
5.0,0.11538461538461539,1
5.0,0.1923076923076923,2
5.0,0.23076923076923078,3
5.0,0.23076923076923078,4
5.0,0.15384615384615385,5
5.0,0.11538461538461542,6
5.0,0.15384615384615385,7
5.0,0.2692307692307693,8
5.0,0.4230769230769231,9
7.0,0.3461538461538461,0
7.0,0.0,1
7.0,0.038461538461538436,2
7.0,0.23076923076923073,3
7.0,0.1923076923076924,4
7.0,0.3076923076923077,5
7.0,0.03846153846153855,6
7.0,-0.1923076923076923,7
7.0,0.11538461538461542,8
7.0,0.1538461538461538,9
9.0,0.0,0
9.0,0.1923076923076923,1
9.0,0.23076923076923073,2
9.0,0.11538461538461542,3
9.0,0.38461538461538464,4
9.0,0.07692307692307698,5
9.0,0.26923076923076916,6
9.0,0.23076923076923073,7
9.0,0.19230769230769232,8
9.0,0.11538461538461542,9
