epsilon,shokri_mi_adv,run
0.05,0.8076923076923077,0
0.05,0.2692307692307693,1
0.05,0.7307692307692307,2
0.05,0.8076923076923077,3
0.05,0.5,4
0.05,0.6153846153846154,5
0.05,0.423076923076923,6
0.05,0.4230769230769231,7
0.05,0.5769230769230769,8
0.05,0.38461538461538464,9
0.1,0.1923076923076923,0
0.1,0.6923076923076923,1
0.1,0.5769230769230769,2
0.1,0.4230769230769231,3
0.1,0.26923076923076916,4
0.1,0.46153846153846156,5
0.1,0.6538461538461539,6
0.1,0.5769230769230769,7
0.1,0.7692307692307693,8
0.1,0.5769230769230769,9
0.5,0.6153846153846154,0
0.5,0.5384615384615384,1
0.5,0.42307692307692313,2
0.5,0.6153846153846154,3
0.5,0.6538461538461539,4
0.5,0.6923076923076923,5
0.5,0.5,6
0.5,0.6923076923076923,7
0.5,0.34615384615384615,8
0.5,0.3846153846153846,9
1.0,0.6538461538461539,0
1.0,0.6923076923076923,1
1.0,0.5384615384615385,2
1.0,0.6153846153846153,3
1.0,0.46153846153846156,4
1.0,0.3076923076923077,5
1.0,0.5769230769230769,6
1.0,0.3076923076923077,7
1.0,0.8076923076923077,8
1.0,0.4615384615384615,9
2.0,0.3076923076923077,0
2.0,0.5384615384615384,1
2.0,0.7307692307692307,2
2.0,0.46153846153846156,3
2.0,0.6153846153846153,4
2.0,0.34615384615384615,5
2.0,0.38461538461538464,6
2.0,0.3846153846153846,7
2.0,0.5,8
2.0,0.5,9
3.0,0.4230769230769231,0
3.0,0.49999999999999994,1
3.0,0.2692307692307692,2
3.0,0.6923076923076923,3
3.0,0.8846153846153846,4
3.0,0.38461538461538464,5
3.0,0.6538461538461539,6
3.0,0.4230769230769231,7
3.0,0.4615384615384615,8
3.0,0.6153846153846154,9
5.0,0.49999999999999994,0
5.0,0.0,1
5.0,0.07692307692307687,2
5.0,0.11538461538461539,3
5.0,0.5384615384615384,4
5.0,0.26923076923076916,5
5.0,0.5,6
5.0,0.423076923076923,7
5.0,0.5384615384615385,8
5.0,0.49999999999999994,9
7.0,-0.038461538461538436,0
7.0,0.23076923076923078,1
7.0,0.07692307692307687,2
7.0,0.1923076923076923,3
7.0,0.23076923076923073,4
7.0,0.23076923076923073,5
7.0,0.2692307692307692,6
7.0,0.11538461538461536,7
7.0,0.07692307692307698,8
7.0,0.23076923076923073,9
9.0,0.038461538461538436,0
9.0,0.15384615384615385,1
9.0,0.0,2
9.0,0.0,3
9.0,0.07692307692307698,4
9.0,0.5,5
9.0,0.11538461538461542,6
9.0,0.038461538461538436,7
9.0,0.2692307692307692,8
9.0,0.5,9
