epsilon,shokri_mi_adv,run
0.1,0.6943396226415094,0
0.1,0.5588310398638104,1
0.1,0.43827493261455525,2
0.1,-0.328543055752589,3
0.1,0.569811320754717,4
0.1,0.5849056603773585,5
0.1,-0.038743084125407945,6
0.1,0.5779259469428287,7
0.1,-0.02720953326713005,8
0.1,0.6226415094339622,9
0.5,-0.07253511136331403,0
0.5,0.6943396226415094,1
0.5,0.6075471698113207,2
0.5,0.6226415094339622,3
0.5,0.6830188679245283,4
0.5,0.7509433962264151,5
0.5,0.5815576677542913,6
0.5,-0.12154915590863957,7
0.5,-0.09140303589161591,8
0.5,0.6415094339622641,9
1.0,0.6150943396226415,0
1.0,0.6339622641509434,1
1.0,-0.2909348843807632,2
1.0,0.7056603773584905,3
1.0,0.6528301886792452,4
1.0,-0.2835153922542205,5
1.0,0.37792594694282877,6
1.0,-0.2343736700241169,7
1.0,-0.17446446304440344,8
1.0,0.5851468293374946,9
2.0,0.5773584905660377,0
2.0,-0.06514399205561072,1
2.0,0.5735849056603773,2
2.0,0.6377358490566037,3
2.0,0.5552560646900269,4
2.0,-0.12911051212938007,5
2.0,0.5175769612711023,6
2.0,0.6792452830188679,7
2.0,0.5437083274223293,8
2.0,0.6339622641509434,9
3.0,0.40465314228968646,0
3.0,-0.0612994751028515,1
3.0,0.7396226415094339,2
3.0,0.5893601929351682,3
3.0,0.5099163001844234,4
3.0,-0.05369555965385164,5
3.0,-0.057440771740672525,6
3.0,0.5703362179032486,7
3.0,0.7509433962264151,8
3.0,0.4722088239466591,9
5.0,0.6264150943396226,0
5.0,0.6792452830188679,1
5.0,0.7056603773584905,2
5.0,0.6679245283018868,3
5.0,0.690566037735849,4
5.0,-0.061271102284012,5
5.0,0.56644914172223,6
5.0,0.6,7
5.0,0.7849056603773585,8
5.0,0.6457511703787772,9
7.0,0.7056603773584905,0
7.0,0.7132075471698113,1
7.0,-0.0270818555823521,2
7.0,-0.012228684919846855,3
7.0,0.5627748616825081,4
7.0,0.4761952049936161,5
7.0,-0.11401617250673857,6
7.0,-0.06887501773301186,7
7.0,-0.02350688040856863,8
7.0,0.596637820967513,9
9.0,-0.09880834160873886,0
9.0,-0.19686480351822955,1
9.0,0.7320754716981132,2
9.0,0.7924528301886793,3
9.0,-0.06501631437083277,4
9.0,-0.05002127961412972,5
9.0,0.6792452830188679,6
9.0,0.6528301886792452,7
9.0,0.6641509433962264,8
9.0,-0.15934175060292244,9
