epsilon,shokri_mi_adv,run
0.1,0.5384615384615384,0
0.1,0.6153846153846154,1
0.1,0.7307692307692307,2
0.1,0.3846153846153846,3
0.1,0.6538461538461539,4
0.1,0.6923076923076923,5
0.1,0.8461538461538461,6
0.1,-0.11538461538461542,7
0.1,0.8076923076923077,8
0.1,0.7307692307692308,9
0.5,0.7692307692307693,0
0.5,0.7307692307692307,1
0.5,0.6153846153846154,2
0.5,0.6923076923076923,3
0.5,0.07692307692307687,4
0.5,0.5384615384615384,5
0.5,0.3076923076923077,6
0.5,0.3846153846153846,7
0.5,0.26923076923076916,8
0.5,0.8846153846153846,9
1.0,0.3846153846153846,0
1.0,0.19230769230769224,1
1.0,0.423076923076923,2
1.0,0.6153846153846154,3
1.0,0.6923076923076923,4
1.0,0.38461538461538464,5
1.0,0.3461538461538462,6
1.0,0.7692307692307693,7
1.0,0.49999999999999994,8
1.0,0.6153846153846154,9
2.0,0.5384615384615385,0
2.0,0.8461538461538461,1
2.0,0.46153846153846156,2
2.0,0.07692307692307693,3
2.0,0.5,4
2.0,0.6923076923076923,5
2.0,0.34615384615384615,6
2.0,0.4615384615384615,7
2.0,0.15384615384615385,8
2.0,0.5384615384615384,9
3.0,0.5,0
3.0,0.5384615384615385,1
3.0,0.3846153846153846,2
3.0,0.3846153846153846,3
3.0,0.7307692307692307,4
3.0,0.38461538461538464,5
3.0,0.4230769230769231,6
3.0,0.5384615384615384,7
3.0,0.423076923076923,8
3.0,0.0,9
5.0,0.42307692307692313,0
5.0,0.07692307692307687,1
5.0,0.0,2
5.0,0.5,3
5.0,0.7692307692307693,4
5.0,0.4230769230769231,5
5.0,0.5,6
5.0,0.5384615384615384,7
5.0,0.6153846153846154,8
5.0,0.42307692307692313,9
7.0,0.4230769230769231,0
7.0,0.5769230769230769,1
7.0,0.6538461538461537,2
7.0,0.3846153846153846,3
7.0,0.4230769230769231,4
7.0,0.46153846153846156,5
7.0,-0.23076923076923084,6
7.0,0.3076923076923077,7
7.0,0.3076923076923077,8
7.0,0.5769230769230769,9
9.0,0.6923076923076923,0
9.0,0.46153846153846156,1
9.0,0.5769230769230769,2
9.0,0.26923076923076916,3
9.0,0.5384615384615384,4
9.0,0.5,5
9.0,0.6923076923076923,6
9.0,0.5384615384615385,7
9.0,0.15384615384615385,8
9.0,0.34615384615384615,9
