type,epsilon,ari,ami,ch,sc
"KMeans(clusters=3, init=random)",0.05,-0.0017149024165581984,-0.001466005606303859,179.2709657685527,0.4051804699295952
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.05,0.010330981380131552,0.02761832973499711,209.29728990469147,0.3693696376308361
"DBSCAN(samples=4, distance_metric=euclidean, eps=0.2)",0.05,-0.011757031744121363,-0.00609511821476093,11.364394731313137,0.036126692671728064
"KMeans(clusters=3, init=random)",0.1,0.000942616679342443,0.0005357322584429571,200.2889086236799,0.431615467106206
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.1,-0.00517323330390476,-0.011442199442439604,234.75901497627007,0.36785319283533646
"DBSCAN(samples=4, distance_metric=euclidean, eps=0.2)",0.1,0.01068757375491022,0.010153817661119027,17.94108558892358,0.05689800618674564
"KMeans(clusters=3, init=random)",0.5,0.03163003623922577,0.02339919171878154,152.92153218206028,0.36888058321366285
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.5,0.0038101728581865584,0.016081080866144334,210.21345982599854,0.35986355481599247
"DBSCAN(samples=4, distance_metric=euclidean, eps=0.2)",0.5,0.010512301543357607,0.003148554643630959,10.229353127297276,-0.06841283013881502
"KMeans(clusters=3, init=random)",1.0,0.031395901471433736,0.020829995841663056,180.89060672823848,0.39984093599457704
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",1.0,0.016669340193212378,0.04453875633774975,191.58209299607452,0.36240424388772857
"DBSCAN(samples=4, distance_metric=euclidean, eps=0.2)",1.0,-0.011435653807934671,-0.006021486081162373,9.69637857865541,-0.01095560089545104
"KMeans(clusters=3, init=random)",2.0,0.20758291475607002,0.18975298207595154,177.5746636865813,0.40182218320627416
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",2.0,0.09087626086910074,0.16685524771799504,205.18128056532927,0.3553978905401868
"DBSCAN(samples=4, distance_metric=euclidean, eps=0.2)",2.0,-0.018213588845952613,1.6888076457976782e-05,10.95005450619612,-0.11199732720339343
"KMeans(clusters=3, init=random)",3.0,0.4359852070317258,0.3817437044569751,248.4711203882194,0.4243131702267736
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",3.0,0.2074727296892736,0.3261706320484047,259.087752460518,0.365713393303392
"DBSCAN(samples=4, distance_metric=euclidean, eps=0.2)",3.0,0.011985535493780392,0.02607546418149421,41.60660900144471,0.10219668130146767
"KMeans(clusters=3, init=random)",5.0,0.6896042882790248,0.6355150691426837,416.6404228954492,0.5076538752857341
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",5.0,0.5555032936874758,0.665492149709437,423.99712619649364,0.4156041619333889
"DBSCAN(samples=4, distance_metric=euclidean, eps=0.2)",5.0,0.03977433204750486,0.055606891629424136,123.13846575173332,0.39220486417423467
"KMeans(clusters=3, init=random)",7.0,0.9212769448251027,0.8899759611551776,851.6395805035276,0.5978342171986062
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",7.0,0.6337486175406137,0.7370900830727132,965.1397969226307,0.4808927558918973
"DBSCAN(samples=4, distance_metric=euclidean, eps=0.2)",7.0,0.43095124552387853,0.26400916686426934,5.26249898705211,0.21526197344785047
"KMeans(clusters=3, init=random)",9.0,0.9661312726762686,0.9442911550857989,942.1633353072451,0.6158168342919028
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",9.0,0.6460035848872903,0.7593905294580866,1337.4263777643823,0.47029464128652815
"DBSCAN(samples=4, distance_metric=euclidean, eps=0.2)",9.0,0.8845542195035334,0.860375205768869,9.660729132051289,-0.00795246048948851
