epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run
0.1,0.23521066817988368,0.6311293894337235,[0.         0.56603774 1.        ],[0.         0.33082707 1.        ],0
0.1,0.378606894594978,0.6819768710451668,[0.         0.70943396 1.        ],[0.         0.33082707 1.        ],1
0.1,0.3107958575684494,0.6504918393141728,[0.         0.67169811 1.        ],[0.         0.36090226 1.        ],2
0.1,0.27317349978720384,0.6294503603312896,[0.         0.66415094 1.        ],[0.         0.39097744 1.        ],3
0.1,0.26537097460632714,0.6454904644868245,[0.         0.58867925 1.        ],[0.         0.32330827 1.        ],4
0.1,0.17140019860973188,0.5845581030766215,[0.         0.59245283 1.        ],[0.         0.42105263 1.        ],5
0.1,0.28421052631578947,0.6551724137931034,[0.  0.6 1. ],[0.         0.31578947 1.        ],6
0.1,0.3069513406156901,0.6548442039875764,[0.        0.6490566 1.       ],[0.         0.34210526 1.        ],7
0.1,0.22763512554972337,0.6301885567779832,[0.        0.5509434 1.       ],[0.         0.32330827 1.        ],8
0.1,0.32574833309689316,0.6675031367628607,[0.        0.6490566 1.       ],[0.         0.32330827 1.        ],9
0.1,0.23898425308554405,0.6326749204549035,[0.         0.56981132 1.        ],[0.         0.33082707 1.        ],10
0.1,0.38977159880834156,0.7011788826242952,[0.         0.67924528 1.        ],[0.         0.28947368 1.        ],11
0.1,0.19798552986239182,0.5875796977759927,[0.         0.66415094 1.        ],[0.         0.46616541 1.        ],12
0.1,0.24267271953468578,0.6412178449955421,[0.        0.5509434 1.       ],[0.         0.30827068 1.        ],13
0.1,0.190126259043836,0.5993299931813465,[0.         0.57358491 1.        ],[0.         0.38345865 1.        ],14
0.1,0.22404596396652005,0.6156775998710867,[0.         0.59622642 1.        ],[0.         0.37218045 1.        ],15
0.1,0.25390835579514826,0.6538210320052253,[0.         0.53962264 1.        ],[0.         0.28571429 1.        ],16
0.1,0.25048943112498223,0.6240184303313806,[0.         0.63018868 1.        ],[0.         0.37969925 1.        ],17
0.1,0.4085544048801248,0.7167652681810656,[0.        0.6754717 1.       ],[0.         0.26691729 1.        ],18
0.1,0.26915874592140726,0.6457600295007914,[0.         0.59622642 1.        ],[0.         0.32706767 1.        ],19
0.1,0.348602638672152,0.6573114989180953,[0.         0.72830189 1.        ],[0.         0.37969925 1.        ],20
0.1,0.2994751028514683,0.6466175857758021,[0.         0.66037736 1.        ],[0.         0.36090226 1.        ],21
0.1,0.28421052631578947,0.6551724137931034,[0.  0.6 1. ],[0.         0.31578947 1.        ],22
0.1,0.3484891473967938,0.6663055988084762,[0.         0.69811321 1.        ],[0.         0.34962406 1.        ],23
0.1,0.27684777982692577,0.6375749030666197,[0.         0.64150943 1.        ],[0.         0.36466165 1.        ],24
0.1,0.22762093914030357,0.6313118913168017,[0.         0.54716981 1.        ],[0.         0.31954887 1.        ],25
0.1,0.32183288409703503,0.68014484007242,[0.         0.60754717 1.        ],[0.         0.28571429 1.        ],26
0.1,0.17860689459497803,0.6062806010467668,[0.         0.50943396 1.        ],[0.         0.33082707 1.        ],27
0.1,0.2994609164420485,0.6477000797660197,[0.         0.65660377 1.        ],[0.         0.35714286 1.        ],28
0.1,0.276705915732728,0.6486321725215272,[0.         0.60377358 1.        ],[0.         0.32706767 1.        ],29
0.1,0.4050929209816996,0.6834093390712314,[0.         0.75471698 1.        ],[0.         0.34962406 1.        ],30
0.1,0.2993474251666903,0.6569757926529883,[0.         0.62641509 1.        ],[0.         0.32706767 1.        ],31
0.1,0.2314938289119024,0.6253726297673561,[0.         0.57735849 1.        ],[0.         0.34586466 1.        ],32
0.1,0.21300893743793442,0.5961452263558943,[0.         0.66037736 1.        ],[0.         0.44736842 1.        ],33
0.1,0.4049084976592424,0.7011643314256716,[0.         0.70566038 1.        ],[0.         0.30075188 1.        ],34
0.1,0.30324868775712865,0.6479185119574846,[0.         0.66415094 1.        ],[0.         0.36090226 1.        ],35
0.1,0.2617250673854447,0.6340789837061586,[0.         0.61886792 1.        ],[0.         0.35714286 1.        ],36
0.1,0.31811604482905376,0.6729606318647414,[0.         0.61886792 1.        ],[0.         0.30075188 1.        ],37
0.1,0.3596112923818981,0.6885553191805889,[0.         0.65660377 1.        ],[0.         0.29699248 1.        ],38
0.1,0.2165555397928784,0.6092620428029489,[0.         0.60377358 1.        ],[0.         0.38721805 1.        ],39
0.1,0.2618527450702227,0.6254315148549839,[0.         0.65283019 1.        ],[0.         0.39097744 1.        ],40
0.1,0.216328557242162,0.6242604996821982,[0.         0.54339623 1.        ],[0.         0.32706767 1.        ],41
0.1,0.2657256348418215,0.6207501192609688,[0.         0.68301887 1.        ],[0.         0.41729323 1.        ],42
0.1,0.25395091502340755,0.6497465325994212,[0.        0.5509434 1.       ],[0.         0.29699248 1.        ],43
0.1,0.2468577103135196,0.6141333578203093,[0.         0.66415094 1.        ],[0.         0.41729323 1.        ],44
0.1,0.19750319194211946,0.6129629028593685,[0.         0.53584906 1.        ],[0.         0.33834586 1.        ],45
0.1,0.32198893460065253,0.6649323469995786,[0.        0.6490566 1.       ],[0.         0.32706767 1.        ],46
0.1,0.24316924386437788,0.6082803754848327,[0.         0.68301887 1.        ],[0.         0.43984962 1.        ],47
0.1,0.2995460348985671,0.6414361310201622,[0.         0.67924528 1.        ],[0.         0.37969925 1.        ],48
0.1,0.2730741949212654,0.6362105322747279,[0.         0.63773585 1.        ],[0.         0.36466165 1.        ],49
0.5,0.1825507164136757,0.5976802089026538,[0.         0.55849057 1.        ],[0.         0.37593985 1.        ],0
0.5,0.30316356930061,0.6546981323295208,[0.         0.64150943 1.        ],[0.         0.33834586 1.        ],1
0.5,0.21272520924953892,0.6111316979174386,[0.         0.58490566 1.        ],[0.         0.37218045 1.        ],2
0.5,0.34461625762519504,0.6738321502175406,[0.         0.66792453 1.        ],[0.         0.32330827 1.        ],3
0.5,0.1828770038303305,0.5825488915357129,[0.         0.64528302 1.        ],[0.         0.46240602 1.        ],4
0.5,0.2581075329834019,0.622314249603356,[0.         0.65660377 1.        ],[0.         0.39849624 1.        ],5
0.5,0.26934316924386437,0.6318728641680327,[0.         0.64528302 1.        ],[0.         0.37593985 1.        ],6
0.5,0.2879415519931905,0.6605089597798409,[0.         0.59245283 1.        ],[0.         0.30451128 1.        ],7
0.5,0.25039012625904383,0.63079887357344,[0.         0.60377358 1.        ],[0.         0.35338346 1.        ],8
0.5,0.20902255639097744,0.6054628224582701,[0.  0.6 1. ],[0.         0.39097744 1.        ],9
0.5,0.24288551567598238,0.6249142723730866,[0.         0.60754717 1.        ],[0.         0.36466165 1.        ],10
0.5,0.24289970208540218,0.6239610784512467,[0.         0.61132075 1.        ],[0.         0.36842105 1.        ],11
0.5,0.3255922825932756,0.6830194095787946,[0.         0.60754717 1.        ],[0.         0.28195489 1.        ],12
0.5,0.20878138743084124,0.6209742384138623,[0.         0.53584906 1.        ],[0.         0.32706767 1.        ],13
0.5,0.20913604766633564,0.5994709994332136,[0.         0.63018868 1.        ],[0.         0.42105263 1.        ],14
0.5,0.3147822386154064,0.6369370147743122,[0.         0.73207547 1.        ],[0.         0.41729323 1.        ],15
0.5,0.29561639948928925,0.6520178587061193,[0.         0.63396226 1.        ],[0.         0.33834586 1.        ],16
0.5,0.26165413533834586,0.639423076923077,[0.  0.6 1. ],[0.         0.33834586 1.        ],17
0.5,0.24288551567598238,0.6249142723730866,[0.         0.60754717 1.        ],[0.         0.36466165 1.        ],18
0.5,0.28415378067811037,0.6604196700304341,[0.         0.58490566 1.        ],[0.         0.30075188 1.        ],19
0.5,0.25419208398354376,0.6302218087735109,[0.         0.61509434 1.        ],[0.         0.36090226 1.        ],20
0.5,0.16788196907362746,0.5732900636658657,[0.         0.65660377 1.        ],[0.        0.4887218 1.       ],21
0.5,0.22034331110795857,0.6099190398007133,[0.         0.61132075 1.        ],[0.         0.39097744 1.        ],22
0.5,0.1263016030642644,0.5592324990353013,[0.         0.59622642 1.        ],[0.         0.46992481 1.        ],23
0.5,0.18652291105121294,0.5893595041322315,[0.         0.61509434 1.        ],[0.         0.42857143 1.        ],24
0.5,0.19408426727195344,0.5916576221677319,[0.         0.62641509 1.        ],[0.         0.43233083 1.        ],25
0.5,0.25436232089658106,0.619263003857922,[0.         0.66037736 1.        ],[0.         0.40601504 1.        ],26
0.5,0.16759824088523195,0.5842485095701286,[0.         0.58113208 1.        ],[0.         0.41353383 1.        ],27
0.5,0.30323450134770885,0.6490066225165563,[0.         0.66037736 1.        ],[0.         0.35714286 1.        ],28
0.5,0.29171513689885087,0.6619312365142614,[0.         0.59622642 1.        ],[0.         0.30451128 1.        ],29
0.5,0.3222017307419492,0.6479185119574845,[0.         0.70566038 1.        ],[0.         0.38345865 1.        ],30
0.5,0.24678677826642076,0.6182178971403719,[0.         0.64528302 1.        ],[0.         0.39849624 1.        ],31
0.5,0.2238473542346432,0.6296996498380707,[0.         0.54339623 1.        ],[0.         0.31954887 1.        ],32
0.5,0.30319194211944955,0.6523698169166714,[0.        0.6490566 1.       ],[0.         0.34586466 1.        ],33
0.5,0.22393247269116184,0.6232914160743576,[0.         0.56603774 1.        ],[0.         0.34210526 1.        ],34
0.5,0.20875301461200169,0.6231071697481804,[0.         0.52830189 1.        ],[0.         0.31954887 1.        ],35
0.5,0.3368279188537381,0.6968315288577919,[0.         0.59622642 1.        ],[0.        0.2593985 1.       ],36
0.5,0.1976308696268974,0.6049005286064968,[0.         0.56981132 1.        ],[0.         0.37218045 1.        ],37
0.5,0.197531564760959,0.6110650245676728,[0.         0.54339623 1.        ],[0.         0.34586466 1.        ],38
0.5,0.2694850333380621,0.6228782860691368,[0.         0.68301887 1.        ],[0.         0.41353383 1.        ],39
0.5,0.28426727195346857,0.6502594558924982,[0.         0.61509434 1.        ],[0.         0.33082707 1.        ],40
0.5,0.2616257625195063,0.6416828001597984,[0.         0.59245283 1.        ],[0.         0.33082707 1.        ],41
0.5,0.41622925237622355,0.7044884304432675,[0.         0.71698113 1.        ],[0.         0.30075188 1.        ],42
0.5,0.14856007944389277,0.5838941229250786,[0.         0.51698113 1.        ],[0.         0.36842105 1.        ],43
0.5,0.2954603489856717,0.6660924765140278,[0.         0.59245283 1.        ],[0.         0.29699248 1.        ],44
0.5,0.25413533834586466,0.6343402225755167,[0.  0.6 1. ],[0.         0.34586466 1.        ],45
0.5,0.21258334515534116,0.6205454106668812,[0.         0.54716981 1.        ],[0.         0.33458647 1.        ],46
0.5,0.25800822811746343,0.6286992088540413,[0.         0.63018868 1.        ],[0.         0.37218045 1.        ],47
0.5,0.31076748474960986,0.6527061316677355,[0.         0.66415094 1.        ],[0.         0.35338346 1.        ],48
0.5,0.23553695559653848,0.6100513038060266,[0.         0.65283019 1.        ],[0.         0.41729323 1.        ],49
0.7,0.18613987799687898,0.6107612567743242,[0.         0.51320755 1.        ],[0.         0.32706767 1.        ],0
0.7,0.3408001134912753,0.6766059429814888,[0.         0.65283019 1.        ],[0.         0.31203008 1.        ],1
0.7,0.182593275641935,0.5953958583477862,[0.         0.56981132 1.        ],[0.         0.38721805 1.        ],2
0.7,0.26559795715704354,0.6286169657332856,[0.        0.6490566 1.       ],[0.         0.38345865 1.        ],3
0.7,0.16354092779117607,0.5973188356858243,[0.         0.50188679 1.        ],[0.         0.33834586 1.        ],4
0.7,0.1750744786494538,0.5907546587048286,[0.         0.56981132 1.        ],[0.         0.39473684 1.        ],5
0.7,0.29577244999290675,0.6401538068540851,[0.        0.6754717 1.       ],[0.         0.37969925 1.        ],6
0.7,0.21275358206837847,0.6094240226480073,[0.         0.59245283 1.        ],[0.         0.37969925 1.        ],7
0.7,0.22808909065115618,0.6022539367574855,[0.         0.67169811 1.        ],[0.         0.44360902 1.        ],8
0.7,0.24295644772308128,0.6202905065602786,[0.         0.62641509 1.        ],[0.         0.38345865 1.        ],9
0.7,0.26938572847212366,0.6290381766536648,[0.         0.65660377 1.        ],[0.         0.38721805 1.        ],10
0.7,0.26152645765356786,0.6502077731605964,[0.         0.56603774 1.        ],[0.         0.30451128 1.        ],11
0.7,0.2879982976308696,0.655322795366559,[0.         0.60754717 1.        ],[0.         0.31954887 1.        ],12
0.7,0.18981415803660096,0.619935460738616,[0.         0.49056604 1.        ],[0.         0.30075188 1.        ],13
0.7,0.23521066817988368,0.6311293894337235,[0.         0.56603774 1.        ],[0.         0.33082707 1.        ],14
0.7,0.2050929209816995,0.6133935714621864,[0.         0.55471698 1.        ],[0.         0.34962406 1.        ],15
0.7,0.16406582493970773,0.5733122028526149,[0.         0.64150943 1.        ],[0.         0.47744361 1.        ],16
0.7,0.269428287700383,0.626323631139254,[0.         0.66792453 1.        ],[0.         0.39849624 1.        ],17
0.7,0.18646616541353384,0.5919881305637982,[0.  0.6 1. ],[0.         0.41353383 1.        ],18
0.7,0.2241452688324585,0.6097527090858572,[0.         0.62264151 1.        ],[0.         0.39849624 1.        ],19
0.7,0.20913604766633564,0.5994709994332136,[0.         0.63018868 1.        ],[0.         0.42105263 1.        ],20
0.7,0.18252234359483616,0.5992655001080147,[0.        0.5509434 1.       ],[0.         0.36842105 1.        ],21
0.7,0.26559795715704354,0.6286169657332856,[0.        0.6490566 1.       ],[0.         0.38345865 1.        ],22
0.7,0.2577670591573273,0.6474119746876522,[0.         0.56603774 1.        ],[0.         0.30827068 1.        ],23
0.7,0.19791459781529291,0.5905662092156685,[0.         0.64528302 1.        ],[0.         0.44736842 1.        ],24
0.7,0.18262164846077455,0.5939319644498927,[0.         0.57735849 1.        ],[0.         0.39473684 1.        ],25
0.7,0.12973471414385018,0.572955723972876,[0.         0.50943396 1.        ],[0.         0.37969925 1.        ],26
0.7,0.1751312242871329,0.588033944234472,[0.         0.58490566 1.        ],[0.         0.40977444 1.        ],27
0.7,0.261895304298482,0.6227933644623591,[0.         0.66415094 1.        ],[0.         0.40225564 1.        ],28
0.7,0.2239182862817421,0.6243147879780733,[0.         0.56226415 1.        ],[0.         0.33834586 1.        ],29
0.7,0.18657965668889204,0.5868784019447233,[0.         0.63018868 1.        ],[0.         0.44360902 1.        ],30
0.7,0.26917293233082706,0.6445880452342488,[0.  0.6 1. ],[0.         0.33082707 1.        ],31
0.7,0.28796992481203004,0.6578730420445177,[0.  0.6 1. ],[0.         0.31203008 1.        ],32
0.7,0.1676124272946517,0.5836223370372992,[0.         0.58490566 1.        ],[0.         0.41729323 1.        ],33
0.7,0.3143850191516527,0.6675031367628607,[0.         0.62641509 1.        ],[0.         0.31203008 1.        ],34
0.7,0.29967371258334513,0.6329824738114423,[0.         0.71320755 1.        ],[0.         0.41353383 1.        ],35
0.7,0.20526315789473681,0.6031746031746031,[0.  0.6 1. ],[0.         0.39473684 1.        ],36
0.7,0.3559653851610157,0.6749010204650643,[0.         0.68679245 1.        ],[0.         0.33082707 1.        ],37
0.7,0.20526315789473681,0.6031746031746031,[0.  0.6 1. ],[0.         0.39473684 1.        ],38
0.7,0.24304156617959993,0.615177755069112,[0.        0.6490566 1.       ],[0.         0.40601504 1.        ],39
0.7,0.11456944247410983,0.5684917565642174,[0.        0.4754717 1.       ],[0.         0.36090226 1.        ],40
0.7,0.2017449283586324,0.5895404918714031,[0.         0.66415094 1.        ],[0.         0.46240602 1.        ],41
0.7,0.2014044545325578,0.6064769676151619,[0.         0.57358491 1.        ],[0.         0.37218045 1.        ],42
0.7,0.22789048091927933,0.6128343447965834,[0.         0.61886792 1.        ],[0.         0.39097744 1.        ],43
0.7,0.21285288693431692,0.6038425336360113,[0.         0.61886792 1.        ],[0.         0.40601504 1.        ],44
0.7,0.24292807490424173,0.6220979978324112,[0.         0.61886792 1.        ],[0.         0.37593985 1.        ],45
0.7,0.22801815860405727,0.605794926477364,[0.         0.65283019 1.        ],[0.         0.42481203 1.        ],46
0.7,0.17886224996453398,0.5916438913764029,[0.         0.57735849 1.        ],[0.         0.39849624 1.        ],47
0.7,0.19021137750035466,0.5948929906012909,[0.         0.59622642 1.        ],[0.         0.40601504 1.        ],48
0.7,0.190126259043836,0.5993299931813465,[0.         0.57358491 1.        ],[0.         0.38345865 1.        ],49
1.0,0.1942261313661512,0.5856319035288524,[0.         0.66415094 1.        ],[0.         0.46992481 1.        ],0
1.0,0.2547027947226558,0.6021111540823987,[0.        0.7509434 1.       ],[0.        0.4962406 1.       ],1
