type,epsilon,ari,ami,ch,sc
"KMeans(clusters=3, init=random)",0.05,-0.0026818085959564347,-0.0002614148712141937,111.95977778656109,0.44071503542319307
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.05,-0.004544940654139007,-0.004277882066492667,94.63235371761102,0.3349652311602139
"DBSCAN(samples=6, distance_metric=euclidean, eps=0.5)",0.05,0.0,0.0,2958.318847221516,0.9447257974475527
"KMeans(clusters=3, init=random)",0.1,0.006168548734329831,0.004174767401839407,111.8739121221359,0.4346845453426651
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.1,0.0073811266132804785,0.015921734870360405,57.21131800889572,0.4436825608402299
"DBSCAN(samples=6, distance_metric=euclidean, eps=0.5)",0.1,0.0,0.0,464.1739648787737,0.8560052874360704
"KMeans(clusters=3, init=random)",0.5,0.027810598930332824,0.03366630484390644,106.65396672099924,0.3718589352687678
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.5,0.02431016776814203,0.046481351428251896,197.99242124458596,0.5545462676789976
"DBSCAN(samples=6, distance_metric=euclidean, eps=0.5)",0.5,0.0,0.0,85.8721219833427,0.3865406225673704
"KMeans(clusters=3, init=random)",1.0,0.06832850899294023,0.07451294233334775,105.20191123903653,0.3493223102561485
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",1.0,0.025690646546312663,0.052501662784255484,47.14209998368241,0.26576668320846675
"DBSCAN(samples=6, distance_metric=euclidean, eps=0.5)",1.0,0.0,0.0,63.257677958632506,0.28006930843986366
"KMeans(clusters=3, init=random)",2.0,0.20361439441481485,0.20358891667299167,133.96111469866628,0.33188078524231057
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",2.0,0.061390725335554217,0.1320593654780042,65.08269757680756,0.28021683535295494
"DBSCAN(samples=6, distance_metric=euclidean, eps=0.5)",2.0,0.0,0.0,10.380265306634426,-0.08408573085441065
"KMeans(clusters=3, init=random)",3.0,0.3853213392267967,0.34793696956466047,153.41979548260005,0.328698680642057
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",3.0,0.08734537226295623,0.19369303072228017,99.20842158720896,0.3022912028003182
"DBSCAN(samples=6, distance_metric=euclidean, eps=0.5)",3.0,0.0,0.0,18.712746404192153,-0.026977987348757067
"KMeans(clusters=3, init=random)",5.0,0.6069195337895599,0.5917825248688671,221.66154907384453,0.3452041952317567
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",5.0,0.17241104826140358,0.32280437387492167,117.6571108700853,0.27324929167623796
"DBSCAN(samples=6, distance_metric=euclidean, eps=0.5)",5.0,0.0,0.0,58.49798277252794,0.07762621116307336
"KMeans(clusters=3, init=random)",7.0,0.6451937497621307,0.6050771995536938,328.57172614357415,0.4053326002263112
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",7.0,0.23807619399879792,0.41126449281487104,170.3425414806215,0.2667997577744118
"DBSCAN(samples=6, distance_metric=euclidean, eps=0.5)",7.0,0.0,0.0,18.88134237257959,0.048365284156891335
"KMeans(clusters=3, init=random)",9.0,0.7715650386573173,0.7262330718424754,383.5922936966549,0.43166158857996884
"AffinityPropagation(damping=0.5, distance_metric=euclidean)",9.0,0.2913699456849729,0.47282453508741373,212.71281138589535,0.2585314396144613
"DBSCAN(samples=6, distance_metric=euclidean, eps=0.5)",9.0,0.0,0.0,0.5876862585292756,0.042294815431470505
