epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run
0.1,0.5094339622641509,1.0,[0.         0.50943396 1.        ],[0. 0. 1.],0
0.1,0.5886792452830188,1.0,[0.         0.58867925 1.        ],[0. 0. 1.],1
0.1,0.6415094339622641,1.0,[0.         0.64150943 1.        ],[0. 0. 1.],2
0.1,-0.016612285430557594,0.49295418717433426,[0.         0.58113208 1.        ],[0.         0.59774436 1.        ],3
0.1,-0.21258334515534116,0.4049476688867745,[0.         0.45283019 1.        ],[0.         0.66541353 1.        ],4
0.1,0.2992197474819123,0.6689197847257816,[0.         0.59245283 1.        ],[0.         0.29323308 1.        ],5
0.1,0.5584905660377358,1.0,[0.         0.55849057 1.        ],[0. 0. 1.],6
0.1,0.5283018867924528,1.0,[0.         0.52830189 1.        ],[0. 0. 1.],7
0.1,0.26535678819690733,0.6466943769116148,[0.         0.58490566 1.        ],[0.         0.31954887 1.        ],8
0.1,-0.05429138884948226,0.476823758826593,[0.         0.55849057 1.        ],[0.         0.61278195 1.        ],9
0.1,0.4981132075471698,1.0,[0.         0.49811321 1.        ],[0. 0. 1.],10
0.1,-0.2536671868350121,0.4026396889871391,[0.        0.5245283 1.       ],[0.         0.77819549 1.        ],11
0.1,0.2722513831749185,0.7407240159554452,[0.         0.41886792 1.        ],[0.         0.14661654 1.        ],12
0.1,0.539622641509434,1.0,[0.         0.53962264 1.        ],[0. 0. 1.],13
0.1,0.43827493261455525,0.8026805658972449,[0.         0.58113208 1.        ],[0.         0.14285714 1.        ],14
0.1,0.4339622641509434,1.0,[0.         0.43396226 1.        ],[0. 0. 1.],15
0.1,-0.03532415945524192,0.4857892934596508,[0.         0.60377358 1.        ],[0.         0.63909774 1.        ],16
0.1,0.024854589303447305,0.5103752131893121,[0.         0.61132075 1.        ],[0.         0.58646617 1.        ],17
0.1,0.5811320754716981,1.0,[0.         0.58113208 1.        ],[0. 0. 1.],18
0.1,0.4908639523336643,0.8783101178631563,[0.         0.56981132 1.        ],[0.         0.07894737 1.        ],19
0.1,0.028344446020712177,0.5134857852533816,[0.         0.53962264 1.        ],[0.        0.5112782 1.       ],20
0.1,0.37775571002979147,0.8210668467251857,[0.         0.48301887 1.        ],[0.         0.10526316 1.        ],21
0.1,0.05078734572279758,0.5262309495896835,[0.         0.50943396 1.        ],[0.         0.45864662 1.        ],22
0.1,0.5584905660377358,1.0,[0.         0.55849057 1.        ],[0. 0. 1.],23
0.1,0.5660377358490566,1.0,[0.         0.56603774 1.        ],[0. 0. 1.],24
0.1,0.4490566037735849,1.0,[0.        0.4490566 1.       ],[0. 0. 1.],25
0.1,0.4716981132075472,1.0,[0.         0.47169811 1.        ],[0. 0. 1.],26
0.1,-0.19323308270676698,0.4306529951430113,[0.  0.6 1. ],[0.         0.79323308 1.        ],27
0.1,0.5548588452262733,0.9403314419526255,[0.         0.59245283 1.        ],[0.         0.03759398 1.        ],28
0.1,0.569811320754717,1.0,[0.         0.56981132 1.        ],[0. 0. 1.],29
0.1,0.4377358490566038,1.0,[0.         0.43773585 1.        ],[0. 0. 1.],30
0.1,0.5056603773584906,1.0,[0.         0.50566038 1.        ],[0. 0. 1.],31
0.1,0.5773584905660377,1.0,[0.         0.57735849 1.        ],[0. 0. 1.],32
0.1,0.5207547169811321,1.0,[0.         0.52075472 1.        ],[0. 0. 1.],33
0.1,-0.06935735565328416,0.47039158924916125,[0.        0.5509434 1.       ],[0.         0.62030075 1.        ],34
0.1,0.4679245283018868,1.0,[0.         0.46792453 1.        ],[0. 0. 1.],35
0.1,0.2803092637253511,0.6660169050059654,[0.         0.56226415 1.        ],[0.         0.28195489 1.        ],36
0.1,0.539622641509434,1.0,[0.         0.53962264 1.        ],[0. 0. 1.],37
0.1,0.49056603773584906,1.0,[0.         0.49056604 1.        ],[0. 0. 1.],38
0.1,0.5962264150943396,1.0,[0.         0.59622642 1.        ],[0. 0. 1.],39
0.1,0.49433962264150944,1.0,[0.         0.49433962 1.        ],[0. 0. 1.],40
0.1,0.140885231947794,0.5869599481620287,[0.        0.4754717 1.       ],[0.         0.33458647 1.        ],41
0.1,0.4456376791034189,0.8516669278821396,[0.         0.53962264 1.        ],[0.         0.09398496 1.        ],42
0.1,0.3627323024542488,0.7969065700550407,[0.         0.48679245 1.        ],[0.         0.12406015 1.        ],43
0.1,0.46795290112072635,0.9844328261763496,[0.        0.4754717 1.       ],[0.        0.0075188 1.       ],44
0.1,0.49433962264150944,1.0,[0.         0.49433962 1.        ],[0. 0. 1.],45
0.1,0.49056603773584906,1.0,[0.         0.49056604 1.        ],[0. 0. 1.],46
0.1,0.43455809334657397,0.7895712016940181,[0.         0.59245283 1.        ],[0.         0.15789474 1.        ],47
0.1,0.5773584905660377,1.0,[0.         0.57735849 1.        ],[0. 0. 1.],48
0.1,-0.14472974890055323,0.43699202055386743,[0.         0.50188679 1.        ],[0.         0.64661654 1.        ],49
0.5,0.05085827776989643,0.5252838705127301,[0.         0.52830189 1.        ],[0.         0.47744361 1.        ],0
0.5,0.5735849056603773,1.0,[0.         0.57358491 1.        ],[0. 0. 1.],1
0.5,0.3664633281316499,0.8094987060289466,[0.         0.47924528 1.        ],[0.         0.11278195 1.        ],2
0.5,0.5433962264150943,1.0,[0.         0.54339623 1.        ],[0. 0. 1.],3
0.5,0.4118030926372535,0.8084934534943038,[0.         0.53962264 1.        ],[0.         0.12781955 1.        ],4
0.5,0.14843240175911476,0.5907726476150816,[0.         0.48301887 1.        ],[0.         0.33458647 1.        ],5
0.5,-0.04734004823379201,0.47255440593489384,[0.         0.40754717 1.        ],[0.         0.45488722 1.        ],6
0.5,0.6226415094339622,1.0,[0.         0.62264151 1.        ],[0. 0. 1.],7
0.5,0.569811320754717,1.0,[0.         0.56981132 1.        ],[0. 0. 1.],8
0.5,0.22393247269116184,0.6232914160743576,[0.         0.56603774 1.        ],[0.         0.34210526 1.        ],9
0.5,-0.1296495956873316,0.44392632315224995,[0.         0.51320755 1.        ],[0.         0.64285714 1.        ],10
0.5,0.26148389842530856,0.654185906444489,[0.         0.55471698 1.        ],[0.         0.29323308 1.        ],11
0.5,0.06573982125124134,0.5362065193611901,[0.         0.48679245 1.        ],[0.         0.42105263 1.        ],12
0.5,0.4642928074904242,0.9303145051015043,[0.         0.50188679 1.        ],[0.         0.03759398 1.        ],13
0.5,0.22388991346290255,0.6264137643779437,[0.         0.55471698 1.        ],[0.         0.33082707 1.        ],14
0.5,0.3779685061710881,0.7694859709101208,[0.         0.53962264 1.        ],[0.         0.16165414 1.        ],15
0.5,0.4531706625053199,0.8576034390112842,[0.         0.54339623 1.        ],[0.         0.09022556 1.        ],16
0.5,0.227280465314229,0.6656739260821907,[0.         0.45660377 1.        ],[0.         0.22932331 1.        ],17
0.5,0.49056603773584906,1.0,[0.         0.49056604 1.        ],[0. 0. 1.],18
0.5,0.36288835295786637,0.7615541922290389,[0.         0.52830189 1.        ],[0.         0.16541353 1.        ],19
0.5,0.3780819974464463,0.7482349434623051,[0.         0.56981132 1.        ],[0.         0.19172932 1.        ],20
0.5,0.47201021421478223,0.8702483753227098,[0.         0.55471698 1.        ],[0.         0.08270677 1.        ],21
0.5,0.17904667328699103,0.5833718671968926,[0.         0.62641509 1.        ],[0.         0.44736842 1.        ],22
0.5,0.5547169811320755,1.0,[0.         0.55471698 1.        ],[0. 0. 1.],23
0.5,0.1109944673003263,0.5591615752223096,[0.        0.5245283 1.       ],[0.         0.41353383 1.        ],24
0.5,0.33658674989360193,0.7313106890769411,[0.         0.53207547 1.        ],[0.         0.19548872 1.        ],25
0.5,0.43845935593701235,0.7667293784628131,[0.         0.63018868 1.        ],[0.         0.19172932 1.        ],26
0.5,0.34031777557100296,0.7400868712344122,[0.        0.5245283 1.       ],[0.         0.18421053 1.        ],27
0.5,0.4867924528301887,1.0,[0.         0.48679245 1.        ],[0. 0. 1.],28
0.5,0.37044970917860687,0.7613233793006825,[0.         0.53962264 1.        ],[0.         0.16917293 1.        ],29
0.5,0.2874875868917577,0.7191521574564723,[0.         0.47169811 1.        ],[0.         0.18421053 1.        ],30
0.5,0.569811320754717,1.0,[0.         0.56981132 1.        ],[0. 0. 1.],31
0.5,0.0319194211944957,0.516813630249589,[0.         0.49056604 1.        ],[0.         0.45864662 1.        ],32
0.5,0.378223861540644,0.7259751487515045,[0.         0.60754717 1.        ],[0.         0.22932331 1.        ],33
0.5,0.5358490566037736,1.0,[0.         0.53584906 1.        ],[0. 0. 1.],34
0.5,0.5169811320754717,1.0,[0.         0.51698113 1.        ],[0. 0. 1.],35
0.5,0.1263583487019435,0.5576303427928103,[0.         0.61132075 1.        ],[0.         0.48496241 1.        ],36
0.5,0.385572421620088,0.7608900151663499,[0.         0.56226415 1.        ],[0.         0.17669173 1.        ],37
0.5,0.3402468435239041,0.7535092169795367,[0.         0.50566038 1.        ],[0.         0.16541353 1.        ],38
0.5,0.42305291530713574,0.8299440154012967,[0.         0.53207547 1.        ],[0.         0.10902256 1.        ],39
0.5,-0.0542772024400624,0.47697788047271766,[0.         0.56226415 1.        ],[0.         0.61654135 1.        ],40
0.5,0.32567740104979426,0.6742149437673592,[0.         0.63018868 1.        ],[0.         0.30451128 1.        ],41
0.5,0.11116470421336361,0.5540443610681969,[0.         0.56981132 1.        ],[0.         0.45864662 1.        ],42
0.5,0.539622641509434,1.0,[0.         0.53962264 1.        ],[0. 0. 1.],43
0.5,0.502028656547028,0.9348702320094378,[0.         0.53962264 1.        ],[0.         0.03759398 1.        ],44
0.5,0.4117321605901546,0.8268871218435339,[0.         0.52075472 1.        ],[0.         0.10902256 1.        ],45
0.5,0.1262448574265853,0.5609278505799066,[0.         0.58113208 1.        ],[0.         0.45488722 1.        ],46
0.5,0.30279472265569585,0.6931094383323683,[0.         0.54339623 1.        ],[0.        0.2406015 1.       ],47
0.5,0.2988083416087388,0.7239172495907129,[0.         0.48301887 1.        ],[0.         0.18421053 1.        ],48
0.5,0.08072066959852464,0.5467850682453544,[0.         0.47169811 1.        ],[0.         0.39097744 1.        ],49
0.7,0.11820116328557245,0.577274076272444,[0.         0.44150943 1.        ],[0.         0.32330827 1.        ],0
0.7,0.4641509433962264,1.0,[0.         0.46415094 1.        ],[0. 0. 1.],1
0.7,0.30273797701801675,0.7007903650733911,[0.         0.52830189 1.        ],[0.         0.22556391 1.        ],2
0.7,0.3706625053199035,0.7255213368319293,[0.         0.59622642 1.        ],[0.         0.22556391 1.        ],3
0.7,0.5811320754716981,1.0,[0.         0.58113208 1.        ],[0. 0. 1.],4
0.7,0.5509575826358348,0.9932684735946351,[0.         0.55471698 1.        ],[0.        0.0037594 1.       ],5
0.7,0.6075471698113207,1.0,[0.         0.60754717 1.        ],[0. 0. 1.],6
0.7,0.5169811320754717,1.0,[0.         0.51698113 1.        ],[0. 0. 1.],7
0.7,0.6943396226415094,1.0,[0.         0.69433962 1.        ],[0. 0. 1.],8
0.7,0.35902964959568734,0.7784280936454849,[0.         0.50188679 1.        ],[0.         0.14285714 1.        ],9
0.7,0.24254504184990777,0.6532346245541075,[0.         0.51698113 1.        ],[0.         0.27443609 1.        ],10
0.7,0.27612427294651726,0.7219687984672931,[0.        0.4490566 1.       ],[0.         0.17293233 1.        ],11
0.7,0.5433962264150943,1.0,[0.         0.54339623 1.        ],[0. 0. 1.],12
0.7,0.5056603773584906,1.0,[0.         0.50566038 1.        ],[0. 0. 1.],13
0.7,0.5849340331961981,0.9874680790693277,[0.         0.59245283 1.        ],[0.        0.0075188 1.       ],14
0.7,0.5773584905660377,1.0,[0.         0.57735849 1.        ],[0. 0. 1.],15
0.7,0.12628741665484466,0.559647289003243,[0.         0.59245283 1.        ],[0.         0.46616541 1.        ],16
0.7,0.6226415094339622,1.0,[0.         0.62264151 1.        ],[0. 0. 1.],17
0.7,0.4417789757412399,0.8778238819732597,[0.         0.51320755 1.        ],[0.         0.07142857 1.        ],18
0.7,0.49836856291672577,0.8932169241101411,[0.         0.56603774 1.        ],[0.         0.06766917 1.        ],19
0.7,0.24985104270109237,0.6862048549437537,[0.         0.46037736 1.        ],[0.         0.21052632 1.        ],20
0.7,0.6188679245283019,1.0,[0.         0.61886792 1.        ],[0. 0. 1.],21
0.7,0.5094339622641509,1.0,[0.         0.50943396 1.        ],[0. 0. 1.],22
0.7,0.5473684210526315,0.9193548387096774,[0.  0.6 1. ],[0.         0.05263158 1.        ],23
0.7,0.3970066676124273,0.7449024240833115,[0.         0.60377358 1.        ],[0.         0.20676692 1.        ],24
0.7,0.5773584905660377,1.0,[0.         0.57735849 1.        ],[0. 0. 1.],25
0.7,0.4641509433962264,1.0,[0.         0.46415094 1.        ],[0. 0. 1.],26
0.7,0.3817420910767485,0.7707197327914043,[0.         0.54339623 1.        ],[0.         0.16165414 1.        ],27
0.7,0.40419917718825366,0.8209136781402053,[0.         0.51698113 1.        ],[0.         0.11278195 1.        ],28
0.7,0.4530571712299617,0.8950910530482977,[0.         0.51320755 1.        ],[0.         0.06015038 1.        ],29
0.7,0.15220598666477514,0.5926527228449542,[0.         0.48679245 1.        ],[0.         0.33458647 1.        ],30
0.7,0.539622641509434,1.0,[0.         0.53962264 1.        ],[0. 0. 1.],31
0.7,0.33269967371258335,0.7507055503292568,[0.         0.49811321 1.        ],[0.         0.16541353 1.        ],32
